# Created with esearch -db bioproject -query PRJDB4176 | elink -target biosample \
# | efetch -mode xml
# | xtract -pattern BioSample -block "Ids/Id" -if "Id@db" -equals "BioSample" -element "Id" \
#                             -block 'Attributes/Attribute' \
#                             -if "Attribute@attribute_name" -equals "host_disease_stat" \
#                              -element "Attribute"
sample_accession	Subject_ID	disease_status
SAMD00136653	10197	
SAMD00136648	10562	
SAMD00165033	12396	
SAMD00165032	12389	
SAMD00165031	12370	
SAMD00165030	12340	
SAMD00165029	12276	
SAMD00165028	12243	
SAMD00165027	12242	
SAMD00165026	12204	
SAMD00165025	12197	
SAMD00165024	12165	
SAMD00165023	12106	
SAMD00165022	12101	
SAMD00165021	12082	
SAMD00165020	12070	
SAMD00165019	12025	
SAMD00165018	12024	
SAMD00165017	12022	
SAMD00165016	12020	
SAMD00165015	12016	
SAMD00165014	12014	
SAMD00165013	12011	
SAMD00165012	12005	
SAMD00165011	12002	
SAMD00165010	11996	
SAMD00165009	11993	
SAMD00165008	11984	
SAMD00165007	11982	
SAMD00165006	11974	
SAMD00165005	11973	
SAMD00165004	11965	
SAMD00165003	11957	
SAMD00165002	11956	
SAMD00165001	11955	
SAMD00165000	11951	
SAMD00164999	11942	
SAMD00164998	11940	
SAMD00164997	11929	
SAMD00164996	11927	
SAMD00164995	11922	
SAMD00164994	11921	
SAMD00164993	11920	
SAMD00164992	11918	
SAMD00164991	11900	
SAMD00164990	11899	
SAMD00164989	11893	
SAMD00164988	11891	
SAMD00164987	11888	
SAMD00164986	11885	
SAMD00164985	11881	
SAMD00164984	11879	
SAMD00164983	11873	
SAMD00164982	11859	
SAMD00164981	11851	
SAMD00164980	11838	
SAMD00164979	11836	
SAMD00164978	11835	
SAMD00164977	11831	
SAMD00164976	11829	
SAMD00164975	11826	
SAMD00164974	11823	
SAMD00164973	11822	
SAMD00164972	11821	
SAMD00164971	11820	
SAMD00164970	11819	
SAMD00164969	11818	
SAMD00164968	11817	
SAMD00164967	11796	
SAMD00164966	11788	
SAMD00164965	11754	
SAMD00164964	11720	
SAMD00164963	11710	
SAMD00164962	11694	
SAMD00164961	11682	
SAMD00164960	11675	
SAMD00164959	11667	
SAMD00164958	11641	
SAMD00164957	11638	
SAMD00164956	11626	
SAMD00164955	11607	
SAMD00164954	11580	
SAMD00164953	11528	
SAMD00164952	11527	
