"study_accession","study","label","label_oneline","cluster","plot_order","cluster_label"
"PRJDB4176","Yachida (2019)","Yachida (2019)
(PRJDB4176)","Yachida (2019) (PRJDB4176)",1,10,"I"
"PRJEB10878","Yu (2015)","Yu (2015)
(PRJEB10878)","Yu (2015) (PRJEB10878)",2,23,"II"
"PRJEB11532","Zeevi (2015)","Zeevi (2015)
(PRJEB11532)","Zeevi (2015) (PRJEB11532)",2,24,"II"
"PRJEB12123","Liu (2017)","Liu (2017)
(PRJEB12123)","Liu (2017) (PRJEB12123)",2,17,"II"
"PRJEB1220","Nielsen (2014)","Nielsen (2014)
(PRJEB1220)","Nielsen (2014) (PRJEB1220)",2,18,"II"
"PRJEB12449","Vogtmann (2016)","Vogtmann (2016)
(PRJEB12449)","Vogtmann (2016) (PRJEB12449)",2,22,"II"
"PRJEB13870","Li (2017)","Li (2017)
(PRJEB13870)","Li (2017) (PRJEB13870)",3,27,"III"
"PRJEB15371","He (2017)","He (2017)
(PRJEB15371)","He (2017) (PRJEB15371)",2,13,"II"
"PRJEB1690","Lim (2014)","Lim (2014)
(PRJEB1690)","Lim (2014) (PRJEB1690)",2,16,"II"
"PRJEB17784","Bedarf (2017)","Bedarf (2017)
(PRJEB17784)","Bedarf (2017) (PRJEB17784)",1,2,"I"
"PRJEB1786","Karlsson (2013)","Karlsson (2013)
(PRJEB1786)","Karlsson (2013) (PRJEB1786)",1,4,"I"
"PRJEB19090","Tanca (2017)","Tanca (2017)
(PRJEB19090)","Tanca (2017) (PRJEB19090)",3,29,"III"
"PRJEB21528","Jie (2017)","Jie (2017)
(PRJEB21528)","Jie (2017) (PRJEB21528)",2,14,"II"
"PRJEB27928","Wirbel (2019)","Wirbel (2019)
(PRJEB27928)","Wirbel (2019) (PRJEB27928)",1,9,"I"
"PRJEB4336","Le Chatelier (2013)","Le Chatelier (2013)
(PRJEB4336)","Le Chatelier (2013) (PRJEB4336)",1,5,"I"
"PRJEB6070","Zeller (2014)","Zeller (2014)
(PRJEB6070)","Zeller (2014) (PRJEB6070)",2,25,"II"
"PRJEB6456","Backhed (2015)","Backhed (2015)
(PRJEB6456)","Backhed (2015) (PRJEB6456)",1,1,"I"
"PRJEB6997","Zhang (2015)","Zhang (2015)
(PRJEB6997)","Zhang (2015) (PRJEB6997)",2,26,"II"
"PRJEB7774","Feng (2015)","Feng (2015)
(PRJEB7774)","Feng (2015) (PRJEB7774)",2,11,"II"
"PRJEB8094","Raymond (2015)","Raymond (2015)
(PRJEB8094)","Raymond (2015) (PRJEB8094)",1,6,"I"
"PRJNA177201","Karlsson (2012)","Karlsson (2012)
(PRJNA177201)","Karlsson (2012) (PRJNA177201)",2,15,"II"
"PRJNA268964","Obregon-Tito (2015)","Obregon-Tito (2015)
(PRJNA268964)","Obregon-Tito (2015) (PRJNA268964)",2,19,"II"
"PRJNA278393","Rampeli (2015)","Rampeli (2015)
(PRJNA278393)","Rampeli (2015) (PRJNA278393)",4,31,"IV"
"PRJNA299502","Sankaranarayanan (2015)","Sankaranarayanan (2015)
(PRJNA299502)","Sankaranarayanan (2015) (PRJNA299502)",1,7,"I"
"PRJNA305507","Petersen (2017)","Petersen (2017)
(PRJNA305507)","Petersen (2017) (PRJNA305507)",2,20,"II"
"PRJNA319574","Schirmer (2016)","Schirmer (2016)
(PRJNA319574)","Schirmer (2016) (PRJNA319574)",4,32,"IV"
"PRJNA328899","Liu (2016)","Liu (2016)
(PRJNA328899)","Liu (2016) (PRJNA328899)",3,28,"III"
"PRJNA373879","Guthrie (2017)","Guthrie (2017)
(PRJNA373879)","Guthrie (2017) (PRJNA373879)",2,12,"II"
"PRJNA385949","Hall (2017)","Hall (2017)
(PRJNA385949)","Hall (2017) (PRJNA385949)",4,30,"IV"
"PRJNA389280","Schirmer (2018)","Schirmer (2018)
(PRJNA389280)","Schirmer (2018) (PRJNA389280)",4,33,"IV"
"PRJNA397112","Dhakan (2019)","Dhakan (2019)
(PRJNA397112)","Dhakan (2019) (PRJNA397112)",1,3,"I"
"PRJNA422434","Qin (2012)","Qin (2012)
(PRJNA422434)","Qin (2012) (PRJNA422434)",2,21,"II"
"PRJNA447983","Thomas (2019)","Thomas (2019)
(PRJNA447983)","Thomas (2019) (PRJNA447983)",1,8,"I"
