taxid,abundance_ls,taxid,residuals,abundance_br
303,0.04985174217804642,303,0.02835502232812188,0.047122778901108324
562,0.050172498338843394,562,0.038942709015695604,0.055031807597839405
820,0.050194812545444674,820,0.043347145268410915,0.053707753913459146
823,0.0503170639177794,823,0.04961912623410424,0.05345421753050797
907,0.05012323705451425,907,0.05508912240789121,0.05377065464339392
1282,0.049679139285285175,1282,0.07764422484678815,0.03789667142729768
1309,0.04979780724991612,1309,0.06262221295833037,0.045852846561662185
1423,0.05018986419188284,1423,0.04303693735916201,0.05278417101968338
1531,0.050207793076060485,1531,0.04708893322642632,0.054548478183006906
1584,0.05014872377946088,1584,0.08058827796919271,0.0550328337597226
1747,0.04976297383831783,1747,0.059116610954732265,0.050462536767950365
33035,0.05028832047249773,33035,0.039474000764874735,0.05418835953884741
39491,0.05024586002869891,39491,0.037093460448657446,0.050851268654832964
74426,0.04966574152490312,74426,0.04712169570517111,0.04878487610691512
216816,0.10030982382389257,216816,0.033473473138785854,0.09872743384505366
239935,0.04996443790644927,239935,0.04705205214713142,0.05301916209093482
292800,0.049700064690461336,292800,0.04029988479130829,0.047003345039368344
411483,0.04990905075475349,411483,0.05379683988293585,0.05175740166561113
437897,0.04947104534279197,437897,0.031155261988210864,0.03600340275280467
