taxid,abundance_ls,taxid,residuals,abundance_br
303,0.049142598148456826,303,0.04491376804946578,0.029517029147714126
562,0.05021191900019678,562,0.04611308021179179,0.048937311378627876
820,0.05020362207536599,820,0.033666083724228954,0.056454269604366746
823,0.05005612017925794,823,0.06174619350012698,0.05824808665484861
907,0.050201645923794516,907,0.08921882902805611,0.04549691362928649
1282,0.05079198988413916,1282,0.05963534801639782,0.07954385989742228
1309,0.05039169061600984,1309,0.07192281667734325,0.07204486897127607
1423,0.050109550980657405,1423,0.06836259388561573,0.06111242331138851
1531,0.0501971309143029,1531,0.045837829707950375,0.05188544570439591
1584,0.050219331718470546,1584,0.06977844182538895,0.050058608398031335
1747,0.04921192343976552,1747,0.07145153029322093,0.03329576538802578
33035,0.05025948541129179,33035,0.025410945748450986,0.057291494899353645
39491,0.05030091573036724,39491,0.03944834495706817,0.06424524810868587
74426,0.04903383783696265,74426,0.05653783986484467,0.03228662477446882
216816,0.09991231068458384,216816,0.03850588278764545,0.06648191124128969
239935,0.0496259246968649,239935,0.05727904231113038,0.040702894877002474
292800,0.04929989817327121,292800,0.038833415311318245,0.03185360729989592
411483,0.04974808800969771,411483,0.05404956931912223,0.03957218599350853
437897,0.05108201657654321,437897,0.04361991103925932,0.0809714507204113
