#assembly_accession,abundance
GCF_030436205.1,0.00032778735395822846
GCF_027675955.1,0.0012281017509740801
GCF_002837275.1,0.0023529014001022735
GCF_010365805.1,0.004063533800610922
GCF_006333885.1,0.00034366816673432317
GCF_030438115.1,0.005825658325877898
GCF_027682085.1,0.0015522567241619178
GCF_025336005.1,0.0003756410175817306
GCF_030438365.1,0.0023873323534592764
GCF_010365785.1,0.0007651006334893531
GCF_003711085.1,0.0035995569126493496
GCF_019279155.1,0.0019057211175244142
GCF_022128985.1,0.0014638992212841395
GCF_013201895.1,0.0004627348457375235
GCF_024582775.1,0.00148741965277784
GCF_030718845.1,0.0021674247218982775
GCF_000477415.1,0.0006111768383273996
GCF_012934855.1,0.0053719480192186775
GCF_029542625.1,0.0002457149442406713
GCF_002999375.1,0.0007974708341193056
GCF_031202285.1,0.0035709404027176187
GCF_033796185.1,0.00011088155091973066
GCF_000508225.1,0.0013356630734667333
GCF_014784055.1,0.0044749139188960995
GCF_000724225.2,0.0019158963625600914
GCF_000565175.1,0.00413656225905133
GCF_019923545.1,0.001098782831883014
GCF_026278265.1,0.0036578540487078796
GCF_000816385.2,0.0016027668672514818
GCF_023008245.1,0.0017363914505316457
GCF_019977655.1,0.00020683794959802266
GCF_021531855.1,0.0038673059662508334
GCF_900660495.1,0.0002188811139088741
GCF_001712875.1,0.001033288606148989
GCF_013177635.1,8.550271896177905e-05
GCF_000223215.1,0.0012246515403149002
GCF_005843985.1,0.0006480521356178699
GCF_007990545.2,0.0018985018733253473
GCF_008189525.1,0.0035413455930250306
GCF_000195875.1,0.0013803565578056661
GCF_030437945.1,0.0018329472155241252
GCF_032595775.1,0.0037370004935766243
GCF_030440365.1,0.00034816647948628316
GCF_000816245.1,0.0027443577738667574
GCF_900536895.1,0.004234450750752895
GCF_024498215.1,0.0010455690223753417
GCF_963548105.1,0.0022169879890539005
GCF_022369435.1,0.009504898657941721
GCF_000025845.1,0.0014332292493173017
GCF_024362345.1,0.0026977037133051147
GCF_002101295.1,0.0007616201876063315
GCF_003544915.1,0.0011110861955688665
GCF_020714625.1,0.0017501142978161458
GCF_018336475.1,0.0004360158174084589
GCF_013348745.1,0.0014457639524601358
GCF_023585805.1,0.0012157033438875144
GCF_000255135.1,0.0005777780612150503
GCF_014252115.1,0.0004448268147047519
GCF_001792795.1,0.0008765391237463618
GCF_002764055.1,0.00015190380229656225
GCF_023585865.1,0.0017711219539820067
GCF_008017765.1,0.0007767442825770217
GCF_000941095.1,0.0005888221670987219
GCF_024918975.1,0.001363062264225558
GCF_005081705.1,0.0010198375095118945
GCF_009756085.1,0.0017531813302332174
GCF_901482605.1,0.00035524258382858175
GCF_000711005.1,0.0032742638459169015
GCF_000518125.1,0.003289392765092398
GCF_033095965.1,0.001577155237555926
GCF_000018205.1,0.0037538547217255414
GCF_019143945.1,0.00038310766925325003
GCF_947250575.1,0.002931849567831703
GCF_019278445.1,0.000264157244271199
GCF_023168345.1,0.0017764668635359049
GCF_000165465.1,0.00999204591669323
GCF_000147355.1,0.003110068786449504
GCF_000022325.1,0.0009608466359948594
GCF_900104195.1,0.005428157040883842
GCF_032463465.1,0.0014059687060513258
GCF_018141165.1,0.016289698423307873
GCF_009865865.1,0.0002877109051119634
GCF_019355235.1,0.0010737758762048057
GCF_947631175.1,0.00043571833589369483
GCF_003752135.1,0.0008441205492583256
GCF_003589745.1,0.0021961016399364972
GCF_001434845.1,0.0011857644330325354
GCF_017167785.1,0.0013764813517709743
GCF_009883775.1,0.0006270671201068388
GCF_019740355.2,0.0015510311425870258
GCF_026240795.1,0.004115324792811019
GCF_902705415.1,0.0005123312838056585
GCF_032758595.1,0.0008320987394314179
GCF_030915445.1,0.0009038272215329053
GCF_021010565.1,0.0006427834224448045
GCF_947251595.1,0.001059195041562854
GCF_031340075.1,0.000741874983232068
GCF_001021085.1,0.0022199134794047503
GCF_900660705.1,0.0004209043417762399
GCF_000283915.1,0.005665242446045749
GCF_003326015.1,0.0002462874521657042
GCF_028325315.1,0.000314741406910745
GCF_025947305.1,0.0005698588354250707
GCF_000010405.1,0.002073314764547071
GCF_027860955.1,0.0012828316697534269
GCF_000196455.1,0.0018410792198444378
GCF_000340825.1,0.0014406203802894565
GCF_000020065.1,0.00023278339554270243
GCF_018141665.1,0.00023872876022042717
GCF_947250785.1,0.001236375918623071
GCF_900099675.1,0.0021068728397870625
GCF_001407735.1,0.003405281769046497
GCF_016743795.2,0.0011193963856783115
GCF_012889735.1,0.00011209511975246178
GCF_002762335.1,0.0016948375609384524
GCF_947250545.1,0.0028234409130598647
GCF_027111095.2,0.0004881220798901049
GCF_030327785.1,0.002174351126740461
GCF_016604695.1,0.007530878354191378
GCF_008274905.1,0.0022231411178065255
GCF_947251565.1,0.00025615274607094645
GCF_009796825.1,0.004298437535836053
GCF_030226565.1,0.001222094398664044
GCF_014844135.1,0.0009885079620875722
GCF_016917315.1,0.0006802710221730331
GCF_003841365.1,0.0018929598596806158
GCF_003574135.1,0.0020456708149689893
GCF_019357495.1,0.005988805077020191
GCF_022465055.1,0.0014538646595409382
GCF_030389495.1,0.011474427511736617
GCF_015265455.1,0.00189867710319539
GCF_000012385.1,0.00885562315770503
GCF_001932675.1,0.00025565229700312027
GCF_001008215.1,0.0011573158860016973
GCF_003730065.1,0.003333672702708149
GCF_029773605.1,0.00039995637806487745
GCF_007725405.1,0.0003598567825281324
GCF_003399705.1,0.0023594841146599454
GCF_020790095.1,0.0010887966366908762
GCF_025209795.1,0.0007028071979766945
GCF_018603435.1,0.0008270565791001225
GCF_001889165.1,0.0024688242141817068
GCF_900187245.1,0.0008038255019135311
GCF_024731645.1,0.0005495793563154211
GCF_015854565.1,0.0027643164624435064
GCF_031156515.1,0.000453700932947451
GCF_000020145.1,0.001293405096558559
GCF_900105135.1,0.0006735464855994067
GCF_943169635.2,0.0010493899416399223
GCF_029873455.1,0.0031203300997198697
GCF_003971235.1,0.0023369621439408694
GCF_028877475.1,0.0009199447983788814
GCF_005234115.1,0.0023313257331467794
GCF_030219945.1,0.002424170676017425
GCF_000953135.1,0.0027038415176750892
GCF_002833485.1,0.001026246462549677
GCF_024401005.1,0.0019497450901539387
GCF_000014145.1,0.0006007830594366017
GCF_014354335.1,0.004807801113488627
GCF_023611905.1,0.013153952715579743
GCF_016308375.1,0.0019064927627756405
GCF_001278715.1,0.0011036299990730863
GCF_000010325.1,0.000457606005983236
GCF_001068405.1,0.0005346206820013077
GCF_014692875.1,0.005628396182956202
GCF_015676375.1,0.0017788082692132058
GCF_902196155.1,0.006500790214876006
GCF_010120715.1,0.000971556820501506
GCF_008121535.1,0.0031446511608433135
GCF_016724865.1,0.0013939397071526163
GCF_900291985.1,0.0007061851087636959
GCF_005863195.1,0.0010205127143352588
GCF_024181345.1,0.0009395237391148502
GCF_963538535.1,0.0004860847885106387
GCF_009792295.1,0.0014263224026973317
GCF_001612555.1,0.000898344471361541
GCF_007682035.1,0.0011438464334234885
GCF_025560905.1,0.0006319966744010413
GCF_033449965.1,0.003795471957072999
GCF_028484735.1,0.0027338235757428317
GCF_015671215.1,0.003483514846663717
GCF_007672095.1,0.0015012367220709677
GCF_009936135.1,0.0032725786345341864
GCF_025147905.1,0.0017772687045829233
GCF_007197795.1,0.0008997513112811694
GCF_002836235.1,0.0003745971577478906
GCF_031983385.1,0.0026297929996593563
GCF_018128305.1,0.001974046214558242
GCF_003711225.1,0.016678895502648637
GCF_011398925.1,0.0010524385638561755
GCF_029834455.1,0.0031685585679603204
GCF_003703435.1,0.0012301292433171667
GCF_000300815.1,0.002061650599234728
GCF_022432925.1,0.0024224546681294325
GCF_000315075.1,0.0022143264325256784
GCF_000317025.1,0.00647809721088776
GCF_000184065.1,0.00351673252300095
GCF_024449095.1,0.0006886605904927186
GCF_002243385.1,0.0010934145387189679
GCF_001645685.2,0.0022133989104000077
GCF_014189505.1,0.0031260434259858193
GCF_022919335.1,0.003217097878318437
GCF_900070355.1,0.004917121824883181
GCF_003007715.1,0.0023967147735533575
GCF_014280095.1,0.0003365051085709393
GCF_001908835.1,0.0003810363822810629
GCF_020120535.1,0.000868558304764807
GCF_002240205.1,0.0005153524145994534
GCF_023954895.1,0.0029672667400047563
GCF_026810445.1,0.0032119687608505995
GCF_023314415.1,0.0005959680685054406
GCF_032514155.1,0.0010217295677119214
GCF_019355555.1,0.0014509894573333788
GCF_011319365.1,0.0005032306534384626
GCF_003033925.1,0.0037176957542383285
GCF_003660165.1,0.0004970195328640093
GCF_011516865.1,0.00036745543596890587
GCF_016132545.1,0.003737371602080719
GCF_030144705.1,0.002578372151979829
GCF_003058465.1,0.00181126967767226
GCF_008727735.1,0.0074140049578569804
GCF_002119765.1,0.0022712507099259486
GCF_020510545.1,0.0011311433097152437
GCF_007290395.1,0.0019765893886482875
GCF_002848345.1,0.00837454465822807
GCF_030866745.1,0.00032920751821599733
GCF_032918025.1,0.0027289607199444555
GCF_021441265.1,0.0006532794826257649
GCF_030177755.1,0.008017266615301218
GCF_019063885.1,0.0023143324669411725
GCF_000695095.2,0.00167095679243915
GCF_003852315.1,0.003749544651761298
GCF_020510425.1,0.0006255301120836848
GCF_015169395.1,0.00018583713001993146
GCF_006148815.1,0.001039238922215175
GCF_013000965.1,0.0034882248065129717
GCF_000876675.2,0.0001779013940677776
GCF_016756635.1,0.0018911897509397613
GCF_003711185.1,0.005097121835679133
GCF_024611135.1,0.0009390665719309955
GCF_001664085.1,0.0007934599822364315
GCF_902859625.1,0.001190921084380008
GCF_025200885.1,0.0014687665716414744
GCF_011301715.1,0.009166576001576675
GCF_015291745.1,0.0006166844303223601
GCF_000302535.1,0.0011020904421415677
GCF_008001235.1,0.0008955784943574095
GCF_029536165.1,0.006912557181187351
GCF_021021345.1,0.004996384594803212
GCF_033790755.1,0.0006437356898677186
GCF_000803065.1,0.0025252693852108707
GCF_021018745.1,0.0016138075317501442
GCF_014725735.1,0.002311361904422482
GCF_002079305.1,0.0009595983448900281
GCF_009708045.1,0.04026190383923161
GCF_913047685.1,0.0014053168753162656
GCF_963677965.1,0.0006568562601279845
GCF_014395975.1,0.0017921381676102076
GCF_028621855.1,0.0015625294413077998
GCF_025847085.1,0.0016290552484989021
GCF_008632315.1,0.001583492369596146
GCF_014268755.2,0.001036355556694912
GCF_902459605.1,0.0015668819889573483
GCF_902459535.1,0.008012447068167488
GCF_003669015.1,0.0021588001605025793
GCF_025200905.1,0.0033984913115928427
GCF_013085525.1,0.0024194021783473223
GCF_017220215.1,0.00172688218913452
GCF_022870505.1,0.008057686522883717
GCF_004634405.1,0.0013103364122656648
GCF_009707465.1,0.0018665992086481155
GCF_001889265.1,0.021254964094419102
GCF_025822085.1,0.0024079485800565605
GCF_029866425.1,0.0025403018509317994
GCF_019973775.1,0.0030020724205194874
GCF_016903055.1,0.00647515683059541
GCF_900106965.1,0.0009283482633442066
GCF_007556775.1,0.009498670890217893
GCF_004118975.1,0.003882182774286125
GCF_018847975.1,0.0023393061597517056
GCF_004358425.1,0.0005290454574396344
GCF_030246905.1,0.0004350611740746993
GCF_032229305.1,0.00014817605916268102
GCF_000022305.1,0.002793158734283657
GCF_900104535.1,0.0045059741766117975
GCF_030128875.1,0.00012379693226112373
GCF_030295425.1,0.004387732596727806
GCF_002482265.1,0.0014519931137445099
GCF_021117295.1,0.0033867994242577832
GCF_014395425.1,0.0029856349799107173
GCF_001542775.1,0.0005297506928040914
GCF_022965755.1,0.002072747557508407
GCF_025398735.1,0.0025389362811675674
GCF_006337105.1,0.0017309226133331078
GCF_024169855.1,0.0033656200233708475
GCF_001808185.1,0.0038547706122294407
GCF_018417475.1,0.015026031100981165
GCF_027945725.1,0.00035898058045748276
GCF_019977335.1,0.009915050224233328
GCF_900113845.1,0.0008939754004031095
GCF_963378095.1,0.0036230169976039558
GCF_015209725.1,0.0006349686375891933
GCF_022179425.1,0.0010475575509829441
GCF_000252835.1,0.0029909291493089543
GCF_007113405.2,0.0009177613790354516
GCF_008693865.1,0.0037267577203174665
GCF_021602625.1,0.007077032838993275
GCF_025821785.1,0.0011487021924886387
GCF_016694895.1,0.0006668105728175423
GCF_013623835.1,0.003106925885107066
GCF_003627055.1,0.003366919066435873
GCF_020885655.1,0.0012565995531052974
GCF_021852985.1,0.0016098473418858991
GCF_027923905.1,0.001849986723775684
GCF_030323765.1,0.0007089681613021857
GCF_017815515.1,0.0015498096108730367
GCF_001598055.1,0.0023060466497195923
GCF_001936175.1,0.0026596801893776865
GCF_001618865.1,0.0008529426121253636
GCF_000321415.2,0.0006556980313946478
GCF_026210475.1,0.002350966803545829
GCF_000009905.1,0.0015290177303086839
GCF_001609985.1,0.0021287635752331013
GCF_023503965.1,0.0019171399146927226
GCF_011751985.1,0.0014542690009697711
GCF_031834595.1,0.012150530216291878
GCF_001610895.1,0.003964953554572369
GCF_002327125.1,0.001655143340812833
GCF_000262165.1,0.004178871004052186
GCF_026965535.1,0.009174705371862239
GCF_003233655.1,0.001192336260512631
GCF_031583065.1,0.0016973750976389814
GCF_014650215.1,0.0029946555282977408
GCF_002910775.2,0.00950131956859569
GCF_017352335.1,0.0049859465886739895
GCF_029873215.1,0.0014078637831953346
GCF_002162335.1,0.0028346993177709627
GCF_027171405.1,0.0018980764956937975
GCF_029639405.1,0.00031015302351519036
GCF_004104485.1,0.0010193387190203286
GCF_002285795.1,0.0018795101924251017
GCF_028898845.1,0.000417616101378704
GCF_900114965.1,0.0006372354948767583
GCF_030506235.1,0.001231016332230898
GCF_030503835.1,0.000697261534376754
GCF_015327065.1,0.0027246401002580588
GCF_012273495.1,0.0035678938787156527
GCF_013401535.1,0.0019162332274571853
GCF_003950055.1,0.0033271495427810416
GCF_008704715.1,0.00224720351921186
GCF_003234815.2,0.0013691356231621552
GCF_014042015.1,0.00011231530653550931
GCF_019774615.1,0.001293282114551994
GCF_020991065.1,0.002089160940970903
GCF_023168385.1,0.0007053037257905265
GCF_020026305.1,0.0022271438924359624
GCF_014084105.1,0.0005232589281389516
GCF_014646735.1,0.001241157454645686
GCF_008001015.1,0.0005459246240945208
GCF_001270575.1,0.0026173052126915227
GCF_003268535.2,0.0028673385310817702
GCF_017933255.1,0.004668716059825444
GCF_033110965.1,0.0006023161860369541
GCF_003864615.1,0.0037115903055821506
GCF_027947595.1,0.0015153655929637253
GCF_025999835.1,0.0015451133954500042
GCF_008704395.1,0.0005096860177001226
GCF_019880385.1,0.0058728625399917045
GCF_900091455.1,0.0003142838561660162
GCF_020783515.1,0.0005154419678334986
GCF_016889705.1,0.001706485809219407
GCF_002865585.1,0.0008786478429137659
GCF_021590045.1,0.009326087912413768
GCF_004683965.1,0.0012132292487909563
GCF_024362365.1,0.001216860946377512
GCF_001941485.1,0.0017203985195469154
GCF_023273835.1,0.008092056769488919
GCF_001611795.1,0.0015889109862769625
GCF_026153095.1,0.0013782189122481419
GCF_013912005.1,0.002939438705183408
GCF_024611995.1,0.002276115428990399
GCF_013364375.1,0.0013284711493165657
GCF_009299385.1,0.0005868845519310277
GCF_000284295.1,0.000693792217560135
GCF_011751035.2,0.002393140586018351
GCF_028993575.1,0.0032729677137285956
GCF_000328705.1,0.007983976100469591
GCF_003234655.2,0.005646624307861336
GCF_030930975.1,0.0008517116013308215
GCF_002119215.1,0.002144021249058174
GCF_000772085.1,0.0032986617028759745
GCF_001685355.1,0.006267014328143749
GCF_013364215.1,0.0007178773856343472
GCF_028473745.1,0.0017155892133938944
GCF_900104745.1,0.006751732523485132
GCF_030252345.1,0.0004951309333992255
GCF_003030345.1,0.004087846673553346
GCF_027497215.1,0.0038882323235711292
GCF_002266845.1,0.0006895304925766441
GCF_023210535.1,0.0014913910304341568
