#assembly_accession,abundance
GCF_027925085.1,0.003373714585042612
GCF_947251755.1,0.002898781880994497
GCF_029625295.1,0.008717219032200633
GCF_002078335.1,0.0024564440669709382
GCF_000222485.1,0.009662463318108955
GCF_022965695.1,0.020348276143740324
GCF_013201975.1,0.009454992477866655
GCF_002250905.2,0.0007231377454975808
GCF_000152925.2,0.010010664700073946
GCF_030463725.1,0.0017696733288330973
GCF_002302515.1,0.017734803582936855
GCF_001553685.1,0.026752366271364545
GCF_024181185.1,0.006849823861720886
GCF_024582835.1,0.014965973042928064
GCF_900039485.1,0.0017530176622597927
GCF_004345025.1,0.012226473593399513
GCF_005885815.1,0.0013294416840000489
GCF_000164905.1,0.0113567665383716
GCF_009025875.1,0.024543818404355867
GCF_904848165.1,0.0022502909163645327
GCF_000014225.1,0.0054199206876773
GCF_015645605.1,0.002501490393507081
GCF_030244015.1,0.004429304123261193
GCF_006229125.1,0.004121415972904407
GCF_006874625.1,0.013005776294990704
GCF_000169135.1,0.0015863819546202455
GCF_000186225.1,0.002396069314075901
GCF_001050695.1,0.0032611716688020513
GCF_019550795.1,0.004861557227521993
GCF_003408845.1,0.007673811226932833
GCF_003469415.1,0.005656404284760525
GCF_900683775.1,0.002737146278632326
GCF_019703855.1,0.006233624912131963
GCF_000317105.1,0.0068062718744437934
GCF_008806975.1,0.0014663259221108825
GCF_017086365.1,0.005631331913867568
GCF_021513215.1,0.0025939464800775296
GCF_002288065.1,0.0033537501567945448
GCF_963663645.1,0.0018778625179817824
GCF_030008365.1,0.0029348181126888306
GCF_018860855.1,0.007031551870756479
GCF_030770295.1,0.0029023249552654
GCF_001644605.1,0.013000819999663507
GCF_002100145.1,0.004210575366790464
GCF_009906915.1,0.014048220410979556
GCF_900637605.1,0.003238350425130923
GCF_902381745.1,0.001915684998158277
GCF_005937895.2,0.022500923739980465
GCF_018917465.1,0.001618957432529658
GCF_963548645.1,0.02120952324165679
GCF_014054985.1,0.015993822323072445
GCF_001063455.1,0.013293422783118462
GCF_011602505.1,0.008384577778667652
GCF_002082565.1,0.03747363343262442
GCF_000934545.1,0.00792927355866301
GCF_943181435.1,0.0014487575162319374
GCF_903936025.1,0.002659200223312544
GCF_025426275.1,0.02781499447734098
GCF_021165715.1,0.003653014797453248
GCF_006517275.1,0.010192504836121228
GCF_031020985.1,0.0037014817783367093
GCF_003003285.1,0.006899550796181759
GCF_014103505.1,0.002260110253397259
GCF_000817775.3,0.0034469890234179795
GCF_023983615.1,0.005704248157983022
GCF_013337225.1,0.0005064629845435732
GCF_004102945.1,0.004545259536586973
GCF_000520015.2,0.007249417996440123
GCF_001957005.1,0.02595116941953026
GCF_014652515.1,0.005170275753039173
GCF_013781985.1,0.001995266288407483
GCF_029338175.1,0.0057172156802128985
GCF_028525905.1,0.004565732942381005
GCF_000024125.1,0.03799370688980977
GCF_000331105.1,0.0036360091143772975
GCF_009363315.1,0.04502640541404728
GCF_007989265.1,0.02708802371835684
GCF_014117265.1,0.005458268642072311
GCF_001554015.1,0.0017204296411520257
GCF_003813985.1,0.0012525409405223496
GCF_014274465.1,0.005103210041883232
GCF_001661075.1,0.0037141824268753128
GCF_000154785.2,0.0034929770944673805
GCF_900188315.1,0.02227313637360221
GCF_006494415.1,0.000560609155299343
GCF_003610455.1,0.0084712884704983
GCF_029392815.1,0.14562324299236834
GCF_019880405.1,0.035787121406291506
GCF_018326005.1,0.006038814794059868
GCF_901538265.1,0.00569645152362476
GCF_018904795.1,0.007302478054255084
GCF_014840935.1,0.010476429420259873
GCF_000261485.1,0.0015201322461789388
GCF_010977575.1,0.005436624855707682
GCF_001693385.1,0.005918372016684802
GCF_947492365.1,0.0020788703621137375
GCF_003233675.1,0.0035618239686243166
GCF_000143965.1,0.02289566024458986
GCF_027922225.1,0.005335000047740537
GCF_017874495.1,0.0005783512117468597
