#assembly_accession,abundance
GCF_003837965.1,0.025006236331107726
GCF_014879315.1,0.0029462282992195597
GCF_016807705.1,0.0011094323447107775
GCF_000820525.2,0.0032513224501111108
GCF_009036385.1,0.028908695941899307
GCF_030060925.1,0.019721220103084258
GCF_027938815.1,0.0018321742569042765
GCF_016458825.1,0.0035337724685111393
GCF_000085865.1,0.05979269386427742
GCF_000568735.2,0.0033237187384623943
GCF_006016075.1,0.03052622942745118
GCF_000160735.1,0.01100557469094976
GCF_003663945.1,0.004627358434918291
GCF_003429245.1,0.011458082721514383
GCF_904425415.1,0.00842514935673536
GCF_026240795.1,0.002125475526178088
GCF_020709165.1,0.0034571303628104415
GCF_019565455.1,0.007652758465627082
GCF_027594425.1,0.006159907373683976
GCF_005083985.2,0.0030158679455416096
GCF_023213175.1,0.0226681860985116
GCF_027474845.2,0.0066527116793385745
GCF_023515935.1,0.00493791785257052
GCF_000253015.1,0.002699810289122113
GCF_030348485.1,0.03086167290084695
GCF_900187155.1,0.006864861077599664
GCF_003352465.1,0.009201999073215566
GCF_000242635.2,0.002824319474849413
GCF_017874115.1,0.04060456559313714
GCF_014467015.1,0.002577952497223781
GCF_030454045.1,0.0019112466981021884
GCF_013004415.1,0.00025914531128706883
GCF_029536185.1,0.0015060934951937875
GCF_004295585.1,0.0012810079124418632
GCF_030177935.1,0.0032784587169622397
GCF_008572295.1,0.013470874995175094
GCF_018141365.1,0.028188643865361983
GCF_000743945.1,0.0022423867972032017
GCF_032708865.1,0.005522890781012157
GCF_019412645.1,0.004891369425272918
GCF_027924105.1,0.014730239503556045
GCF_000758525.1,0.005528255270471055
GCF_001721685.1,0.014991032318558901
GCF_007833955.1,0.03879414008914163
GCF_018687575.1,0.0032543318214748275
GCF_007747445.1,0.0064249494045632025
GCF_003339525.1,0.05707085685346339
GCF_000023445.1,0.004146248101947464
GCF_000775725.1,0.0011245427876956497
GCF_000019905.1,0.00047618819655648154
GCF_010450915.1,0.002242687225175824
GCF_030323045.1,0.007484790310658642
GCF_963664155.1,0.007125350037539247
GCF_009938305.1,0.0057161771646902435
GCF_031583145.1,0.0027430834878541185
GCF_030295765.1,0.001876959801801933
GCF_003966975.1,0.003935233628316497
GCF_018457175.1,0.002900347272505261
GCF_003051885.1,0.0082679248933082
GCF_000332275.1,0.007904770479733182
GCF_000237825.1,0.0038598406866878878
GCF_003790505.1,0.006126331218684704
GCF_900105995.1,0.023706864509737868
GCF_016132545.1,0.009288350537443393
GCF_000737535.1,0.01783410976201898
GCF_900188315.1,0.0035565061584140445
GCF_008926505.1,0.006432246612402945
GCF_001663155.1,0.002294069748933465
GCF_021961685.1,0.00934705756177649
GCF_900478035.1,0.013564418685853242
GCF_018325965.1,0.0017941412975212023
GCF_004305025.1,0.009044201855104374
GCF_001663815.1,0.0016183867327426511
GCF_002531595.1,0.02808161044789807
GCF_016756535.1,0.008611126450990646
GCF_023277925.1,0.0026882101728719692
GCF_002795865.1,0.012553313892104494
GCF_021398855.1,0.007984574874508533
GCF_012844365.1,0.004489947208489159
GCF_024832785.1,0.0019133684813686087
GCF_032367415.1,0.006661882195654946
GCF_937926375.1,0.004597146916161281
GCF_003324675.1,0.022820951846596733
GCF_023100725.1,0.019565903205852272
GCF_012974285.1,0.009054895837037691
GCF_000009905.1,0.02136612212251506
GCF_001463925.1,0.003444797569697611
GCF_023734135.1,0.010370684381552937
GCF_019575955.1,0.009132050553954354
GCF_001402915.1,0.0086130972994347
GCF_000772085.1,0.005802189337698508
GCF_029541745.1,0.0024302309889562682
GCF_002943525.1,0.002333774790455348
GCF_002289335.1,0.03764144614736472
GCF_000092645.1,0.0010270353103582785
GCF_030930975.1,0.0013905007377253084
GCF_963534975.1,0.003529798039343656
GCF_001636295.1,0.006871974702946083
GCF_011764545.1,0.006695776375249633
GCF_031597775.1,0.014797812458753902
