name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Lactococcus lactis	1358	S	1027648	1118483	2146131	0.14049	0.07322	0.07566	0.07360	35	nan
Lactococcus cremoris	1359	S	4180	4972	9152	0.00060	0.00033	0.00033	0.00032	36	nan
Lactococcus raffinolactis	1366	S	2456	2480	4936	0.00032	0.00016	0.00000	0.00015	41	4.0
Lactococcus garvieae	1363	S	1293	1375	2668	0.00017	0.00009	0.00000	0.00008	39	5.0
Lactococcus taiwanensis	1151742	S	1087	1097	2184	0.00014	0.00007	0.00000	0.00007	40	5.0
Lactococcus sp. NH2-7C	2879149	S	611	671	1282	0.00008	0.00004	0.00005	0.00004	35	nan
Lactococcus allomyrinae	2419773	S	383	385	768	0.00005	0.00003	0.00000	0.00002	38	5.0
Lactococcus formosensis	1281486	S	209	219	428	0.00003	0.00001	0.00000	0.00001	39	5.0
Staphylococcus warneri	1292	S	296597	313454	610051	0.03994	0.02052	0.02271	0.02198	33	nan
Staphylococcus epidermidis	1282	S	190335	193522	383857	0.02513	0.01267	0.01432	0.01390	33	nan
Staphylococcus sp. NRL 16/872	2930131	S	3277	52247	55524	0.00363	0.00342	0.00380	0.00363	34	nan
Staphylococcus sp. NRL 22/194	3020908	S	960	23225	24185	0.00158	0.00152	0.00169	0.00161	34	nan
Staphylococcus sp. IVB6181	2929481	S	860	865	1725	0.00011	0.00006	0.00000	0.00005	37	5.0
Staphylococcus sp. 17KM0847	2583989	S	332	332	664	0.00004	0.00002	0.00000	0.00002	37	5.0
Staphylococcus sp. MI 10-1553	1912064	S	279	281	560	0.00004	0.00002	0.00000	0.00002	38	4.0
Staphylococcus haemolyticus	1283	S	2734	2794	5528	0.00036	0.00018	0.00020	0.00020	33	nan
Staphylococcus hominis	1290	S	1578	1597	3175	0.00021	0.00010	0.00000	0.00012	32	5.0
Staphylococcus devriesei	586733	S	1373	1379	2752	0.00018	0.00009	0.00010	0.00010	34	nan
Staphylococcus aureus	1280	S	521	1302	1823	0.00012	0.00009	0.00009	0.00009	33	nan
Staphylococcus lugdunensis	28035	S	365	366	731	0.00005	0.00002	0.00002	0.00002	34	nan
Staphylococcus capitis	29388	S	341	347	688	0.00005	0.00002	0.00000	0.00002	34	5.0
Staphylococcus caprae	29380	S	307	309	616	0.00004	0.00002	0.00000	0.00002	34	5.0
Staphylococcus pasteuri	45972	S	302	321	623	0.00004	0.00002	0.00000	0.00002	31	5.0
Staphylococcus simiae	308354	S	269	269	538	0.00004	0.00002	0.00000	0.00002	33	5.0
Staphylococcus saccharolyticus	33028	S	195	195	390	0.00003	0.00001	0.00000	0.00001	32	5.0
Staphylococcus simulans	1286	S	169	169	338	0.00002	0.00001	0.00000	0.00001	36	5.0
Staphylococcus carnosus	1281	S	130	131	261	0.00002	0.00001	0.00000	0.00001	35	4.0
Staphylococcus cohnii	29382	S	123	125	248	0.00002	0.00001	0.00000	0.00001	33	5.0
Staphylococcus pettenkoferi	170573	S	118	118	236	0.00002	0.00001	0.00000	0.00001	40	4.0
Staphylococcus auricularis	29379	S	114	114	228	0.00001	0.00001	0.00000	0.00001	37	4.0
Staphylococcus arlettae	29378	S	103	103	206	0.00001	0.00001	0.00000	0.00001	34	5.0
Neobacillus sp. YX16	3047874	S	218089	219789	437878	0.02867	0.01439	0.01374	0.01346	37	nan
Bacillus wiedmannii	1890302	S	17187	20984	38171	0.00250	0.00137	0.00141	0.00137	35	nan
Bacillus thuringiensis	1428	S	801	3172	3973	0.00026	0.00021	0.00022	0.00021	35	nan
Bacillus cereus	1396	S	783	3029	3812	0.00025	0.00020	0.00021	0.00020	35	nan
Bacillus mycoides	1405	S	691	873	1564	0.00010	0.00006	0.00006	0.00006	35	nan
Bacillus toyonensis	155322	S	393	569	962	0.00006	0.00004	0.00004	0.00004	35	nan
Bacillus tropicus	2026188	S	181	305	486	0.00003	0.00002	0.00002	0.00002	35	nan
Bacillus sp. N5-665	2925318	S	118	157	275	0.00002	0.00001	0.00001	0.00001	35	nan
Lysinibacillus sp. SGAir0095	2070463	S	104	109	213	0.00001	0.00001	0.00000	0.00001	38	3.0
Clostridium autoethanogenum	84023	S	314819	949065	1263884	0.08274	0.06213	0.07185	0.07095	31	nan
Clostridium argentinense	29341	S	11228	11251	22479	0.00147	0.00074	0.00099	0.00095	29	nan
Clostridium sp. AWRP	2212991	S	2366	2702	5068	0.00033	0.00018	0.00020	0.00020	31	nan
Clostridium sp. 001	1970093	S	2072	2548	4620	0.00030	0.00017	0.00019	0.00019	32	nan
Clostridium sp. JS66	3064705	S	163	173	336	0.00002	0.00001	0.00000	0.00001	30	5.0
Clostridium sp. JN-1	2483110	S	147	147	294	0.00002	0.00001	0.00001	0.00001	31	nan
Clostridium sp. OS1-26	3070681	S	130	130	260	0.00002	0.00001	0.00001	0.00001	32	nan
Clostridium kluyveri	1534	S	372	373	745	0.00005	0.00002	0.00003	0.00003	31	nan
Clostridium ljungdahlii	1538	S	201	537	738	0.00005	0.00004	0.00004	0.00004	31	nan
