name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Kluyvera intermedia	61648	S	488678	501745	990423	0.05601	0.02837	0.03148	0.02716	55	nan
Klebsiella huaxiensis	2153354	S	442708	456419	899127	0.05084	0.02581	0.02936	0.02513	55	nan
Klebsiella sp. RHBSTW-00465	2742650	S	5581	12632	18213	0.00103	0.00071	0.00000	0.00070	55	5.0
Klebsiella sp. FDAARGOS_511	2488567	S	754	1635	2389	0.00014	0.00009	0.00000	0.00009	58	4.0
Klebsiella oxytoca	571	S	4540	4762	9302	0.00053	0.00027	0.00000	0.00027	57	5.0
Klebsiella michiganensis	1134687	S	4505	5825	10330	0.00058	0.00033	0.00000	0.00033	58	5.0
Klebsiella pneumoniae	573	S	4157	11397	15554	0.00088	0.00064	0.00000	0.00066	58	5.0
Klebsiella grimontii	2058152	S	1798	3389	5187	0.00029	0.00019	0.00000	0.00019	58	5.0
Klebsiella quasipneumoniae	1463165	S	796	1114	1910	0.00011	0.00006	0.00000	0.00007	59	5.0
Klebsiella aerogenes	548	S	540	589	1129	0.00006	0.00003	0.00000	0.00003	57	4.0
Klebsiella variicola	244366	S	394	678	1072	0.00006	0.00004	0.00000	0.00004	59	5.0
Klebsiella pasteurii	2587529	S	165	295	460	0.00003	0.00002	0.00000	0.00002	58	4.0
Klebsiella africana	2489010	S	148	157	305	0.00002	0.00001	0.00000	0.00001	59	4.0
Raoultella ornithinolytica	54291	S	899	1570	2469	0.00014	0.00009	0.00000	0.00009	57	5.0
Raoultella planticola	575	S	335	363	698	0.00004	0.00002	0.00000	0.00002	57	4.0
Raoultella terrigena	577	S	318	329	647	0.00004	0.00002	0.00000	0.00002	59	5.0
Raoultella sp. HC6	2923366	S	262	279	541	0.00003	0.00002	0.00000	0.00002	60	5.0
Raoultella electrica	1259973	S	113	118	231	0.00001	0.00001	0.00000	0.00001	58	4.0
Enterobacter cloacae complex sp. ECL68	2850494	S	7935	366784	374719	0.02119	0.02074	0.02365	0.02065	58	nan
Enterobacter cloacae complex sp.	2027919	S	516	660	1176	0.00007	0.00004	0.00004	0.00004	57	nan
Enterobacter sp. BIDMC100	1686399	S	112	1087	1199	0.00007	0.00006	0.00007	0.00006	58	nan
Enterobacter hormaechei	158836	S	7523	39042	46565	0.00263	0.00221	0.00252	0.00220	58	nan
Enterobacter cloacae	550	S	2264	5292	7556	0.00043	0.00030	0.00000	0.00030	57	5.0
Enterobacter roggenkampii	1812935	S	904	1172	2076	0.00012	0.00007	0.00008	0.00007	58	nan
Enterobacter asburiae	61645	S	718	1325	2043	0.00012	0.00007	0.00009	0.00008	58	nan
Enterobacter kobei	208224	S	436	1123	1559	0.00009	0.00006	0.00000	0.00006	57	5.0
Enterobacter cancerogenus	69218	S	381	394	775	0.00004	0.00002	0.00003	0.00002	58	nan
Enterobacter ludwigii	299767	S	227	544	771	0.00004	0.00003	0.00000	0.00003	57	5.0
Enterobacter chuandaensis	2497875	S	138	155	293	0.00002	0.00001	0.00001	0.00001	58	nan
Enterobacter sichuanensis	2071710	S	131	142	273	0.00002	0.00001	0.00001	0.00001	57	nan
Enterobacter sp. DTU_2021_1002640_1_SI_PRY_ASU_LCPMC_013	3077940	S	268	715	983	0.00006	0.00004	0.00005	0.00004	58	nan
Enterobacter sp. RHBSTW-00994	2742676	S	157	163	320	0.00002	0.00001	0.00000	0.00001	53	4.0
Enterobacter sp. JUb54	2724468	S	102	104	206	0.00001	0.00001	0.00000	0.00001	59	5.0
Enterobacter mori	539813	S	560	600	1160	0.00007	0.00003	0.00004	0.00003	57	nan
Enterobacter bugandensis	881260	S	297	402	699	0.00004	0.00002	0.00003	0.00002	58	nan
Enterobacter oligotrophicus	2478464	S	181	186	367	0.00002	0.00001	0.00000	0.00001	56	4.0
Enterobacter huaxiensis	2494702	S	157	163	320	0.00002	0.00001	0.00001	0.00001	59	nan
Cronobacter dublinensis	413497	S	261994	267367	529361	0.02993	0.01512	0.00000	0.01597	60	5.0
Cronobacter sakazakii	28141	S	2162	2781	4943	0.00028	0.00016	0.00000	0.00016	59	5.0
Cronobacter muytjensii	413501	S	723	907	1630	0.00009	0.00005	0.00000	0.00005	60	5.0
Cronobacter malonaticus	413503	S	282	384	666	0.00004	0.00002	0.00000	0.00002	59	5.0
Cronobacter universalis	535744	S	144	149	293	0.00002	0.00001	0.00000	0.00001	60	4.0
Cronobacter condimenti	1163710	S	115	116	231	0.00001	0.00001	0.00000	0.00001	57	5.0
Citrobacter sp. RHBSTW-00524	2742653	S	25405	112631	138036	0.00781	0.00637	0.00712	0.00609	54	nan
Citrobacter freundii	546	S	3303	8270	11573	0.00065	0.00047	0.00053	0.00045	54	nan
Citrobacter braakii	57706	S	786	3813	4599	0.00026	0.00022	0.00024	0.00021	54	nan
Citrobacter portucalensis	1639133	S	417	665	1082	0.00006	0.00004	0.00004	0.00004	54	nan
Citrobacter werkmanii	67827	S	114	245	359	0.00002	0.00001	0.00002	0.00001	54	nan
Citrobacter amalonaticus	35703	S	278	806	1084	0.00006	0.00005	0.00005	0.00004	55	nan
Citrobacter arsenatis	2546350	S	196	215	411	0.00002	0.00001	0.00001	0.00001	55	nan
Citrobacter tructae	2562449	S	194	202	396	0.00002	0.00001	0.00001	0.00001	53	nan
Citrobacter koseri	545	S	131	200	331	0.00002	0.00001	0.00001	0.00001	55	nan
Citrobacter pasteurii	1563222	S	125	183	308	0.00002	0.00001	0.00001	0.00001	54	nan
Blochmannia endosymbiont of Camponotus sp. C-046	2945589	S	16460	64722	81182	0.00459	0.00366	0.00497	0.00478	30	nan
Blochmannia endosymbiont of Camponotus sp.	700220	S	126	126	252	0.00001	0.00001	0.00000	0.00001	32	5.0
Escherichia coli	562	S	2261	10239	12500	0.00071	0.00058	0.00000	0.00056	54	5.0
Escherichia albertii	208962	S	139	144	283	0.00002	0.00001	0.00000	0.00001	52	5.0
Salmonella enterica	28901	S	1220	4144	5364	0.00030	0.00023	0.00000	0.00023	55	5.0
Leclercia adecarboxylata	83655	S	296	370	666	0.00004	0.00002	0.00000	0.00002	58	4.0
Shigella flexneri	623	S	354	2607	2961	0.00017	0.00015	0.00000	0.00014	54	5.0
[Enterobacter] lignolyticus	1334193	S	100	104	204	0.00001	0.00001	0.00000	0.00001	60	4.0
Providencia sp. PROV099	2949815	S	5879	201525	207404	0.01173	0.01140	0.01344	0.01139	43	nan
Providencia sp. PROV252	2936799	S	112	118	230	0.00001	0.00001	0.00000	0.00001	44	5.0
Providencia sp. R33	2828763	S	111	114	225	0.00001	0.00001	0.00000	0.00001	44	5.0
Providencia rettgeri	587	S	982	5036	6018	0.00034	0.00028	0.00034	0.00028	42	nan
Providencia huaxiensis	2027290	S	355	415	770	0.00004	0.00002	0.00000	0.00002	43	5.0
Providencia heimbachae	333962	S	113	116	229	0.00001	0.00001	0.00001	0.00001	43	nan
Providencia alcalifaciens	126385	S	108	112	220	0.00001	0.00001	0.00000	0.00001	44	4.0
Photorhabdus akhurstii	171438	S	102475	102889	205364	0.01161	0.00582	0.00666	0.00577	46	nan
Proteus mirabilis	584	S	146	168	314	0.00002	0.00001	0.00000	0.00001	41	4.0
Erwinia sorbitola	2681984	S	291000	292379	583379	0.03299	0.01653	0.01864	0.01595	55	nan
Erwinia rhapontici	55212	S	124	124	248	0.00001	0.00001	0.00000	0.00001	56	4.0
Serratia liquefaciens	614	S	584	707	1291	0.00007	0.00004	0.00000	0.00004	58	4.0
Serratia odorifera	618	S	411	432	843	0.00005	0.00002	0.00000	0.00002	58	4.0
Serratia sp. P2ACOL2	2482769	S	195	362	557	0.00003	0.00002	0.00000	0.00002	58	4.0
Serratia proteamaculans	28151	S	124	149	273	0.00002	0.00001	0.00000	0.00001	57	4.0
Yersinia enterocolitica	630	S	378	636	1014	0.00006	0.00004	0.00000	0.00003	49	3.0
Pectobacterium aquaticum	2204145	S	134	209	343	0.00002	0.00001	0.00000	0.00001	54	4.0
Pseudomonas sp. A214	1855331	S	128138	514149	642287	0.03632	0.02907	0.03599	0.03159	62	nan
Pseudomonas sp. P105	3049542	S	272	537	809	0.00005	0.00003	0.00004	0.00003	62	nan
Pseudomonas sp. G2-4	1506334	S	255	268	523	0.00003	0.00002	0.00002	0.00002	62	nan
Pseudomonas sp. 7SR1	1881017	S	250	255	505	0.00003	0.00001	0.00002	0.00002	63	nan
Pseudomonas sp. Tri1	2823875	S	231	246	477	0.00003	0.00001	0.00002	0.00002	62	nan
Pseudomonas sp. FP198	2954084	S	230	236	466	0.00003	0.00001	0.00002	0.00001	62	nan
Pseudomonas sp. Cab53	2678258	S	226	236	462	0.00003	0.00001	0.00000	0.00002	63	5.0
Pseudomonas sp. B21-056	2895495	S	197	206	403	0.00002	0.00001	0.00002	0.00001	62	nan
Pseudomonas sp. FP1154	2954077	S	184	592	776	0.00004	0.00003	0.00004	0.00004	62	nan
Pseudomonas sp. St316	2678257	S	181	201	382	0.00002	0.00001	0.00001	0.00001	62	nan
Pseudomonas sp. B21-054	2895494	S	173	187	360	0.00002	0.00001	0.00001	0.00001	62	nan
Pseudomonas sp. B21-028	2895480	S	159	169	328	0.00002	0.00001	0.00001	0.00001	62	nan
Pseudomonas sp. C27(2019)	2604941	S	113	113	226	0.00001	0.00001	0.00000	0.00001	50	3.0
Pseudomonas sp. P13	520056	S	100	463	563	0.00003	0.00003	0.00003	0.00003	62	nan
Pseudomonas sp. MPDS	2762896	S	100	398	498	0.00003	0.00002	0.00003	0.00002	62	nan
Pseudomonas tritici	2745518	S	223990	239364	463354	0.02620	0.01354	0.01625	0.01458	62	nan
Pseudomonas fluorescens	294	S	712	887	1599	0.00009	0.00005	0.00007	0.00005	62	nan
Pseudomonas corrugata	47879	S	134	174	308	0.00002	0.00001	0.00001	0.00001	62	nan
Pseudomonas mediterranea	183795	S	103	153	256	0.00001	0.00001	0.00001	0.00001	62	nan
Pseudomonas chlororaphis	587753	S	188	270	458	0.00003	0.00002	0.00000	0.00002	64	5.0
Pseudomonas protegens	380021	S	111	150	261	0.00001	0.00001	0.00000	0.00001	64	5.0
Pseudomonas putida	303	S	308	513	821	0.00005	0.00003	0.00004	0.00003	63	nan
Pseudomonas aeruginosa	287	S	148	3768	3916	0.00022	0.00021	0.00029	0.00023	62	nan
Pseudomonas brassicacearum	930166	S	294	489	783	0.00004	0.00003	0.00004	0.00003	62	nan
Pseudomonas viciae	2505979	S	156	165	321	0.00002	0.00001	0.00001	0.00001	62	nan
Pseudomonas thivervalensis	86265	S	130	137	267	0.00002	0.00001	0.00001	0.00001	63	nan
Pseudomonas frederiksbergensis	104087	S	112	123	235	0.00001	0.00001	0.00000	0.00001	61	4.0
Halopseudomonas litoralis	797277	S	95214	96570	191784	0.01085	0.00546	0.00641	0.00565	59	nan
Thiopseudomonas alkaliphila	1697053	S	119	119	238	0.00001	0.00001	0.00000	0.00001	48	4.0
Shewanella amazonensis	60478	S	254589	257866	512455	0.02898	0.01458	0.01618	0.01390	54	nan
Salinimonas lutimaris	914153	S	154915	155928	310843	0.01758	0.00882	0.00962	0.00829	51	nan
Alteromonas mediterranea	314275	S	108	121	229	0.00001	0.00001	0.00000	0.00001	45	4.0
Vibrio penaeicida	104609	S	163912	166019	329931	0.01866	0.00939	0.01058	0.00902	45	nan
Aeromonas sp. CA23	2033032	S	23283	27116	50399	0.00285	0.00153	0.00000	0.00172	63	5.0
Aeromonas sp. CU5	2033033	S	266	278	544	0.00003	0.00002	0.00000	0.00002	61	4.0
Aeromonas sp. FDAARGOS 1415	2778064	S	163	175	338	0.00002	0.00001	0.00000	0.00001	65	5.0
Aeromonas bestiarum	105751	S	22721	26730	49451	0.00280	0.00151	0.00000	0.00170	63	5.0
Aeromonas salmonicida	645	S	10399	11393	21792	0.00123	0.00064	0.00000	0.00068	61	4.0
Aeromonas hydrophila	644	S	3290	4288	7578	0.00043	0.00024	0.00037	0.00028	64	nan
Aeromonas veronii	654	S	1491	1904	3395	0.00019	0.00011	0.00000	0.00012	62	5.0
Aeromonas media	651	S	1213	1324	2537	0.00014	0.00007	0.00010	0.00008	64	nan
Aeromonas encheleia	73010	S	1047	1066	2113	0.00012	0.00006	0.00000	0.00007	65	5.0
Aeromonas dhakensis	196024	S	898	1245	2143	0.00012	0.00007	0.00000	0.00008	64	5.0
Aeromonas caviae	648	S	618	1238	1856	0.00010	0.00007	0.00011	0.00008	64	nan
Aeromonas allosaccharophila	656	S	332	420	752	0.00004	0.00002	0.00003	0.00003	62	nan
Aeromonas enteropelogenes	29489	S	272	303	575	0.00003	0.00002	0.00002	0.00002	63	nan
Aeromonas jandaei	650	S	246	282	528	0.00003	0.00002	0.00002	0.00002	62	nan
Aeromonas rivuli	648794	S	225	227	452	0.00003	0.00001	0.00000	0.00001	62	5.0
Aeromonas rivipollensis	948519	S	189	223	412	0.00002	0.00001	0.00000	0.00001	64	5.0
Aeromonas schubertii	652	S	109	110	219	0.00001	0.00001	0.00000	0.00001	63	5.0
