name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Pseudomonas sp. R2-37-08W	1173273	S	411869	812137	1224006	0.08216	0.05451	0.05447	0.05107	62	nan
Pseudomonas sp. IAC-BECa141	2793103	S	49809	90876	140685	0.00944	0.00610	0.00614	0.00576	62	nan
Pseudomonas sp. NBB	2976333	S	1709	697018	698727	0.04690	0.04679	0.04947	0.04489	64	nan
Pseudomonas sp. LS.1a	2920387	S	979	1074	2053	0.00014	0.00007	0.00008	0.00007	64	nan
Pseudomonas sp. Leaf58	1736226	S	774	791	1565	0.00011	0.00005	0.00000	0.00005	62	5.0
Pseudomonas sp. R5-89-07	658644	S	668	707	1375	0.00009	0.00005	0.00005	0.00004	62	nan
Pseudomonas sp. Marseille-Q3773	2866592	S	510	538	1048	0.00007	0.00004	0.00000	0.00004	64	5.0
Pseudomonas sp.	306	S	462	504	966	0.00006	0.00003	0.00000	0.00003	63	5.0
Pseudomonas sp. A2	107445	S	457	837	1294	0.00009	0.00006	0.00006	0.00005	64	nan
Pseudomonas sp. R3-18-08	1173283	S	407	641	1048	0.00007	0.00004	0.00004	0.00004	62	nan
Pseudomonas sp. FGI182	1259844	S	380	605	985	0.00007	0.00004	0.00005	0.00004	64	nan
Pseudomonas sp. LRP2-20	2944234	S	316	331	647	0.00004	0.00002	0.00003	0.00002	65	nan
Pseudomonas sp. PSKL.D1	3029060	S	315	320	635	0.00004	0.00002	0.00002	0.00002	63	nan
Pseudomonas sp. KU43P	2487887	S	284	292	576	0.00004	0.00002	0.00002	0.00002	64	nan
Pseudomonas sp. BT-42-2	2986927	S	273	276	549	0.00004	0.00002	0.00002	0.00002	63	nan
Pseudomonas sp. R4-39-08	1173288	S	235	536	771	0.00005	0.00004	0.00004	0.00003	62	nan
Pseudomonas sp. p1(2021b)	2874628	S	229	248	477	0.00003	0.00002	0.00002	0.00002	65	nan
Pseudomonas sp. R1-43-08	1173270	S	216	489	705	0.00005	0.00003	0.00003	0.00003	62	nan
Pseudomonas sp. SK	2729423	S	216	274	490	0.00003	0.00002	0.00002	0.00002	64	nan
Pseudomonas sp. R3-52-08	1173284	S	212	486	698	0.00005	0.00003	0.00003	0.00003	62	nan
Pseudomonas sp. R2-60-08W	1173280	S	205	500	705	0.00005	0.00003	0.00003	0.00003	62	nan
Pseudomonas sp. R4-34-07	658642	S	205	461	666	0.00004	0.00003	0.00003	0.00003	62	nan
Pseudomonas sp. R4-35-07	658643	S	193	466	659	0.00004	0.00003	0.00003	0.00003	62	nan
Pseudomonas sp. FP597	2954096	S	191	200	391	0.00003	0.00001	0.00000	0.00001	62	5.0
Pseudomonas sp. FP2309	2954091	S	176	183	359	0.00002	0.00001	0.00000	0.00001	62	5.0
Pseudomonas sp. HN11	1344094	S	174	182	356	0.00002	0.00001	0.00000	0.00001	61	4.0
Pseudomonas sp. S09G 359	2054919	S	170	178	348	0.00002	0.00001	0.00001	0.00001	62	nan
Pseudomonas sp. R2-7-07	658641	S	161	494	655	0.00004	0.00003	0.00003	0.00003	62	nan
Pseudomonas sp. S35	1573719	S	160	168	328	0.00002	0.00001	0.00000	0.00001	62	5.0
Pseudomonas sp. R11-23-07	658632	S	153	456	609	0.00004	0.00003	0.00003	0.00003	62	nan
Pseudomonas sp. D3	517398	S	151	158	309	0.00002	0.00001	0.00000	0.00001	62	5.0
Pseudomonas sp. ADAK18	2730848	S	150	153	303	0.00002	0.00001	0.00000	0.00001	60	4.0
Pseudomonas sp. FP2335	2954092	S	145	151	296	0.00002	0.00001	0.00001	0.00001	62	nan
Pseudomonas sp. LG1E9	2219057	S	145	153	298	0.00002	0.00001	0.00000	0.00001	62	5.0
Pseudomonas sp. DG56-2	2320270	S	141	142	283	0.00002	0.00001	0.00000	0.00001	60	4.0
Pseudomonas sp. PIA16	2931382	S	141	142	283	0.00002	0.00001	0.00001	0.00001	64	nan
Pseudomonas sp. NY5710	2662033	S	137	171	308	0.00002	0.00001	0.00001	0.00001	63	nan
Pseudomonas sp. KNUC1026	2893890	S	132	132	264	0.00002	0.00001	0.00000	0.00001	65	5.0
Pseudomonas sp. StFLB209	1028989	S	132	133	265	0.00002	0.00001	0.00000	0.00001	62	5.0
Pseudomonas sp. OE 28.3	2745519	S	131	140	271	0.00002	0.00001	0.00000	0.00001	61	5.0
Pseudomonas sp. LS1212	2972478	S	124	125	249	0.00002	0.00001	0.00000	0.00001	62	5.0
Pseudomonas sp. FP453	2954094	S	116	122	238	0.00002	0.00001	0.00001	0.00001	63	nan
Pseudomonas sp. ADAK13	2730847	S	106	111	217	0.00001	0.00001	0.00001	0.00001	63	nan
Pseudomonas sp. HLS-6	2049589	S	103	105	208	0.00001	0.00001	0.00000	0.00001	61	4.0
Pseudomonas sp. DTU_2021_1001937_2_SI_NGA_ILE_001	3077589	S	102	102	204	0.00001	0.00001	0.00000	0.00001	65	5.0
Pseudomonas sp. RtIB026	2749999	S	101	112	213	0.00001	0.00001	0.00000	0.00001	66	5.0
Pseudomonas putida	303	S	6416	19661	26077	0.00175	0.00132	0.00138	0.00126	64	nan
Pseudomonas inefficax	2078786	S	990	1099	2089	0.00014	0.00007	0.00008	0.00007	64	nan
Pseudomonas plecoglossicida	70775	S	332	422	754	0.00005	0.00003	0.00003	0.00003	64	nan
Pseudomonas mosselii	78327	S	291	320	611	0.00004	0.00002	0.00000	0.00002	66	5.0
Pseudomonas monteilii	76759	S	270	22874	23144	0.00155	0.00154	0.00162	0.00147	64	nan
Pseudomonas shirazica	1940636	S	129	538	667	0.00004	0.00004	0.00004	0.00003	64	nan
Pseudomonas fluorescens	294	S	980	1177	2157	0.00014	0.00008	0.00000	0.00007	62	5.0
Pseudomonas orientalis	76758	S	169	191	360	0.00002	0.00001	0.00000	0.00001	62	5.0
Pseudomonas synxantha	47883	S	148	238	386	0.00003	0.00002	0.00000	0.00001	62	4.0
Pseudomonas asiatica	2219225	S	1216	3951	5167	0.00035	0.00027	0.00028	0.00025	64	nan
Pseudomonas syringae	317	S	218	356	574	0.00004	0.00002	0.00000	0.00002	61	4.0
Pseudomonas syringae group genomosp. 3	251701	S	173	373	546	0.00004	0.00003	0.00000	0.00002	60	4.0
Pseudomonas viridiflava	33069	S	106	107	213	0.00001	0.00001	0.00000	0.00001	61	4.0
Pseudomonas aeruginosa	287	S	512	6214	6726	0.00045	0.00042	0.00046	0.00040	64	nan
Pseudomonas furukawaii	1149133	S	102	104	206	0.00001	0.00001	0.00000	0.00001	67	5.0
Pseudomonas citronellolis	53408	S	102	134	236	0.00002	0.00001	0.00000	0.00001	67	5.0
Pseudomonas chlororaphis	587753	S	325	456	781	0.00005	0.00003	0.00003	0.00003	64	nan
Pseudomonas fragi	296	S	221	247	468	0.00003	0.00002	0.00000	0.00002	60	4.0
Pseudomonas protegens	380021	S	123	168	291	0.00002	0.00001	0.00001	0.00001	64	nan
Pseudomonas entomophila	312306	S	418	639	1057	0.00007	0.00004	0.00000	0.00004	65	5.0
Pseudomonas promysalinigenes	485898	S	321	326	647	0.00004	0.00002	0.00000	0.00002	62	5.0
Pseudomonas kurunegalensis	485880	S	235	411	646	0.00004	0.00003	0.00003	0.00003	64	nan
Pseudomonas parafulva	157782	S	210	222	432	0.00003	0.00001	0.00002	0.00001	64	nan
Pseudomonas anuradhapurensis	485870	S	204	256	460	0.00003	0.00002	0.00002	0.00002	64	nan
Pseudomonas kermanshahensis	2745482	S	201	278	479	0.00003	0.00002	0.00002	0.00002	64	nan
Pseudomonas xantholysinigenes	2745490	S	164	171	335	0.00002	0.00001	0.00000	0.00001	65	5.0
Pseudomonas cremoricolorata	157783	S	157	158	315	0.00002	0.00001	0.00000	0.00001	64	5.0
Pseudomonas muyukensis	2842357	S	153	160	313	0.00002	0.00001	0.00000	0.00001	67	5.0
Pseudomonas alkylphenolica	237609	S	147	150	297	0.00002	0.00001	0.00000	0.00001	63	5.0
Pseudomonas xanthosomatis	2842356	S	142	150	292	0.00002	0.00001	0.00000	0.00001	66	5.0
Pseudomonas fakonensis	2842355	S	135	142	277	0.00002	0.00001	0.00000	0.00001	66	5.0
Pseudomonas juntendi	2666183	S	125	217	342	0.00002	0.00001	0.00001	0.00001	64	nan
Pseudomonas tructae	2518644	S	120	122	242	0.00002	0.00001	0.00001	0.00001	63	nan
Marinobacter sp. LA51	3035454	S	99315	100077	199392	0.01338	0.00672	0.00650	0.00607	58	nan
Enterobacter cloacae complex sp. ECNIH7	1915310	S	12672	40748	53420	0.00359	0.00274	0.00261	0.00246	58	nan
Enterobacter cloacae complex sp.	2027919	S	969	1243	2212	0.00015	0.00008	0.00000	0.00008	58	5.0
Enterobacter sp. BIDMC100	1686399	S	144	1578	1722	0.00012	0.00011	0.00010	0.00010	57	nan
Enterobacter hormaechei	158836	S	10597	85381	95978	0.00644	0.00573	0.00545	0.00514	57	nan
Enterobacter cloacae	550	S	2122	4305	6427	0.00043	0.00029	0.00028	0.00026	57	nan
Enterobacter asburiae	61645	S	1260	2662	3922	0.00026	0.00018	0.00017	0.00016	58	nan
Enterobacter roggenkampii	1812935	S	833	1089	1922	0.00013	0.00007	0.00007	0.00007	58	nan
Enterobacter cancerogenus	69218	S	580	603	1183	0.00008	0.00004	0.00004	0.00004	58	nan
Enterobacter kobei	208224	S	376	1069	1445	0.00010	0.00007	0.00007	0.00006	57	nan
Enterobacter ludwigii	299767	S	356	917	1273	0.00009	0.00006	0.00006	0.00006	57	nan
Enterobacter chuandaensis	2497875	S	264	303	567	0.00004	0.00002	0.00002	0.00002	58	nan
Enterobacter sichuanensis	2071710	S	233	253	486	0.00003	0.00002	0.00002	0.00002	57	nan
Enterobacter chengduensis	2494701	S	205	250	455	0.00003	0.00002	0.00002	0.00002	58	nan
Enterobacter sp. DSM 30060	2747372	S	19906	606966	626872	0.04208	0.04074	0.03874	0.03653	57	nan
Enterobacter sp. RHBSTW-00994	2742676	S	188	192	380	0.00003	0.00001	0.00000	0.00001	53	4.0
Enterobacter sp. DTU_2021_1002640_1_SI_PRY_ASU_LCPMC_013	3077940	S	135	376	511	0.00003	0.00003	0.00002	0.00002	57	nan
Enterobacter sp. CP102	2976431	S	114	125	239	0.00002	0.00001	0.00000	0.00001	56	4.0
Enterobacter mori	539813	S	1038	1144	2182	0.00015	0.00008	0.00007	0.00007	57	nan
Enterobacter bugandensis	881260	S	459	683	1142	0.00008	0.00005	0.00004	0.00004	58	nan
Enterobacter oligotrophicus	2478464	S	346	360	706	0.00005	0.00002	0.00000	0.00002	56	5.0
Enterobacter huaxiensis	2494702	S	336	355	691	0.00005	0.00002	0.00002	0.00002	59	nan
Enterobacter soli	885040	S	128	139	267	0.00002	0.00001	0.00000	0.00001	55	5.0
Escherichia sp. E4742	2044467	S	112501	127786	240287	0.01613	0.00858	0.00810	0.00753	53	nan
Escherichia coli	562	S	5161	49383	54544	0.00366	0.00331	0.00336	0.00294	54	nan
Escherichia albertii	208962	S	295	336	631	0.00004	0.00002	0.00002	0.00002	52	nan
Escherichia marmotae	1499973	S	289	319	608	0.00004	0.00002	0.00002	0.00002	53	nan
Escherichia fergusonii	564	S	166	243	409	0.00003	0.00002	0.00002	0.00001	52	nan
Klebsiella huaxiensis	2153354	S	63627	66087	129714	0.00871	0.00444	0.00421	0.00394	56	nan
Klebsiella pneumoniae	573	S	668	2452	3120	0.00021	0.00016	0.00000	0.00015	57	5.0
Klebsiella michiganensis	1134687	S	406	513	919	0.00006	0.00003	0.00000	0.00003	58	5.0
Klebsiella oxytoca	571	S	358	378	736	0.00005	0.00003	0.00000	0.00002	57	5.0
Klebsiella quasipneumoniae	1463165	S	279	379	658	0.00004	0.00003	0.00000	0.00002	59	5.0
Klebsiella grimontii	2058152	S	230	409	639	0.00004	0.00003	0.00000	0.00002	58	5.0
Raoultella ornithinolytica	54291	S	245	409	654	0.00004	0.00003	0.00000	0.00002	57	5.0
Salmonella enterica	28901	S	2503	58882	61385	0.00412	0.00395	0.00377	0.00351	54	nan
Salmonella bongori	54736	S	103	443	546	0.00004	0.00003	0.00003	0.00003	54	nan
Citrobacter freundii	546	S	123	380	503	0.00003	0.00003	0.00002	0.00002	54	nan
Shigella flexneri	623	S	100	1974	2074	0.00014	0.00013	0.00013	0.00012	54	nan
Wigglesworthia glossinidia	51229	S	281323	281447	562770	0.03777	0.01889	0.00000	0.03016	24	5.0
Candidatus Erwinia haradaeae	1922217	S	64602	64624	129226	0.00867	0.00434	0.00000	0.00514	36	5.0
Dickeya dianthicola	204039	S	229304	237395	466699	0.03133	0.01593	0.01551	0.01451	58	nan
Pectobacterium carotovorum	554	S	100	139	239	0.00002	0.00001	0.00000	0.00001	54	3.0
Proteus sp. HZ0627	3034648	S	13346	21304	34650	0.00233	0.00143	0.00149	0.00138	41	nan
Morganella morganii	582	S	264	286	550	0.00004	0.00002	0.00000	0.00002	54	5.0
Pseudoalteromonas sp. HL-AS1	3071081	S	286400	363704	650104	0.04364	0.02441	0.02435	0.02271	40	nan
Pseudoalteromonas arctica	394751	S	276	307	583	0.00004	0.00002	0.00002	0.00002	40	nan
Pseudoalteromonas aliena	247523	S	157	160	317	0.00002	0.00001	0.00001	0.00001	40	nan
Pseudoalteromonas distincta	77608	S	138	193	331	0.00002	0.00001	0.00001	0.00001	40	nan
Shewanella sp. Scap07	2589987	S	181097	181722	362819	0.02435	0.01220	0.01141	0.01067	46	nan
Shewanella livingstonensis	150120	S	70233	71247	141480	0.00950	0.00478	0.00469	0.00435	43	nan
Thalassotalea sp. LPB0316	2769490	S	67113	67573	134686	0.00904	0.00454	0.00436	0.00407	42	nan
Thalassotalea piscium	1230533	S	46910	47163	94073	0.00631	0.00317	0.00327	0.00303	38	nan
Vibrio palustris	1918946	S	306412	308801	615213	0.04130	0.02073	0.01969	0.01843	43	nan
Vibrio sp. SCSIO 43137	3021011	S	286845	287801	574646	0.03857	0.01932	0.01810	0.01698	47	nan
Mannheimia pernigra	111844	S	233604	361416	595020	0.03994	0.02426	0.02500	0.02279	40	nan
Mannheimia haemolytica	75985	S	255	438	693	0.00005	0.00003	0.00000	0.00003	41	5.0
Mannheimia varigena	85404	S	224	235	459	0.00003	0.00002	0.00000	0.00001	41	5.0
Mannheimia bovis	2770636	S	150	169	319	0.00002	0.00001	0.00001	0.00001	40	nan
Mannheimia granulomatis	85402	S	147	148	295	0.00002	0.00001	0.00000	0.00001	40	5.0
Dyella sp. M7H15-1	2501295	S	249464	249676	499140	0.03350	0.01676	0.01657	0.01537	60	nan
Stenotrophomonas maltophilia	40324	S	100	215	315	0.00002	0.00001	0.00000	0.00002	67	4.0
Aeromonas allosaccharophila	656	S	105769	136681	242450	0.01627	0.00917	0.00872	0.00848	62	nan
Aeromonas sp. FDAARGOS 1410	2778059	S	60222	87142	147364	0.00989	0.00585	0.00582	0.00542	62	nan
Aeromonas veronii	654	S	1026	1340	2366	0.00016	0.00009	0.00010	0.00008	62	nan
Aeromonas jandaei	650	S	369	430	799	0.00005	0.00003	0.00003	0.00003	62	nan
Aeromonas hydrophila	644	S	255	344	599	0.00004	0.00002	0.00000	0.00002	63	5.0
Aeromonas salmonicida	645	S	203	286	489	0.00003	0.00002	0.00002	0.00002	61	nan
Aeromonas dhakensis	196024	S	106	151	257	0.00002	0.00001	0.00000	0.00001	64	5.0
Allochromatium tepidum	553982	S	217880	218107	435987	0.02926	0.01464	0.01568	0.01463	66	nan
Acinetobacter sp. MYb10	1827285	S	76789	102634	179423	0.01204	0.00689	0.00700	0.00658	39	nan
Aquirhabdus parva	2283318	S	64320	64355	128675	0.00864	0.00432	0.00408	0.00380	47	nan
Psychrobacter sp. DAB_AL43B	1028416	S	46317	46627	92944	0.00624	0.00313	0.00306	0.00285	44	nan
Psychrobacter sp. DAB_AL62B	1028420	S	492	507	999	0.00007	0.00003	0.00000	0.00003	36	5.0
Psychrobacter sp. P11F6	1699621	S	294	302	596	0.00004	0.00002	0.00000	0.00002	45	4.0
Psychrobacter sp. WB2	3043330	S	238	259	497	0.00003	0.00002	0.00000	0.00002	45	5.0
Psychrobacter sp. van23A	3064892	S	187	208	395	0.00003	0.00001	0.00000	0.00001	47	5.0
Psychrobacter sp. DAB_AL32B	1028414	S	128	129	257	0.00002	0.00001	0.00000	0.00001	39	4.0
Psychrobacter sp. P11G3	1699623	S	120	130	250	0.00002	0.00001	0.00000	0.00001	46	4.0
Psychrobacter sp. SC65A.3	2983299	S	108	162	270	0.00002	0.00001	0.00000	0.00001	45	5.0
Psychrobacter urativorans	45610	S	276	277	553	0.00004	0.00002	0.00000	0.00002	45	5.0
Psychrobacter arcticus	334543	S	238	239	477	0.00003	0.00002	0.00000	0.00001	45	4.0
Psychrobacter cryohalolentis	330922	S	135	163	298	0.00002	0.00001	0.00000	0.00001	44	4.0
Hydrogenovibrio crunogenus	39765	S	109919	110363	220282	0.01479	0.00741	0.00706	0.00664	44	nan
Methylomonas sp. UP202	3040943	S	65773	66361	132134	0.00887	0.00445	0.00428	0.00401	57	nan
Acidiphilium cryptum	524	S	178381	319052	497433	0.03339	0.02142	0.02435	0.02316	67	nan
Acidiphilium multivorum	62140	S	348	502	850	0.00006	0.00003	0.00000	0.00004	68	5.0
Acetobacter pasteurianus	438	S	81589	106914	188503	0.01265	0.00718	0.00000	0.00633	54	5.0
Acetobacter ascendens	481146	S	26241	27322	53563	0.00360	0.00183	0.00176	0.00162	54	nan
Acetobacter oryzoeni	2500548	S	10407	11870	22277	0.00150	0.00080	0.00076	0.00070	54	nan
Acetobacter ghanensis	431306	S	2578	2588	5166	0.00035	0.00017	0.00000	0.00016	59	5.0
Acetobacter oryzifermentans	1633874	S	2349	5204	7553	0.00051	0.00035	0.00033	0.00031	54	nan
Acetobacter persici	1076596	S	2069	2071	4140	0.00028	0.00014	0.00000	0.00013	58	5.0
Acetobacter vaccinii	2592655	S	1364	1368	2732	0.00018	0.00009	0.00000	0.00009	61	5.0
Acetobacter pomorum	65959	S	860	7022	7882	0.00053	0.00047	0.00044	0.00042	54	nan
Acetobacter tropicalis	104102	S	816	888	1704	0.00011	0.00006	0.00000	0.00005	58	5.0
Acetobacter aceti	435	S	589	592	1181	0.00008	0.00004	0.00000	0.00004	59	5.0
Acetobacter senegalensis	446692	S	586	631	1217	0.00008	0.00004	0.00000	0.00004	57	5.0
Komagataeibacter rhaeticus	215221	S	21755	22850	44605	0.00299	0.00153	0.00158	0.00151	65	nan
Komagataeibacter nataicola	265960	S	491	527	1018	0.00007	0.00004	0.00000	0.00003	65	4.0
Komagataeibacter oboediens	65958	S	464	506	970	0.00007	0.00003	0.00000	0.00003	63	4.0
Komagataeibacter europaeus	33995	S	141	152	293	0.00002	0.00001	0.00000	0.00001	64	4.0
Komagataeibacter saccharivorans	265959	S	136	140	276	0.00002	0.00001	0.00000	0.00001	63	4.0
Komagataeibacter xylinus	28448	S	127	138	265	0.00002	0.00001	0.00000	0.00001	64	4.0
Gluconobacter oxydans	442	S	137	178	315	0.00002	0.00001	0.00000	0.00001	62	4.0
Novacetimonas hansenii	436	S	226	226	452	0.00003	0.00002	0.00000	0.00001	62	4.0
Paracoccus sp. Arc7-R13	2500532	S	333877	377172	711049	0.04773	0.02532	0.02799	0.02678	67	nan
Paracoccus marcusii	59779	S	284	304	588	0.00004	0.00002	0.00002	0.00002	68	nan
