name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	587346	596717	1184063	0.15889	0.04522	0.04731	0.04689	47	nan
Enterocloster clostridioformis	1531	S	405493	414408	819901	0.11002	0.03539	0.03748	0.03740	51	nan
Enterocloster bolteae	208479	S	7152	7252	14404	0.00193	0.00054	0.00000	0.00057	51	4.0
Agathobacter rectalis	39491	S	297950	316206	614156	0.08241	0.04536	0.04429	0.04394	43	nan
[Clostridium] hylemonae	89153	S	1622	1652	3274	0.00044	0.00020	0.00000	0.00021	50	4.0
Roseburia hominis	301301	S	880	962	1842	0.00025	0.00013	0.00000	0.00014	51	5.0
Wansuia hejianensis	2763667	S	566	570	1136	0.00015	0.00007	0.00000	0.00007	51	4.0
Flavonifractor plautii	292800	S	405414	411170	816584	0.10958	0.04786	0.04790	0.04929	63	nan
Faecalibacterium duncaniae	411483	S	232342	326628	558970	0.07501	0.05245	0.05499	0.05486	60	nan
Faecalibacterium prausnitzii	853	S	2783	3163	5946	0.00080	0.00050	0.00000	0.00052	60	5.0
Clostridioides difficile	1496	S	4269	4410	8679	0.00116	0.00050	0.00000	0.00043	28	0.0
Hungatella hathewayi	154046	S	528	546	1074	0.00014	0.00004	0.00000	0.00004	50	5.0
Bacillus subtilis	1423	S	15461	450894	466355	0.06258	0.05170	0.05303	0.05204	44	nan
Bacillus vallismortis	72361	S	1687	1716	3403	0.00046	0.00020	0.00020	0.00020	44	nan
Bacillus inaquosorum	483913	S	1361	1426	2787	0.00037	0.00016	0.00016	0.00016	44	nan
Bacillus spizizenii	96241	S	1052	1521	2573	0.00035	0.00018	0.00018	0.00018	44	nan
Bacillus tequilensis	227866	S	800	819	1619	0.00022	0.00010	0.00010	0.00010	44	nan
Bacillus atrophaeus	1452	S	525	533	1058	0.00014	0.00006	0.00006	0.00006	44	nan
Bacillus cabrialesii	2487276	S	715	737	1452	0.00019	0.00008	0.00009	0.00009	44	nan
Bacillus rugosus	2715209	S	626	655	1281	0.00017	0.00007	0.00008	0.00008	44	nan
Staphylococcus epidermidis	1282	S	292789	313164	605953	0.08131	0.05784	0.04685	0.04643	32	nan
Streptococcus mutans	1309	S	241875	244815	486690	0.06531	0.05668	0.04948	0.04930	37	nan
Lactobacillus delbrueckii	1584	S	196784	198169	394953	0.05300	0.04822	0.05263	0.05177	53	nan
Megamonas funiformis	437897	S	304030	304272	608302	0.08163	0.05916	0.04674	0.04839	32	nan
Megasphaera elsdenii	907	S	235168	236146	471314	0.06325	0.04480	0.04879	0.04791	55	nan
Bifidobacterium longum	216816	S	454574	533148	987722	0.13254	0.09538	0.09893	0.09839	61	nan
Bifidobacterium breve	1685	S	503	720	1223	0.00016	0.00015	0.00000	0.00016	59	5.0
Cutibacterium acnes	1747	S	220558	222577	443135	0.05947	0.04210	0.04355	0.04424	60	nan
Collinsella aerofaciens	74426	S	290440	291107	581547	0.07804	0.05700	0.05974	0.05931	61	nan
Pseudomonas putida	303	S	705815	731801	1437616	0.19292	0.06185	0.05862	0.06129	63	nan
Escherichia coli	562	S	43142	443961	487103	0.06537	0.04271	0.04663	0.04583	53	nan
Escherichia albertii	208962	S	1504	1774	3278	0.00044	0.00018	0.00018	0.00019	52	nan
Escherichia marmotae	1499973	S	905	1049	1954	0.00026	0.00010	0.00011	0.00011	52	nan
Escherichia fergusonii	564	S	901	1454	2355	0.00032	0.00015	0.00016	0.00016	52	nan
Escherichia sp. E4742	2044467	S	568	772	1340	0.00018	0.00007	0.00008	0.00008	53	nan
Shigella flexneri	623	S	785	14432	15217	0.00204	0.00147	0.00160	0.00158	53	nan
Shigella dysenteriae	622	S	663	2873	3536	0.00047	0.00030	0.00033	0.00032	53	nan
Salmonella enterica	28901	S	734	4872	5606	0.00075	0.00048	0.00055	0.00051	53	nan
Bacteroides uniformis	820	S	379727	565845	945572	0.12689	0.05483	0.05747	0.05662	48	nan
Parabacteroides distasonis	823	S	306613	522418	829031	0.11125	0.04796	0.04936	0.04901	46	nan
Akkermansia muciniphila	239935	S	271317	272805	544122	0.07302	0.04724	0.05233	0.05072	57	nan
Campylobacter jejuni	197	S	1340	1842	3182	0.00043	0.00052	0.00000	0.00042	30	0.0
