name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	696886	708529	1405415	0.16321	0.04671	0.04726	0.04682	47	nan
Enterocloster clostridioformis	1531	S	479219	490268	969487	0.11258	0.03641	0.03725	0.03718	52	nan
Enterocloster bolteae	208479	S	8370	8492	16862	0.00196	0.00055	0.00000	0.00056	51	4.0
Agathobacter rectalis	39491	S	336530	356867	693397	0.08052	0.04465	0.04332	0.04288	44	nan
[Clostridium] hylemonae	89153	S	2018	2058	4076	0.00047	0.00022	0.00000	0.00022	50	4.0
Roseburia hominis	301301	S	1145	1286	2431	0.00028	0.00015	0.00017	0.00015	51	nan
Wansuia hejianensis	2763667	S	766	773	1539	0.00018	0.00008	0.00000	0.00008	51	0.0
Flavonifractor plautii	292800	S	449605	456238	905843	0.10519	0.04619	0.04711	0.04878	63	nan
Faecalibacterium duncaniae	411483	S	268023	377711	645734	0.07499	0.05276	0.05437	0.05450	60	nan
Faecalibacterium prausnitzii	853	S	2698	3065	5763	0.00067	0.00042	0.00000	0.00044	60	5.0
Clostridioides difficile	1496	S	5112	5247	10359	0.00120	0.00052	0.00000	0.00050	28	0.0
Hungatella hathewayi	154046	S	606	625	1231	0.00014	0.00004	0.00000	0.00004	50	5.0
Bacillus subtilis	1423	S	10977	539353	550330	0.06391	0.05367	0.05380	0.05270	44	nan
Bacillus vallismortis	72361	S	1178	1203	2381	0.00028	0.00012	0.00012	0.00012	44	nan
Bacillus inaquosorum	483913	S	866	917	1783	0.00021	0.00009	0.00009	0.00009	45	nan
Bacillus spizizenii	96241	S	730	2180	2910	0.00034	0.00022	0.00022	0.00022	44	nan
Bacillus tequilensis	227866	S	521	537	1058	0.00012	0.00006	0.00005	0.00005	45	nan
Staphylococcus epidermidis	1282	S	320253	344128	664381	0.07715	0.05543	0.04962	0.04852	32	nan
Listeria monocytogenes	1639	S	633	646	1279	0.00015	0.00009	0.00000	0.00008	38	0.0
Streptococcus mutans	1309	S	273017	276390	549407	0.06380	0.05562	0.04995	0.05001	37	nan
Lactobacillus delbrueckii	1584	S	230523	232249	462772	0.05374	0.04919	0.05156	0.05073	53	nan
Megamonas funiformis	437897	S	333776	334051	667827	0.07755	0.05650	0.04866	0.05074	31	nan
Megasphaera elsdenii	907	S	270759	271884	542643	0.06302	0.04487	0.04713	0.04648	55	nan
Bifidobacterium longum	216816	S	518040	607037	1125077	0.13065	0.09437	0.09832	0.09782	61	nan
Cutibacterium acnes	1747	S	257814	260109	517923	0.06014	0.04278	0.04568	0.04463	60	nan
Collinsella aerofaciens	74426	S	326233	326951	653184	0.07585	0.05568	0.05836	0.05851	62	nan
Pseudomonas putida	303	S	789906	822107	1612013	0.18720	0.06054	0.05806	0.06159	64	nan
Escherichia coli	562	S	33819	547901	581720	0.06755	0.04595	0.04833	0.04750	53	nan
Escherichia albertii	208962	S	1022	1341	2363	0.00027	0.00012	0.00012	0.00012	52	nan
Escherichia marmotae	1499973	S	615	769	1384	0.00016	0.00007	0.00007	0.00007	52	nan
Escherichia fergusonii	564	S	575	1144	1719	0.00020	0.00010	0.00011	0.00011	52	nan
Shigella flexneri	623	S	530	15866	16396	0.00190	0.00141	0.00148	0.00146	53	nan
Bacteroides uniformis	820	S	451483	671981	1123464	0.13046	0.05663	0.05752	0.05675	48	nan
Parabacteroides distasonis	823	S	362161	617389	979550	0.11375	0.04929	0.04941	0.04898	46	nan
Akkermansia muciniphila	239935	S	318919	320606	639525	0.07427	0.04799	0.05187	0.05014	57	nan
Campylobacter jejuni	197	S	1460	2021	3481	0.00040	0.00050	0.00000	0.00044	30	0.0
Homo sapiens	9606	S	1317	1354	2671	0.00031	0.00002	0.00000	0.00002	38	4.0
