name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	665799	676406	1342205	0.16388	0.04674	0.04712	0.04685	47	nan
Enterocloster clostridioformis	1531	S	453501	463774	917275	0.11199	0.03611	0.03711	0.03714	51	nan
Enterocloster bolteae	208479	S	8212	8329	16541	0.00202	0.00056	0.00000	0.00058	51	4.0
Agathobacter rectalis	39491	S	328360	348401	676761	0.08263	0.04561	0.04338	0.04301	43	nan
[Clostridium] hylemonae	89153	S	1920	1959	3879	0.00047	0.00022	0.00000	0.00022	50	4.0
Roseburia hominis	301301	S	989	1100	2089	0.00026	0.00013	0.00000	0.00014	51	5.0
Wansuia hejianensis	2763667	S	632	637	1269	0.00015	0.00007	0.00000	0.00007	51	0.0
Flavonifractor plautii	292800	S	421917	428021	849938	0.10377	0.04544	0.04752	0.04906	63	nan
Faecalibacterium duncaniae	411483	S	251779	353277	605056	0.07387	0.05173	0.05473	0.05455	60	nan
Faecalibacterium prausnitzii	853	S	2546	2890	5436	0.00066	0.00042	0.00000	0.00044	60	5.0
Clostridioides difficile	1496	S	4939	5113	10052	0.00123	0.00053	0.00000	0.00047	28	0.0
Hungatella hathewayi	154046	S	571	589	1160	0.00014	0.00004	0.00000	0.00004	50	5.0
Bacillus subtilis	1423	S	11069	513619	524688	0.06406	0.05357	0.05299	0.05214	44	nan
Bacillus vallismortis	72361	S	1142	1168	2310	0.00028	0.00012	0.00012	0.00012	44	nan
Bacillus inaquosorum	483913	S	877	932	1809	0.00022	0.00009	0.00009	0.00009	44	nan
Bacillus spizizenii	96241	S	710	1566	2276	0.00028	0.00017	0.00017	0.00016	44	nan
Bacillus tequilensis	227866	S	568	586	1154	0.00014	0.00006	0.00006	0.00006	44	nan
Bacillus cabrialesii	2487276	S	509	539	1048	0.00013	0.00006	0.00006	0.00006	44	nan
Staphylococcus epidermidis	1282	S	327057	350362	677419	0.08271	0.05922	0.04922	0.04840	32	nan
Streptococcus mutans	1309	S	271465	274664	546129	0.06668	0.05796	0.04959	0.04987	37	nan
Lactobacillus delbrueckii	1584	S	215844	217409	433253	0.05290	0.04827	0.05139	0.05038	53	nan
Megamonas funiformis	437897	S	339670	339948	679618	0.08298	0.06028	0.04834	0.05038	32	nan
Megasphaera elsdenii	907	S	255278	256312	511590	0.06246	0.04435	0.04743	0.04669	55	nan
Bifidobacterium longum	216816	S	483615	565842	1049457	0.12813	0.09262	0.09947	0.09857	61	nan
Cutibacterium acnes	1747	S	237247	239311	476558	0.05818	0.04124	0.04429	0.04425	60	nan
Collinsella aerofaciens	74426	S	305105	305759	610864	0.07458	0.05459	0.05907	0.05886	61	nan
Pseudomonas putida	303	S	734225	762878	1497103	0.18279	0.05891	0.05817	0.06162	63	nan
Escherichia coli	562	S	33151	512584	545735	0.06663	0.04535	0.04839	0.04747	53	nan
Escherichia albertii	208962	S	1048	1347	2395	0.00029	0.00012	0.00012	0.00013	52	nan
Escherichia fergusonii	564	S	610	1187	1797	0.00022	0.00011	0.00012	0.00012	52	nan
Escherichia marmotae	1499973	S	554	686	1240	0.00015	0.00006	0.00007	0.00007	52	nan
Shigella flexneri	623	S	533	16487	17020	0.00208	0.00153	0.00163	0.00160	53	nan
Bacteroides uniformis	820	S	432784	642457	1075241	0.13128	0.05677	0.05777	0.05686	48	nan
Parabacteroides distasonis	823	S	350542	593267	943809	0.11523	0.04965	0.04948	0.04917	46	nan
Akkermansia muciniphila	239935	S	296439	298051	594490	0.07258	0.04671	0.05210	0.04985	57	nan
Campylobacter jejuni	197	S	1577	2223	3800	0.00046	0.00057	0.00000	0.00047	30	0.0
Homo sapiens	9606	S	688	701	1389	0.00017	0.00001	0.00000	0.00001	38	4.0
