name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	618636	632991	1251627	0.16200	0.04630	0.04523	0.04539	47	nan
Enterocloster clostridioformis	1531	S	424036	446324	870360	0.11265	0.03679	0.03587	0.03618	51	nan
Enterocloster bolteae	208479	S	7052	7220	14272	0.00185	0.00051	0.00000	0.00051	51	4.0
Agathobacter rectalis	39491	S	322167	347378	669545	0.08666	0.04827	0.04746	0.04702	43	nan
[Clostridium] hylemonae	89153	S	1726	1781	3507	0.00045	0.00021	0.00024	0.00020	50	nan
Roseburia hominis	301301	S	927	1066	1993	0.00026	0.00014	0.00013	0.00014	51	nan
Wansuia hejianensis	2763667	S	625	641	1266	0.00016	0.00007	0.00000	0.00007	50	4.0
Flavonifractor plautii	292800	S	386041	395362	781403	0.10114	0.04443	0.04486	0.04658	64	nan
Faecalibacterium duncaniae	411483	S	221866	338068	559934	0.07247	0.05241	0.05303	0.05286	60	nan
Faecalibacterium prausnitzii	853	S	2046	2410	4456	0.00058	0.00037	0.00046	0.00038	61	nan
Clostridioides difficile	1496	S	4207	4455	8662	0.00112	0.00049	0.00000	0.00054	29	0.0
Hungatella hathewayi	154046	S	528	557	1085	0.00014	0.00004	0.00003	0.00004	50	nan
Bacillus subtilis	1423	S	5306	486788	492094	0.06369	0.05382	0.05373	0.05257	45	nan
Staphylococcus epidermidis	1282	S	262640	290802	553442	0.07163	0.05218	0.05861	0.05170	32	nan
Streptococcus mutans	1309	S	237065	242245	479310	0.06204	0.05409	0.05270	0.05191	37	nan
Lactobacillus delbrueckii	1584	S	210620	217387	428007	0.05540	0.05110	0.04993	0.05025	53	nan
Megamonas funiformis	437897	S	293900	294792	588692	0.07620	0.05534	0.05394	0.05629	31	nan
Megasphaera elsdenii	907	S	273827	275495	549322	0.07110	0.05043	0.05011	0.05021	56	nan
Bifidobacterium longum	216816	S	454146	550664	1004810	0.13006	0.09600	0.09746	0.09830	61	nan
Cutibacterium acnes	1747	S	238723	242382	481105	0.06227	0.04414	0.04623	0.04541	60	nan
Mycobacterium canettii	78331	S	1013	1026	2039	0.00026	0.00011	0.00000	0.00011	65	0.0
Collinsella aerofaciens	74426	S	278542	281075	559617	0.07243	0.05317	0.05464	0.05519	61	nan
Pseudomonas putida	303	S	677405	723034	1400439	0.18126	0.05934	0.05700	0.06054	63	nan
Escherichia coli	562	S	19932	513313	533245	0.06902	0.04804	0.04780	0.04733	53	nan
Bacteroides uniformis	820	S	381227	584817	966044	0.12504	0.05471	0.05298	0.05357	49	nan
Parabacteroides distasonis	823	S	303607	543924	847531	0.10970	0.04819	0.04689	0.04717	46	nan
Akkermansia muciniphila	239935	S	295198	297489	592687	0.07671	0.04885	0.05066	0.04909	57	nan
Campylobacter jejuni	197	S	1121	1541	2662	0.00034	0.00042	0.00000	0.00043	30	0.0
Homo sapiens	9606	S	915	942	1857	0.00024	0.00002	0.00000	0.00002	37	3.0
