name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	414706	422731	837437	0.15991	0.04531	0.04679	0.04556	48	nan
Enterocloster clostridioformis	1531	S	290779	300864	591643	0.11298	0.03637	0.03724	0.03640	52	nan
Enterocloster bolteae	208479	S	4741	4832	9573	0.00183	0.00051	0.00000	0.00051	51	4.0
Agathobacter rectalis	39491	S	199197	213778	412975	0.07886	0.04355	0.04577	0.04403	44	nan
[Clostridium] hylemonae	89153	S	1167	1197	2364	0.00045	0.00020	0.00000	0.00020	50	4.0
Roseburia hominis	301301	S	630	702	1332	0.00025	0.00013	0.00000	0.00013	51	5.0
Flavonifractor plautii	292800	S	276463	281917	558380	0.10663	0.04646	0.04562	0.04640	64	nan
Faecalibacterium duncaniae	411483	S	153036	233503	386539	0.07381	0.05308	0.05330	0.05217	60	nan
Faecalibacterium prausnitzii	853	S	1506	1774	3280	0.00063	0.00040	0.00000	0.00039	60	5.0
Clostridioides difficile	1496	S	2990	3179	6169	0.00118	0.00051	0.00000	0.00059	29	5.0
Bacillus subtilis	1423	S	4925	303168	308093	0.05883	0.04915	0.05194	0.04959	45	nan
Bacillus cereus	1396	S	730	21752	22482	0.00429	0.00262	0.00279	0.00264	44	nan
Staphylococcus epidermidis	1282	S	168272	183481	351753	0.06717	0.04811	0.05216	0.05029	33	nan
Streptococcus mutans	1309	S	157221	160204	317425	0.06061	0.05248	0.05432	0.05350	37	nan
Lactobacillus delbrueckii	1584	S	140695	143007	283702	0.05417	0.04930	0.05090	0.04927	53	nan
Megamonas funiformis	437897	S	177481	177849	355330	0.06785	0.04896	0.05148	0.05279	32	nan
Megasphaera elsdenii	907	S	167985	168929	336914	0.06434	0.04533	0.04682	0.04499	56	nan
Bifidobacterium longum	216816	S	307552	376632	684184	0.13065	0.09588	0.09488	0.09347	61	nan
Cutibacterium acnes	1747	S	163499	165728	329227	0.06287	0.04434	0.04341	0.04320	60	nan
Collinsella aerofaciens	74426	S	196265	197274	393539	0.07515	0.05475	0.05497	0.05392	61	nan
Pseudomonas putida	303	S	484571	511394	995965	0.19019	0.06172	0.05747	0.05930	64	nan
Escherichia coli	562	S	29949	364813	394762	0.07538	0.05000	0.05076	0.04992	53	nan
Escherichia albertii	208962	S	560	747	1307	0.00025	0.00011	0.00010	0.00011	52	nan
Salmonella sp.	599	S	909	10740	11649	0.00222	0.01589	0.00000	0.01584	52	5.0
Serratia marcescens	615	S	575	598	1173	0.00022	0.00008	0.00000	0.00008	63	4.0
Bacteroides uniformis	820	S	258273	400235	658508	0.12575	0.05490	0.05714	0.05517	49	nan
Parabacteroides distasonis	823	S	206005	374358	580363	0.11082	0.04864	0.05050	0.04893	47	nan
Akkermansia muciniphila	239935	S	207930	209434	417364	0.07970	0.05076	0.05165	0.05011	57	nan
Campylobacter jejuni	197	S	760	1091	1851	0.00035	0.00044	0.00000	0.00047	30	0.0
Homo sapiens	9606	S	846	871	1717	0.00033	0.00002	0.00000	0.00002	37	3.0
