name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	253723	259033	512756	0.16219	0.04630	0.04657	0.04651	48	nan
Enterocloster clostridioformis	1531	S	176807	183452	360259	0.11395	0.03696	0.03724	0.03691	52	nan
Enterocloster bolteae	208479	S	2940	2999	5939	0.00188	0.00052	0.00000	0.00052	51	4.0
Agathobacter rectalis	39491	S	134524	143611	278135	0.08798	0.04899	0.05006	0.04948	44	nan
[Clostridium] hylemonae	89153	S	681	699	1380	0.00044	0.00020	0.00000	0.00020	50	4.0
Flavonifractor plautii	292800	S	163009	166350	329359	0.10418	0.04569	0.04409	0.04574	64	nan
Faecalibacterium duncaniae	411483	S	90825	140220	231045	0.07308	0.05313	0.05283	0.05224	60	nan
Faecalibacterium prausnitzii	853	S	850	999	1849	0.00058	0.00038	0.00000	0.00037	61	5.0
Clostridioides difficile	1496	S	1815	1890	3705	0.00117	0.00051	0.00000	0.00059	29	0.0
Bacillus subtilis	1423	S	2566	191609	194175	0.06142	0.05187	0.05317	0.05225	45	nan
Staphylococcus epidermidis	1282	S	103912	113570	217482	0.06879	0.04977	0.05463	0.05199	33	nan
Streptococcus mutans	1309	S	91041	93105	184146	0.05825	0.05083	0.05131	0.05148	37	nan
Lactobacillus delbrueckii	1584	S	85225	86756	171981	0.05440	0.04985	0.05015	0.04970	53	nan
Megamonas funiformis	437897	S	118028	118312	236340	0.07476	0.05428	0.05609	0.05865	32	nan
Megasphaera elsdenii	907	S	113591	114281	227872	0.07208	0.05110	0.05144	0.05066	56	nan
Bifidobacterium longum	216816	S	193152	237641	430793	0.13626	0.10127	0.09851	0.09888	61	nan
Cutibacterium acnes	1747	S	99013	100423	199436	0.06308	0.04478	0.04392	0.04369	60	nan
Collinsella aerofaciens	74426	S	120617	121284	241901	0.07652	0.05610	0.05546	0.05535	61	nan
Pseudomonas putida	303	S	285299	302374	587673	0.18589	0.06091	0.05671	0.05869	64	nan
Pseudomonas tolaasii	29442	S	2029	2040	4069	0.00129	0.00035	0.00000	0.00034	62	0.0
Escherichia coli	562	S	8987	204873	213860	0.06765	0.04635	0.04663	0.04617	53	nan
Bacteroides uniformis	820	S	152890	238604	391494	0.12383	0.05455	0.05529	0.05471	49	nan
Parabacteroides distasonis	823	S	117880	217443	335323	0.10607	0.04709	0.04757	0.04731	47	nan
Akkermansia muciniphila	239935	S	119018	119877	238895	0.07556	0.04823	0.04834	0.04757	57	nan
