name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	1083747	1101559	2185306	0.15955	0.04533	0.04616	0.04565	47	nan
Enterocloster clostridioformis	1531	S	745071	762462	1507533	0.11006	0.03536	0.03651	0.03696	52	nan
Enterocloster bolteae	208479	S	13426	13625	27051	0.00197	0.00055	0.00000	0.00058	51	4.0
Enterocloster asparagiformis	333367	S	529	530	1059	0.00008	0.00002	0.00000	0.00002	58	0.0
Agathobacter rectalis	39491	S	564255	599174	1163429	0.08494	0.04676	0.04379	0.04337	44	nan
[Clostridium] hylemonae	89153	S	2958	3017	5975	0.00044	0.00020	0.00000	0.00021	50	4.0
Roseburia hominis	301301	S	1673	1761	3434	0.00025	0.00013	0.00015	0.00013	51	nan
Roseburia intestinalis	166486	S	531	676	1207	0.00009	0.00004	0.00000	0.00004	43	4.0
[Ruminococcus] gnavus	33038	S	800	1279	2079	0.00015	0.00010	0.00000	0.00009	44	4.0
Wansuia hejianensis	2763667	S	1057	1066	2123	0.00015	0.00007	0.00000	0.00007	51	0.0
Flavonifractor plautii	292800	S	714274	725031	1439305	0.10508	0.04584	0.04801	0.04951	63	nan
Faecalibacterium duncaniae	411483	S	412361	589060	1001421	0.07311	0.05138	0.05539	0.05529	60	nan
Faecalibacterium prausnitzii	853	S	5079	5802	10881	0.00079	0.00050	0.00000	0.00054	60	5.0
Faecalibacterium sp. I3-3-89	2929493	S	687	945	1632	0.00012	0.00009	0.00000	0.00009	62	5.0
Anaerotruncus colihominis	169435	S	854	895	1749	0.00013	0.00007	0.00000	0.00007	55	4.0
Clostridioides difficile	1496	S	8164	8419	16583	0.00121	0.00052	0.00000	0.00042	28	0.0
Hungatella hathewayi	154046	S	868	897	1765	0.00013	0.00003	0.00000	0.00003	50	5.0
Bacillus subtilis	1423	S	26242	847660	873902	0.06380	0.05275	0.05238	0.05115	44	nan
Bacillus vallismortis	72361	S	2909	2965	5874	0.00043	0.00018	0.00018	0.00018	44	nan
Bacillus inaquosorum	483913	S	2201	2318	4519	0.00033	0.00014	0.00014	0.00014	45	nan
Bacillus spizizenii	96241	S	1836	4297	6133	0.00045	0.00027	0.00027	0.00027	44	nan
Bacillus halotolerans	260554	S	782	1343	2125	0.00016	0.00008	0.00008	0.00008	45	nan
Bacillus mojavensis	72360	S	659	722	1381	0.00010	0.00005	0.00004	0.00004	44	nan
Bacillus velezensis	492670	S	926	7871	8797	0.00064	0.00051	0.00051	0.00050	45	nan
Bacillus tequilensis	227866	S	1420	1459	2879	0.00021	0.00009	0.00009	0.00009	45	nan
Bacillus atrophaeus	1452	S	879	919	1798	0.00013	0.00006	0.00005	0.00005	44	nan
Bacillus stercoris	2054641	S	614	1469	2083	0.00015	0.00009	0.00008	0.00008	45	nan
Bacillus cabrialesii	2487276	S	1278	1340	2618	0.00019	0.00008	0.00008	0.00008	44	nan
Bacillus rugosus	2715209	S	1096	1175	2271	0.00017	0.00007	0.00007	0.00007	45	nan
Staphylococcus epidermidis	1282	S	553672	590186	1143858	0.08351	0.05926	0.04516	0.04453	32	nan
Staphylococcus aureus	1280	S	703	3494	4197	0.00031	0.00032	0.00000	0.00024	32	5.0
Streptococcus mutans	1309	S	455282	461419	916701	0.06693	0.05802	0.04769	0.04770	37	nan
Lactobacillus delbrueckii	1584	S	366962	369890	736852	0.05380	0.04889	0.05301	0.05217	53	nan
Megamonas funiformis	437897	S	573713	574235	1147948	0.08381	0.06065	0.04456	0.04635	31	nan
Megasphaera elsdenii	907	S	462426	464341	926767	0.06766	0.04784	0.05219	0.05167	55	nan
Longicatena caecimuris	1796635	S	648	685	1333	0.00010	0.00006	0.00000	0.00005	37	4.0
[Clostridium] innocuum	1522	S	539	551	1090	0.00008	0.00003	0.00000	0.00003	46	4.0
Bifidobacterium longum	216816	S	789664	933582	1723246	0.12581	0.09128	0.09989	0.09883	61	nan
Bifidobacterium breve	1685	S	788	1392	2180	0.00016	0.00016	0.00017	0.00017	60	nan
Cutibacterium acnes	1747	S	391137	394961	786098	0.05739	0.04057	0.04533	0.04489	60	nan
Collinsella aerofaciens	74426	S	515662	516965	1032627	0.07539	0.05500	0.06062	0.06022	62	nan
Pseudomonas putida	303	S	1234298	1283691	2517989	0.18384	0.05901	0.05864	0.06189	64	nan
Escherichia coli	562	S	76231	826266	902497	0.06589	0.04339	0.04728	0.04645	53	nan
Escherichia albertii	208962	S	2487	2943	5430	0.00040	0.00016	0.00000	0.00017	52	5.0
Escherichia marmotae	1499973	S	1488	1738	3226	0.00024	0.00009	0.00010	0.00010	52	nan
Escherichia fergusonii	564	S	1448	2396	3844	0.00028	0.00014	0.00014	0.00014	52	nan
Escherichia sp. E4742	2044467	S	972	1305	2277	0.00017	0.00007	0.00007	0.00007	53	nan
Shigella flexneri	623	S	1324	24475	25799	0.00188	0.00135	0.00148	0.00145	53	nan
Shigella dysenteriae	622	S	1095	4340	5435	0.00040	0.00024	0.00027	0.00026	53	nan
Shigella boydii	621	S	635	5601	6236	0.00046	0.00031	0.00034	0.00034	53	nan
Klebsiella pneumoniae	573	S	857	3991	4848	0.00035	0.00020	0.00000	0.00021	55	5.0
Salmonella enterica	28901	S	1292	8002	9294	0.00068	0.00043	0.00048	0.00045	53	nan
Yersinia enterocolitica	630	S	1115	1306	2421	0.00018	0.00007	0.00000	0.00007	49	0.0
Bacteroides uniformis	820	S	702191	1055720	1757911	0.12834	0.05556	0.05672	0.05593	48	nan
Parabacteroides distasonis	823	S	563041	972914	1535955	0.11214	0.04851	0.04862	0.04806	46	nan
Akkermansia muciniphila	239935	S	492405	495284	987689	0.07211	0.04654	0.05325	0.05136	57	nan
Campylobacter jejuni	197	S	2222	3042	5264	0.00038	0.00047	0.00000	0.00035	30	0.0
Homo sapiens	9606	S	2340	2428	4768	0.00035	0.00002	0.00000	0.00002	38	4.0
