name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	634309	644919	1279228	0.16226	0.04648	0.04690	0.04648	47	nan
Enterocloster clostridioformis	1531	S	441641	452657	894298	0.11343	0.03676	0.03755	0.03733	52	nan
Enterocloster bolteae	208479	S	7601	7715	15316	0.00194	0.00054	0.00000	0.00055	51	4.0
Agathobacter rectalis	39491	S	307996	327173	635169	0.08057	0.04471	0.04364	0.04307	44	nan
[Clostridium] hylemonae	89153	S	1887	1926	3813	0.00048	0.00022	0.00000	0.00023	50	4.0
Roseburia hominis	301301	S	1054	1157	2211	0.00028	0.00015	0.00000	0.00015	51	5.0
Wansuia hejianensis	2763667	S	709	716	1425	0.00018	0.00008	0.00000	0.00008	51	0.0
Flavonifractor plautii	292800	S	411849	418138	829987	0.10528	0.04629	0.04718	0.04898	63	nan
Faecalibacterium duncaniae	411483	S	246229	349818	596047	0.07560	0.05343	0.05508	0.05494	60	nan
Faecalibacterium prausnitzii	853	S	2259	2568	4827	0.00061	0.00039	0.00000	0.00040	60	5.0
Clostridioides difficile	1496	S	4634	4764	9398	0.00119	0.00052	0.00000	0.00051	28	0.0
Hungatella hathewayi	154046	S	557	575	1132	0.00014	0.00004	0.00000	0.00004	50	5.0
Bacillus subtilis	1423	S	6714	500305	507019	0.06431	0.05438	0.05468	0.05343	44	nan
Bacillus vallismortis	72361	S	714	741	1455	0.00018	0.00008	0.00008	0.00008	44	nan
Bacillus inaquosorum	483913	S	501	553	1054	0.00013	0.00006	0.00006	0.00006	45	nan
Staphylococcus epidermidis	1282	S	282486	306473	588959	0.07470	0.05410	0.04920	0.04790	32	nan
Streptococcus mutans	1309	S	244960	246692	491652	0.06236	0.05428	0.04936	0.04923	37	nan
Streptococcus agalactiae	1311	S	2271	3905	6176	0.00078	0.00082	0.00000	0.00074	35	0.0
Lactobacillus delbrueckii	1584	S	215200	217275	432475	0.05486	0.05032	0.05233	0.05155	53	nan
Megamonas funiformis	437897	S	290192	290502	580694	0.07366	0.05372	0.04684	0.04879	31	nan
Megasphaera elsdenii	907	S	260609	261709	522318	0.06625	0.04723	0.04918	0.04860	55	nan
Bifidobacterium longum	216816	S	465926	548021	1013947	0.12861	0.09312	0.09672	0.09627	61	nan
Cutibacterium acnes	1747	S	235665	238391	474056	0.06013	0.04282	0.04532	0.04443	60	nan
Plantactinospora sp. BB1	2071627	S	2161	2511	4672	0.00059	0.00013	0.00000	0.00031	73	0.0
Plantactinospora sp. BC1	2108470	S	1089	1265	2354	0.00030	0.00007	0.00000	0.00016	73	0.0
Collinsella aerofaciens	74426	S	298435	299180	597615	0.07580	0.05571	0.05824	0.05843	62	nan
Pseudomonas putida	303	S	717861	750879	1468740	0.18630	0.06048	0.05851	0.06160	64	nan
Escherichia coli	562	S	31225	528198	559423	0.07096	0.04867	0.05090	0.04992	53	nan
Escherichia albertii	208962	S	994	1320	2314	0.00029	0.00012	0.00012	0.00013	52	nan
Serratia marcescens	615	S	675	723	1398	0.00018	0.00006	0.00000	0.00007	62	4.0
Bacteroides uniformis	820	S	410887	610730	1021617	0.12958	0.05628	0.05703	0.05624	48	nan
Parabacteroides distasonis	823	S	328032	559008	887040	0.11251	0.04879	0.04899	0.04843	46	nan
Akkermansia muciniphila	239935	S	295801	297493	593294	0.07525	0.04857	0.05209	0.05037	57	nan
Campylobacter jejuni	197	S	1286	1812	3098	0.00039	0.00049	0.00000	0.00044	30	0.0
Homo sapiens	9606	S	3738	4024	7762	0.00098	0.00007	0.00000	0.00007	37	3.0
