name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	581715	591245	1172960	0.16421	0.04702	0.04681	0.04647	47	nan
Enterocloster clostridioformis	1531	S	403787	413348	817135	0.11439	0.03705	0.03754	0.03743	52	nan
Enterocloster bolteae	208479	S	7059	7164	14223	0.00199	0.00056	0.00000	0.00056	51	4.0
Agathobacter rectalis	39491	S	281731	298828	580559	0.08127	0.04515	0.04333	0.04288	44	nan
[Clostridium] hylemonae	89153	S	1658	1692	3350	0.00047	0.00021	0.00000	0.00022	50	4.0
Roseburia hominis	301301	S	915	1015	1930	0.00027	0.00014	0.00015	0.00014	51	nan
Wansuia hejianensis	2763667	S	562	567	1129	0.00016	0.00007	0.00000	0.00007	51	0.0
Flavonifractor plautii	292800	S	371468	377147	748615	0.10480	0.04608	0.04757	0.04957	63	nan
Faecalibacterium duncaniae	411483	S	223505	316908	540413	0.07565	0.05341	0.05545	0.05541	60	nan
Faecalibacterium prausnitzii	853	S	1995	2265	4260	0.00060	0.00038	0.00000	0.00039	60	5.0
Clostridioides difficile	1496	S	4295	4422	8717	0.00122	0.00053	0.00000	0.00051	28	0.0
Hungatella hathewayi	154046	S	509	526	1035	0.00014	0.00004	0.00000	0.00004	50	5.0
Bacillus subtilis	1423	S	6034	454117	460151	0.06442	0.05464	0.05393	0.05296	44	nan
Bacillus vallismortis	72361	S	598	624	1222	0.00017	0.00008	0.00007	0.00007	44	nan
Staphylococcus epidermidis	1282	S	260405	281257	541662	0.07583	0.05481	0.04917	0.04779	32	nan
Streptococcus mutans	1309	S	225444	228165	453609	0.06350	0.05540	0.04959	0.04951	37	nan
Lactobacillus delbrueckii	1584	S	195938	197465	393403	0.05507	0.05046	0.05222	0.05152	53	nan
Megamonas funiformis	437897	S	265723	265952	531675	0.07443	0.05428	0.04650	0.04853	31	nan
Megasphaera elsdenii	907	S	236569	237538	474107	0.06637	0.04731	0.04916	0.04879	55	nan
Bifidobacterium longum	216816	S	417398	489475	906873	0.12696	0.09124	0.09608	0.09585	61	nan
Cutibacterium acnes	1747	S	213242	215056	428298	0.05996	0.04258	0.04623	0.04489	60	nan
Collinsella aerofaciens	74426	S	266997	267564	534561	0.07484	0.05498	0.05872	0.05865	62	nan
Pseudomonas putida	303	S	643811	671541	1315352	0.18414	0.05971	0.05906	0.06207	64	nan
Escherichia coli	562	S	21509	470941	492450	0.06894	0.04800	0.05001	0.04916	53	nan
Escherichia albertii	208962	S	627	923	1550	0.00022	0.00010	0.00010	0.00010	52	nan
Bacteroides uniformis	820	S	376232	560179	936411	0.13109	0.05697	0.05708	0.05639	48	nan
Parabacteroides distasonis	823	S	301272	514101	815373	0.11415	0.04952	0.04889	0.04859	46	nan
Akkermansia muciniphila	239935	S	269204	270698	539902	0.07558	0.04880	0.05234	0.05101	57	nan
Campylobacter jejuni	197	S	1185	1588	2773	0.00039	0.00047	0.00000	0.00042	30	0.0
Homo sapiens	9606	S	829	851	1680	0.00024	0.00002	0.00000	0.00002	38	3.0
