name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	1332042	1359278	2691320	0.16193	0.04620	0.04607	0.04565	47	nan
Enterocloster clostridioformis	1531	S	930514	959565	1890079	0.11372	0.03678	0.03682	0.03685	51	nan
Enterocloster bolteae	208479	S	15379	15681	31060	0.00187	0.00052	0.00000	0.00052	51	4.0
Enterocloster asparagiformis	333367	S	605	607	1212	0.00007	0.00002	0.00000	0.00002	59	4.0
Agathobacter rectalis	39491	S	671933	717120	1389053	0.08357	0.04667	0.04573	0.04514	44	nan
[Clostridium] hylemonae	89153	S	3429	3516	6945	0.00042	0.00019	0.00000	0.00019	50	4.0
Roseburia hominis	301301	S	2036	2173	4209	0.00025	0.00013	0.00015	0.00013	51	nan
Roseburia intestinalis	166486	S	598	721	1319	0.00008	0.00004	0.00000	0.00004	43	4.0
[Ruminococcus] gnavus	33038	S	863	1497	2360	0.00014	0.00009	0.00000	0.00009	45	4.0
Wansuia hejianensis	2763667	S	1240	1254	2494	0.00015	0.00007	0.00000	0.00007	52	4.0
Chordicoccus furentiruminis	2709410	S	512	514	1026	0.00006	0.00003	0.00000	0.00003	60	4.0
Flavonifractor plautii	292800	S	861961	878973	1740934	0.10474	0.04593	0.04572	0.04850	64	nan
Faecalibacterium duncaniae	411483	S	454712	728406	1183118	0.07118	0.05251	0.05328	0.05350	60	nan
Faecalibacterium prausnitzii	853	S	4997	6005	11002	0.00066	0.00043	0.00000	0.00044	61	5.0
Faecalibacterium sp. I3-3-89	2929493	S	606	883	1489	0.00009	0.00007	0.00000	0.00007	61	5.0
Anaerotruncus colihominis	169435	S	860	915	1775	0.00011	0.00006	0.00000	0.00006	55	4.0
Subdoligranulum variabile	214851	S	536	550	1086	0.00007	0.00004	0.00000	0.00004	62	4.0
Clostridioides difficile	1496	S	9222	9514	18736	0.00113	0.00049	0.00000	0.00049	28	0.0
Clostridium botulinum	1491	S	2280	3768	6048	0.00036	0.00021	0.00000	0.00022	28	0.0
Hungatella hathewayi	154046	S	1177	1224	2401	0.00014	0.00004	0.00000	0.00004	49	5.0
Bacillus subtilis	1423	S	21834	1054636	1076470	0.06477	0.05429	0.05396	0.05304	44	nan
Bacillus vallismortis	72361	S	2214	2274	4488	0.00027	0.00012	0.00012	0.00011	45	nan
Bacillus inaquosorum	483913	S	1726	1854	3580	0.00022	0.00009	0.00009	0.00009	44	nan
Bacillus spizizenii	96241	S	1363	2585	3948	0.00024	0.00014	0.00014	0.00013	45	nan
Bacillus velezensis	492670	S	839	8550	9389	0.00056	0.00046	0.00046	0.00045	44	nan
Bacillus halotolerans	260554	S	675	1422	2097	0.00013	0.00007	0.00007	0.00007	44	nan
Bacillus tequilensis	227866	S	1008	1047	2055	0.00012	0.00006	0.00005	0.00005	44	nan
Bacillus atrophaeus	1452	S	768	825	1593	0.00010	0.00004	0.00004	0.00004	45	nan
Bacillus stercoris	2054641	S	591	1818	2409	0.00014	0.00009	0.00009	0.00009	44	nan
Bacillus cabrialesii	2487276	S	966	1037	2003	0.00012	0.00005	0.00005	0.00005	45	nan
Bacillus rugosus	2715209	S	837	929	1766	0.00011	0.00005	0.00005	0.00005	44	nan
Staphylococcus epidermidis	1282	S	558321	600806	1159127	0.06974	0.04999	0.04815	0.04657	32	nan
Staphylococcus aureus	1280	S	644	3026	3670	0.00022	0.00023	0.00000	0.00021	32	5.0
