name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	721280	733558	1454838	0.14845	0.04254	0.04641	0.04599	48	nan
Enterocloster clostridioformis	1531	S	552857	567890	1120747	0.11436	0.03715	0.03906	0.03836	52	nan
Enterocloster bolteae	208479	S	8023	8153	16176	0.00165	0.00046	0.00000	0.00048	51	4.0
Agathobacter rectalis	39491	S	329752	351603	681355	0.06952	0.03872	0.04433	0.04368	44	nan
[Clostridium] hylemonae	89153	S	2406	2457	4863	0.00050	0.00023	0.00000	0.00023	50	4.0
Roseburia hominis	301301	S	1223	1343	2566	0.00026	0.00014	0.00000	0.00014	51	5.0
Wansuia hejianensis	2763667	S	834	843	1677	0.00017	0.00008	0.00000	0.00008	51	4.0
Flavonifractor plautii	292800	S	622569	632419	1254988	0.12806	0.05639	0.04816	0.05077	65	nan
Faecalibacterium duncaniae	411483	S	326546	483399	809945	0.08265	0.05946	0.05477	0.05495	60	nan
Faecalibacterium prausnitzii	853	S	3217	3715	6932	0.00071	0.00046	0.00000	0.00042	61	5.0
Clostridioides difficile	1496	S	5095	5325	10420	0.00106	0.00046	0.00000	0.00067	29	0.0
Hungatella hathewayi	154046	S	689	713	1402	0.00014	0.00004	0.00000	0.00004	50	5.0
Bacillus subtilis	1423	S	9520	523757	533277	0.05441	0.04604	0.05194	0.05098	45	nan
Bacillus vallismortis	72361	S	971	1001	1972	0.00020	0.00009	0.00010	0.00010	45	nan
Bacillus inaquosorum	483913	S	769	833	1602	0.00016	0.00007	0.00008	0.00008	45	nan
Bacillus spizizenii	96241	S	658	2628	3286	0.00034	0.00024	0.00027	0.00026	45	nan
Staphylococcus epidermidis	1282	S	240421	261080	501501	0.05117	0.03710	0.04882	0.04726	33	nan
Lactobacillus delbrueckii	1584	S	279334	282391	561725	0.05732	0.05268	0.05450	0.05370	53	nan
Streptococcus mutans	1309	S	227561	232089	459650	0.04690	0.04114	0.04895	0.04896	37	nan
Megasphaera elsdenii	907	S	343268	345119	688387	0.07024	0.05011	0.04949	0.04884	56	nan
Megamonas funiformis	437897	S	242936	243522	486458	0.04964	0.03627	0.04618	0.04824	32	nan
Bifidobacterium longum	216816	S	668753	806462	1475215	0.15053	0.11151	0.09845	0.09800	61	nan
Cutibacterium acnes	1747	S	365446	369419	734865	0.07498	0.05349	0.04712	0.04682	60	nan
Collinsella aerofaciens	74426	S	436190	437781	873971	0.08918	0.06572	0.05823	0.05810	61	nan
Pseudomonas putida	303	S	1096545	1148148	2244693	0.22904	0.07495	0.06144	0.06346	64	nan
Escherichia coli	562	S	31926	593393	625319	0.06381	0.04387	0.04550	0.04434	53	nan
Escherichia albertii	208962	S	1028	1395	2423	0.00025	0.00011	0.00011	0.00011	52	nan
Escherichia marmotae	1499973	S	624	800	1424	0.00015	0.00006	0.00006	0.00006	52	nan
Escherichia fergusonii	564	S	588	2024	2612	0.00027	0.00016	0.00016	0.00016	52	nan
Shigella flexneri	623	S	521	17865	18386	0.00188	0.00139	0.00144	0.00141	53	nan
Bacteroides uniformis	820	S	461646	708671	1170317	0.11942	0.05260	0.05686	0.05626	49	nan
Parabacteroides distasonis	823	S	356731	640527	997258	0.10176	0.04503	0.04914	0.04885	47	nan
Akkermansia muciniphila	239935	S	385006	387408	772414	0.07882	0.05087	0.04843	0.04767	57	nan
Campylobacter jejuni	197	S	1345	1785	3130	0.00032	0.00039	0.00000	0.00052	30	0.0
Homo sapiens	9606	S	712	723	1435	0.00015	0.00001	0.00000	0.00001	38	4.0
