name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	762806	775703	1538509	0.16295	0.04688	0.04652	0.04626	47	nan
Enterocloster clostridioformis	1531	S	540659	555092	1095751	0.11606	0.03783	0.03754	0.03748	51	nan
Enterocloster bolteae	208479	S	8732	8873	17605	0.00186	0.00052	0.00000	0.00052	51	4.0
Agathobacter rectalis	39491	S	357741	381328	739069	0.07828	0.04376	0.04383	0.04325	43	nan
[Clostridium] hylemonae	89153	S	2246	2295	4541	0.00048	0.00022	0.00000	0.00022	50	4.0
Roseburia hominis	301301	S	1229	1357	2586	0.00027	0.00015	0.00000	0.00014	51	5.0
Wansuia hejianensis	2763667	S	769	777	1546	0.00016	0.00007	0.00000	0.00007	50	4.0
[Ruminococcus] gnavus	33038	S	505	601	1106	0.00012	0.00007	0.00000	0.00007	44	4.0
Flavonifractor plautii	292800	S	517284	525700	1042984	0.11047	0.04884	0.04707	0.04932	64	nan
Faecalibacterium duncaniae	411483	S	299226	435324	734550	0.07780	0.05579	0.05449	0.05506	60	nan
Faecalibacterium prausnitzii	853	S	2940	3383	6323	0.00067	0.00043	0.00000	0.00042	61	5.0
Anaerotruncus colihominis	169435	S	512	538	1050	0.00011	0.00006	0.00000	0.00006	56	4.0
Clostridioides difficile	1496	S	5459	5664	11123	0.00118	0.00051	0.00000	0.00067	29	0.0
Hungatella hathewayi	154046	S	691	714	1405	0.00015	0.00004	0.00000	0.00004	50	5.0
Bacillus subtilis	1423	S	10090	588742	598832	0.06343	0.05382	0.05405	0.05296	44	nan
Bacillus vallismortis	72361	S	1055	1087	2142	0.00023	0.00010	0.00010	0.00010	44	nan
Bacillus inaquosorum	483913	S	814	881	1695	0.00018	0.00008	0.00008	0.00008	44	nan
Bacillus spizizenii	96241	S	699	1693	2392	0.00025	0.00016	0.00016	0.00016	44	nan
Bacillus tequilensis	227866	S	537	560	1097	0.00012	0.00005	0.00005	0.00005	45	nan
Staphylococcus epidermidis	1282	S	269660	291678	561338	0.05946	0.04316	0.04983	0.04697	32	nan
Lactobacillus delbrueckii	1584	S	271404	274106	545510	0.05778	0.05329	0.05315	0.05274	53	nan
Streptococcus mutans	1309	S	264965	269323	534288	0.05659	0.04973	0.04934	0.04946	37	nan
Megasphaera elsdenii	907	S	327788	329427	657215	0.06961	0.04986	0.04975	0.04946	56	nan
Megamonas funiformis	437897	S	268994	269458	538452	0.05703	0.04182	0.04609	0.04756	31	nan
Bifidobacterium longum	216816	S	583234	695321	1278555	0.13542	0.09955	0.09913	0.09815	61	nan
Cutibacterium acnes	1747	S	299033	301946	600979	0.06365	0.04550	0.04639	0.04503	60	nan
Collinsella aerofaciens	74426	S	374464	375548	750012	0.07944	0.05871	0.05876	0.05862	61	nan
Pseudomonas putida	303	S	904781	946351	1851132	0.19607	0.06412	0.05837	0.06217	63	nan
Escherichia coli	562	S	31665	607395	639060	0.06769	0.04701	0.04738	0.04664	53	nan
Escherichia albertii	208962	S	1021	1412	2433	0.00026	0.00011	0.00011	0.00011	52	nan
Escherichia marmotae	1499973	S	596	764	1360	0.00014	0.00006	0.00006	0.00006	52	nan
Escherichia fergusonii	564	S	581	1179	1760	0.00019	0.00010	0.00010	0.00010	52	nan
Shigella flexneri	623	S	557	20001	20558	0.00218	0.00163	0.00164	0.00162	53	nan
Bacteroides uniformis	820	S	481873	730736	1212609	0.12844	0.05651	0.05588	0.05583	49	nan
Parabacteroides distasonis	823	S	379616	668260	1047876	0.11099	0.04895	0.04834	0.04829	46	nan
Akkermansia muciniphila	239935	S	363134	365273	728407	0.07715	0.05005	0.05179	0.04973	57	nan
Campylobacter jejuni	197	S	1482	1981	3463	0.00037	0.00045	0.00000	0.00052	30	0.0
Homo sapiens	9606	S	804	826	1630	0.00017	0.00001	0.00000	0.00001	37	0.0
