name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	1066898	1085271	2152169	0.16299	0.04639	0.04589	0.04555	47	nan
Enterocloster clostridioformis	1531	S	740268	759123	1499391	0.11355	0.03658	0.03670	0.03689	51	nan
Enterocloster bolteae	208479	S	12767	12969	25736	0.00195	0.00054	0.00000	0.00055	51	4.0
Enterocloster asparagiformis	333367	S	505	506	1011	0.00008	0.00002	0.00000	0.00002	58	0.0
Agathobacter rectalis	39491	S	569497	605224	1174721	0.08897	0.04918	0.04625	0.04599	43	nan
[Clostridium] hylemonae	89153	S	3101	3167	6268	0.00047	0.00022	0.00000	0.00022	50	4.0
Roseburia hominis	301301	S	1657	1752	3409	0.00026	0.00013	0.00015	0.00013	51	nan
Roseburia intestinalis	166486	S	511	603	1114	0.00008	0.00004	0.00000	0.00004	44	4.0
[Ruminococcus] gnavus	33038	S	742	848	1590	0.00012	0.00007	0.00000	0.00006	44	4.0
Wansuia hejianensis	2763667	S	1084	1095	2179	0.00017	0.00007	0.00000	0.00008	50	4.0
Flavonifractor plautii	292800	S	659221	669941	1329162	0.10066	0.04401	0.04602	0.04844	64	nan
Faecalibacterium duncaniae	411483	S	388979	564729	953708	0.07223	0.05117	0.05317	0.05390	60	nan
Faecalibacterium prausnitzii	853	S	3756	4318	8074	0.00061	0.00039	0.00000	0.00041	61	5.0
Faecalibacterium sp. I3-3-89	2929493	S	507	715	1222	0.00009	0.00007	0.00000	0.00007	62	5.0
Anaerotruncus colihominis	169435	S	793	834	1627	0.00012	0.00006	0.00000	0.00007	56	4.0
Clostridioides difficile	1496	S	7609	7792	15401	0.00117	0.00050	0.00000	0.00045	29	0.0
Clostridium botulinum	1491	S	548	1803	2351	0.00018	0.00012	0.00000	0.00011	28	0.0
Hungatella hathewayi	154046	S	949	981	1930	0.00015	0.00004	0.00000	0.00004	50	5.0
Bacillus subtilis	1423	S	14356	845271	859627	0.06510	0.05460	0.05301	0.05234	45	nan
Bacillus vallismortis	72361	S	1497	1539	3036	0.00023	0.00010	0.00010	0.00010	44	nan
Bacillus inaquosorum	483913	S	1178	1270	2448	0.00019	0.00008	0.00008	0.00008	44	nan
Bacillus spizizenii	96241	S	948	2088	3036	0.00023	0.00014	0.00013	0.00013	44	nan
Bacillus tequilensis	227866	S	658	684	1342	0.00010	0.00005	0.00004	0.00004	45	nan
Bacillus cabrialesii	2487276	S	622	671	1293	0.00010	0.00004	0.00004	0.00004	45	nan
Bacillus rugosus	2715209	S	555	621	1176	0.00009	0.00004	0.00004	0.00004	45	nan
Staphylococcus epidermidis	1282	S	497073	535237	1032310	0.07818	0.05599	0.04833	0.04671	32	nan
Streptococcus mutans	1309	S	419846	425943	845789	0.06405	0.05561	0.04807	0.04828	37	nan
Lactobacillus delbrueckii	1584	S	382369	385835	768204	0.05818	0.05301	0.05462	0.05411	53	nan
Megamonas funiformis	437897	S	528210	528874	1057084	0.08006	0.05803	0.04826	0.04941	31	nan
Megasphaera elsdenii	907	S	477205	479471	956676	0.07245	0.05131	0.05362	0.05329	56	nan
Longicatena caecimuris	1796635	S	578	614	1192	0.00009	0.00005	0.00000	0.00005	38	4.0
[Clostridium] innocuum	1522	S	581	595	1176	0.00009	0.00003	0.00000	0.00003	46	4.0
Bifidobacterium longum	216816	S	757581	902251	1659832	0.12570	0.09142	0.09960	0.09846	61	nan
Cutibacterium acnes	1747	S	384633	388329	772962	0.05854	0.04140	0.04667	0.04487	60	nan
Mycobacterium canettii	78331	S	1604	1607	3211	0.00024	0.00010	0.00000	0.00011	65	0.0
Collinsella aerofaciens	74426	S	477923	479107	957030	0.07248	0.05295	0.05884	0.05792	61	nan
Pseudomonas putida	303	S	1132734	1184310	2317044	0.17548	0.05671	0.05720	0.06068	63	nan
Escherichia coli	562	S	43447	815949	859396	0.06508	0.04445	0.04622	0.04560	53	nan
Escherichia albertii	208962	S	1325	1802	3127	0.00024	0.00010	0.00010	0.00010	52	nan
Escherichia fergusonii	564	S	756	1829	2585	0.00020	0.00011	0.00011	0.00011	52	nan
Escherichia marmotae	1499973	S	732	949	1681	0.00013	0.00005	0.00006	0.00005	52	nan
Shigella flexneri	623	S	680	20862	21542	0.00163	0.00120	0.00125	0.00123	53	nan
Shigella dysenteriae	622	S	540	3765	4305	0.00033	0.00022	0.00023	0.00022	53	nan
Salmonella enterica	28901	S	560	6140	6700	0.00051	0.00034	0.00037	0.00035	53	nan
Bacteroides uniformis	820	S	682498	1031564	1714062	0.12981	0.05640	0.05574	0.05545	49	nan
Parabacteroides distasonis	823	S	543933	956222	1500155	0.11361	0.04952	0.04838	0.04818	46	nan
Akkermansia muciniphila	239935	S	472684	475536	948220	0.07181	0.04589	0.05072	0.04861	57	nan
Campylobacter jejuni	197	S	2098	2787	4885	0.00037	0.00044	0.00000	0.00037	30	0.0
Homo sapiens	9606	S	783	794	1577	0.00012	0.00001	0.00000	0.00001	38	0.0
