name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	687177	699450	1386627	0.15384	0.04399	0.04512	0.04473	48	nan
Enterocloster clostridioformis	1531	S	494799	508138	1002937	0.11127	0.03603	0.03667	0.03639	52	nan
Enterocloster bolteae	208479	S	7813	7941	15754	0.00175	0.00049	0.00000	0.00049	51	4.0
Agathobacter rectalis	39491	S	335185	357995	693180	0.07691	0.04270	0.04408	0.04343	44	nan
[Clostridium] hylemonae	89153	S	2116	2162	4278	0.00047	0.00022	0.00000	0.00022	50	4.0
Roseburia hominis	301301	S	1039	1142	2181	0.00024	0.00013	0.00000	0.00013	51	5.0
Wansuia hejianensis	2763667	S	739	747	1486	0.00016	0.00007	0.00000	0.00008	51	4.0
Flavonifractor plautii	292800	S	494693	502935	997628	0.11068	0.04861	0.04648	0.04839	65	nan
Faecalibacterium duncaniae	411483	S	279900	416042	695942	0.07721	0.05547	0.05467	0.05442	60	nan
Faecalibacterium prausnitzii	853	S	2638	3060	5698	0.00063	0.00041	0.00000	0.00040	60	5.0
Clostridioides difficile	1496	S	5080	5219	10299	0.00114	0.00049	0.00000	0.00058	28	0.0
Clostridium botulinum	1491	S	526	1399	1925	0.00021	0.00014	0.00000	0.00017	28	0.0
Hungatella hathewayi	154046	S	635	657	1292	0.00014	0.00004	0.00000	0.00004	50	5.0
Bacillus subtilis	1423	S	7660	551904	559564	0.06208	0.05260	0.05439	0.05351	45	nan
Bacillus vallismortis	72361	S	750	776	1526	0.00017	0.00007	0.00008	0.00008	45	nan
Bacillus inaquosorum	483913	S	615	674	1289	0.00014	0.00006	0.00006	0.00006	45	nan
Bacillus spizizenii	96241	S	534	1219	1753	0.00019	0.00012	0.00012	0.00012	45	nan
Staphylococcus epidermidis	1282	S	272395	296050	568445	0.06307	0.04560	0.04895	0.04745	33	nan
Lactobacillus delbrueckii	1584	S	264029	266648	530677	0.05888	0.05393	0.05546	0.05440	53	nan
Streptococcus mutans	1309	S	247512	252001	499513	0.05542	0.04840	0.04894	0.04912	37	nan
Megasphaera elsdenii	907	S	323129	324855	647984	0.07189	0.05113	0.05157	0.05094	56	nan
Megamonas funiformis	437897	S	286803	287279	574082	0.06369	0.04638	0.04790	0.04995	32	nan
Bifidobacterium longum	216816	S	569793	687233	1257026	0.13946	0.10204	0.09892	0.09882	61	nan
Cutibacterium acnes	1747	S	297213	300154	597367	0.06628	0.04705	0.04562	0.04540	60	nan
Mycobacterium canettii	78331	S	5028	5041	10069	0.00112	0.00045	0.00000	0.00044	65	0.0
Collinsella aerofaciens	74426	S	366236	367401	733637	0.08139	0.05977	0.05869	0.05849	61	nan
Pseudomonas putida	303	S	889955	933975	1823930	0.20236	0.06600	0.06032	0.06284	64	nan
Escherichia coli	562	S	25357	593300	618657	0.06864	0.04722	0.04873	0.04760	53	nan
Escherichia albertii	208962	S	783	1158	1941	0.00022	0.00010	0.00010	0.00010	52	nan
Bacteroides uniformis	820	S	439220	673339	1112559	0.12344	0.05417	0.05581	0.05495	49	nan
Parabacteroides distasonis	823	S	343359	616737	960096	0.10652	0.04700	0.04829	0.04772	47	nan
Akkermansia muciniphila	239935	S	341553	343672	685225	0.07602	0.04871	0.04903	0.04808	57	nan
Campylobacter jejuni	197	S	1281	1728	3009	0.00033	0.00041	0.00000	0.00044	30	0.0
Homo sapiens	9606	S	1234	1269	2503	0.00028	0.00002	0.00000	0.00002	37	4.0
