name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	741937	755447	1497384	0.16288	0.04647	0.04646	0.04600	48	nan
Enterocloster clostridioformis	1531	S	519184	532955	1052139	0.11444	0.03696	0.03725	0.03704	52	nan
Enterocloster bolteae	208479	S	8691	8836	17527	0.00191	0.00053	0.00000	0.00053	51	4.0
Agathobacter rectalis	39491	S	376538	400943	777481	0.08457	0.04692	0.04620	0.04529	44	nan
[Clostridium] hylemonae	89153	S	2068	2114	4182	0.00045	0.00021	0.00000	0.00021	50	4.0
Roseburia hominis	301301	S	1230	1363	2593	0.00028	0.00015	0.00000	0.00015	51	5.0
[Ruminococcus] gnavus	33038	S	506	605	1111	0.00012	0.00007	0.00000	0.00007	44	4.0
Wansuia hejianensis	2763667	S	694	701	1395	0.00015	0.00007	0.00000	0.00007	51	4.0
Flavonifractor plautii	292800	S	471002	479152	950154	0.10335	0.04530	0.04608	0.04808	65	nan
Faecalibacterium duncaniae	411483	S	270378	402912	673290	0.07324	0.05254	0.05365	0.05364	60	nan
Faecalibacterium prausnitzii	853	S	2641	3079	5720	0.00062	0.00040	0.00000	0.00041	60	5.0
Clostridioides difficile	1496	S	5383	5513	10896	0.00119	0.00051	0.00000	0.00052	28	0.0
Clostridium botulinum	1491	S	649	1524	2173	0.00024	0.00015	0.00000	0.00016	28	0.0
Hungatella hathewayi	154046	S	678	701	1379	0.00015	0.00004	0.00000	0.00004	50	5.0
Bacillus subtilis	1423	S	10168	587394	597562	0.06500	0.05461	0.05410	0.05335	45	nan
Bacillus vallismortis	72361	S	1118	1155	2273	0.00025	0.00011	0.00011	0.00011	45	nan
Bacillus inaquosorum	483913	S	811	886	1697	0.00018	0.00008	0.00008	0.00008	45	nan
Bacillus spizizenii	96241	S	681	1791	2472	0.00027	0.00017	0.00017	0.00017	45	nan
Staphylococcus epidermidis	1282	S	318536	345239	663775	0.07220	0.05194	0.04893	0.04796	33	nan
Streptococcus mutans	1309	S	278653	283561	562214	0.06115	0.05328	0.04927	0.04947	37	nan
Lactobacillus delbrueckii	1584	S	271711	274221	545932	0.05938	0.05423	0.05551	0.05461	53	nan
Megamonas funiformis	437897	S	338841	339401	678242	0.07377	0.05359	0.04871	0.05094	32	nan
Megasphaera elsdenii	907	S	330291	332105	662396	0.07205	0.05113	0.05268	0.05181	56	nan
Bifidobacterium longum	216816	S	531390	642438	1173828	0.12768	0.09375	0.09745	0.09679	61	nan
Cutibacterium acnes	1747	S	276887	279690	556577	0.06054	0.04291	0.04428	0.04418	60	nan
Mycobacterium canettii	78331	S	5752	5764	11516	0.00125	0.00050	0.00000	0.00054	65	0.0
Collinsella aerofaciens	74426	S	340659	341565	682224	0.07421	0.05436	0.05761	0.05686	61	nan
Pseudomonas putida	303	S	807265	847563	1654828	0.18000	0.05853	0.05744	0.06024	64	nan
Escherichia coli	562	S	29854	595617	625471	0.06803	0.04702	0.04834	0.04752	53	nan
Escherichia albertii	208962	S	923	1237	2160	0.00023	0.00010	0.00010	0.00010	52	nan
Escherichia fergusonii	564	S	565	1141	1706	0.00019	0.00010	0.00010	0.00010	52	nan
Escherichia marmotae	1499973	S	537	687	1224	0.00013	0.00006	0.00006	0.00006	52	nan
Bacteroides uniformis	820	S	464970	712978	1177948	0.12813	0.05611	0.05650	0.05554	49	nan
Parabacteroides distasonis	823	S	366744	659746	1026490	0.11165	0.04917	0.04898	0.04842	47	nan
Akkermansia muciniphila	239935	S	338053	340220	678273	0.07378	0.04752	0.04995	0.04858	57	nan
Campylobacter jejuni	197	S	1329	1819	3148	0.00034	0.00042	0.00000	0.00039	30	0.0
Homo sapiens	9606	S	1315	1367	2682	0.00029	0.00002	0.00000	0.00002	37	3.0
