name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	782532	795378	1577910	0.15750	0.04498	0.04557	0.04556	48	nan
Enterocloster clostridioformis	1531	S	554249	567286	1121535	0.11195	0.03615	0.03667	0.03682	52	nan
Enterocloster bolteae	208479	S	9208	9343	18551	0.00185	0.00051	0.00000	0.00053	51	4.0
Agathobacter rectalis	39491	S	416180	441051	857231	0.08557	0.04732	0.04719	0.04685	44	nan
[Clostridium] hylemonae	89153	S	2253	2297	4550	0.00045	0.00021	0.00000	0.00021	51	4.0
Roseburia hominis	301301	S	1203	1338	2541	0.00025	0.00013	0.00015	0.00014	52	nan
[Ruminococcus] gnavus	33038	S	541	754	1295	0.00013	0.00008	0.00000	0.00008	45	4.0
Wansuia hejianensis	2763667	S	738	744	1482	0.00015	0.00007	0.00000	0.00007	50	4.0
Flavonifractor plautii	292800	S	552085	560389	1112474	0.11105	0.04869	0.04746	0.04958	63	nan
Faecalibacterium duncaniae	411483	S	311464	445586	757050	0.07557	0.05341	0.05321	0.05379	60	nan
Faecalibacterium prausnitzii	853	S	3436	3926	7362	0.00073	0.00047	0.00000	0.00047	60	5.0
Anaerotruncus colihominis	169435	S	588	616	1204	0.00012	0.00006	0.00000	0.00006	55	4.0
Clostridioides difficile	1496	S	5515	5784	11299	0.00113	0.00049	0.00000	0.00051	28	0.0
Hungatella hathewayi	154046	S	661	683	1344	0.00013	0.00003	0.00000	0.00004	50	5.0
Bacillus subtilis	1423	S	15463	579074	594537	0.05935	0.04937	0.05029	0.04951	44	nan
Bacillus vallismortis	72361	S	1560	1602	3162	0.00032	0.00014	0.00014	0.00014	44	nan
Bacillus inaquosorum	483913	S	1249	1343	2592	0.00026	0.00011	0.00011	0.00011	44	nan
Bacillus spizizenii	96241	S	1021	2490	3511	0.00035	0.00022	0.00022	0.00022	44	nan
Bacillus velezensis	492670	S	626	7106	7732	0.00077	0.00063	0.00064	0.00063	44	nan
Bacillus tequilensis	227866	S	765	794	1559	0.00016	0.00007	0.00007	0.00007	44	nan
Bacillus atrophaeus	1452	S	508	521	1029	0.00010	0.00004	0.00004	0.00004	44	nan
Bacillus cabrialesii	2487276	S	676	728	1404	0.00014	0.00006	0.00006	0.00006	45	nan
Bacillus rugosus	2715209	S	596	665	1261	0.00013	0.00006	0.00006	0.00006	45	nan
Staphylococcus epidermidis	1282	S	337528	359690	697218	0.06959	0.04974	0.04853	0.04703	32	nan
Staphylococcus simulans	1286	S	793	801	1594	0.00016	0.00011	0.00000	0.00010	36	0.0
Staphylococcus aureus	1280	S	522	2630	3152	0.00031	0.00033	0.00000	0.00031	32	5.0
Streptococcus mutans	1309	S	296775	301357	598132	0.05970	0.05205	0.04956	0.04952	37	nan
Lactobacillus delbrueckii	1584	S	281828	284141	565969	0.05649	0.05164	0.05353	0.05283	53	nan
Megamonas funiformis	437897	S	346599	346991	693590	0.06923	0.05036	0.04759	0.04876	32	nan
Megasphaera elsdenii	907	S	339425	340992	680417	0.06792	0.04827	0.05011	0.04924	56	nan
Bifidobacterium longum	216816	S	611396	725424	1336820	0.13344	0.09642	0.09811	0.09641	61	nan
Bifidobacterium breve	1685	S	519	1169	1688	0.00017	0.00018	0.00019	0.00018	60	nan
Cutibacterium acnes	1747	S	330566	333810	664376	0.06632	0.04711	0.04850	0.04743	60	nan
Mycobacterium canettii	78331	S	602	608	1210	0.00012	0.00005	0.00000	0.00005	65	0.0
Collinsella aerofaciens	74426	S	391438	392367	783805	0.07824	0.05736	0.05894	0.05808	61	nan
Pseudomonas putida	303	S	952501	992924	1945425	0.19419	0.06275	0.05779	0.06118	63	nan
Escherichia coli	562	S	46736	627597	674333	0.06731	0.04537	0.04727	0.04643	53	nan
Escherichia albertii	208962	S	1536	1885	3421	0.00034	0.00014	0.00014	0.00014	52	nan
Escherichia fergusonii	564	S	933	1632	2565	0.00026	0.00013	0.00013	0.00013	52	nan
Escherichia marmotae	1499973	S	816	975	1791	0.00018	0.00007	0.00007	0.00007	52	nan
Escherichia sp. E4742	2044467	S	556	779	1335	0.00013	0.00005	0.00006	0.00006	52	nan
Shigella flexneri	623	S	800	17829	18629	0.00186	0.00136	0.00141	0.00139	53	nan
Shigella dysenteriae	622	S	646	3162	3808	0.00038	0.00024	0.00025	0.00025	53	nan
Salmonella enterica	28901	S	684	4582	5266	0.00053	0.00034	0.00037	0.00034	53	nan
Methylomonas koyamae	702114	S	1826	1826	3652	0.00036	0.00013	0.00000	0.00013	58	4.0
Bacteroides uniformis	820	S	503658	759218	1262876	0.12606	0.05491	0.05570	0.05550	48	nan
Parabacteroides distasonis	823	S	406465	705713	1112178	0.11102	0.04835	0.04882	0.04870	46	nan
Akkermansia muciniphila	239935	S	375174	377385	752559	0.07512	0.04868	0.05103	0.04965	57	nan
Campylobacter jejuni	197	S	1822	2591	4413	0.00044	0.00055	0.00000	0.00053	30	0.0
Homo sapiens	9606	S	612	622	1234	0.00012	0.00001	0.00000	0.00001	38	3.0
