name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	549158	557777	1106935	0.13756	0.03929	0.04350	0.04333	47	nan
Enterocloster clostridioformis	1531	S	423935	433481	857416	0.10656	0.03443	0.03682	0.03646	52	nan
Enterocloster bolteae	208479	S	6056	6140	12196	0.00152	0.00042	0.00000	0.00045	51	4.0
Agathobacter rectalis	39491	S	262170	278342	540512	0.06717	0.03714	0.04295	0.04186	44	nan
[Clostridium] hylemonae	89153	S	1954	1990	3944	0.00049	0.00022	0.00000	0.00024	51	4.0
Roseburia hominis	301301	S	916	1018	1934	0.00024	0.00013	0.00000	0.00013	52	5.0
Wansuia hejianensis	2763667	S	611	616	1227	0.00015	0.00007	0.00000	0.00007	50	0.0
Flavonifractor plautii	292800	S	536585	543744	1080329	0.13426	0.05888	0.05041	0.05287	63	nan
Faecalibacterium duncaniae	411483	S	285310	404795	690105	0.08576	0.06046	0.05660	0.05675	60	nan
Faecalibacterium prausnitzii	853	S	3091	3510	6601	0.00082	0.00052	0.00000	0.00049	60	5.0
Clostridioides difficile	1496	S	3877	3970	7847	0.00098	0.00042	0.00000	0.00058	28	0.0
Bacillus subtilis	1423	S	11570	412268	423838	0.05267	0.04386	0.05033	0.04907	44	nan
Bacillus vallismortis	72361	S	1141	1166	2307	0.00029	0.00012	0.00014	0.00014	44	nan
Bacillus inaquosorum	483913	S	974	1032	2006	0.00025	0.00011	0.00012	0.00012	44	nan
Bacillus spizizenii	96241	S	786	1554	2340	0.00029	0.00017	0.00019	0.00019	44	nan
Bacillus tequilensis	227866	S	556	573	1129	0.00014	0.00006	0.00007	0.00007	44	nan
Bacillus cabrialesii	2487276	S	516	542	1058	0.00013	0.00006	0.00006	0.00006	45	nan
Staphylococcus epidermidis	1282	S	187303	201179	388482	0.04828	0.03468	0.04399	0.04190	32	nan
Lactobacillus delbrueckii	1584	S	234273	236059	470332	0.05845	0.05346	0.05667	0.05609	53	nan
Streptococcus mutans	1309	S	184499	187642	372141	0.04625	0.04040	0.04637	0.04636	37	nan
Megasphaera elsdenii	907	S	265273	266375	531648	0.06607	0.04699	0.04806	0.04710	56	nan
Megamonas funiformis	437897	S	185442	185678	371120	0.04612	0.03358	0.03987	0.04212	32	nan
Bifidobacterium longum	216816	S	588658	696809	1285467	0.15975	0.11563	0.10356	0.10256	61	nan
Bifidobacterium breve	1685	S	546	726	1272	0.00016	0.00014	0.00000	0.00013	59	5.0
Cutibacterium acnes	1747	S	316588	319597	636185	0.07906	0.05620	0.05049	0.05021	60	nan
Collinsella aerofaciens	74426	S	392430	393506	785936	0.09767	0.07169	0.06422	0.06402	61	nan
Pseudomonas putida	303	S	992346	1030055	2022401	0.25133	0.08128	0.06504	0.06823	63	nan
Escherichia coli	562	S	38641	484440	523081	0.06501	0.04354	0.04648	0.04529	53	nan
Escherichia albertii	208962	S	1373	1678	3051	0.00038	0.00015	0.00016	0.00016	52	nan
Escherichia fergusonii	564	S	805	2575	3380	0.00042	0.00025	0.00026	0.00026	52	nan
Escherichia marmotae	1499973	S	753	895	1648	0.00020	0.00008	0.00009	0.00009	52	nan
Escherichia sp. E4742	2044467	S	521	713	1234	0.00015	0.00006	0.00006	0.00006	52	nan
Shigella flexneri	623	S	729	16010	16739	0.00208	0.00152	0.00162	0.00158	53	nan
Shigella dysenteriae	622	S	604	3002	3606	0.00045	0.00029	0.00030	0.00030	53	nan
Salmonella enterica	28901	S	610	3788	4398	0.00055	0.00035	0.00039	0.00036	53	nan
Bacteroides uniformis	820	S	360788	544147	904935	0.11246	0.04904	0.05359	0.05343	48	nan
Parabacteroides distasonis	823	S	285297	495547	780844	0.09704	0.04231	0.04680	0.04661	46	nan
Akkermansia muciniphila	239935	S	319054	320828	639882	0.07952	0.05148	0.05078	0.04960	57	nan
Campylobacter jejuni	197	S	1442	1958	3400	0.00042	0.00051	0.00000	0.00065	30	0.0
Homo sapiens	9606	S	910	930	1840	0.00023	0.00002	0.00000	0.00002	38	4.0
