name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	524945	533434	1058379	0.15132	0.04327	0.04591	0.04576	48	nan
Enterocloster clostridioformis	1531	S	386475	394935	781410	0.11172	0.03610	0.03774	0.03751	52	nan
Enterocloster bolteae	208479	S	5973	6056	12029	0.00172	0.00048	0.00000	0.00050	51	4.0
Agathobacter rectalis	39491	S	267173	282682	549855	0.07862	0.04350	0.04663	0.04590	44	nan
[Clostridium] hylemonae	89153	S	1619	1649	3268	0.00047	0.00021	0.00000	0.00022	51	4.0
Roseburia hominis	301301	S	804	892	1696	0.00024	0.00013	0.00000	0.00013	52	5.0
Wansuia hejianensis	2763667	S	536	540	1076	0.00015	0.00007	0.00000	0.00007	50	0.0
Flavonifractor plautii	292800	S	431793	437662	869455	0.12431	0.05454	0.04925	0.05173	63	nan
Faecalibacterium duncaniae	411483	S	237211	336298	573509	0.08200	0.05781	0.05556	0.05595	60	nan
Faecalibacterium prausnitzii	853	S	2470	2805	5275	0.00075	0.00048	0.00000	0.00046	60	5.0
Clostridioides difficile	1496	S	3714	3803	7517	0.00107	0.00046	0.00000	0.00056	28	0.0
Bacillus subtilis	1423	S	10407	381200	391607	0.05599	0.04669	0.05056	0.04944	44	nan
Bacillus vallismortis	72361	S	1083	1110	2193	0.00031	0.00014	0.00015	0.00014	44	nan
Bacillus inaquosorum	483913	S	801	856	1657	0.00024	0.00010	0.00011	0.00011	44	nan
Bacillus spizizenii	96241	S	687	775	1462	0.00021	0.00010	0.00010	0.00010	44	nan
Bacillus tequilensis	227866	S	517	535	1052	0.00015	0.00007	0.00007	0.00007	44	nan
Staphylococcus epidermidis	1282	S	193355	207709	401064	0.05734	0.04117	0.04464	0.04378	32	nan
Lactobacillus delbrueckii	1584	S	201039	202508	403547	0.05770	0.05277	0.05544	0.05470	53	nan
Streptococcus mutans	1309	S	177236	179919	357155	0.05106	0.04458	0.04647	0.04637	37	nan
Megasphaera elsdenii	907	S	237287	238349	475636	0.06800	0.04840	0.04998	0.04885	56	nan
Megamonas funiformis	437897	S	199579	199814	399393	0.05710	0.04159	0.04361	0.04574	32	nan
Bifidobacterium longum	216816	S	475742	562362	1038104	0.14842	0.10710	0.10163	0.10004	61	nan
Cutibacterium acnes	1747	S	248882	251181	500063	0.07150	0.05086	0.04821	0.04781	60	nan
Collinsella aerofaciens	74426	S	310491	311150	621641	0.08888	0.06524	0.06224	0.06151	61	nan
Pseudomonas putida	303	S	762122	791904	1554026	0.22219	0.07190	0.06141	0.06441	63	nan
Escherichia coli	562	S	32653	426428	459081	0.06564	0.04431	0.04657	0.04574	53	nan
Escherichia albertii	208962	S	1110	1426	2536	0.00036	0.00015	0.00016	0.00016	52	nan
Escherichia fergusonii	564	S	637	1804	2441	0.00035	0.00020	0.00021	0.00021	52	nan
Escherichia marmotae	1499973	S	637	768	1405	0.00020	0.00008	0.00008	0.00008	52	nan
Shigella flexneri	623	S	541	13151	13692	0.00196	0.00144	0.00151	0.00148	53	nan
Bacteroides uniformis	820	S	332473	500563	833036	0.11910	0.05193	0.05474	0.05451	48	nan
Parabacteroides distasonis	823	S	261145	451741	712886	0.10193	0.04439	0.04703	0.04677	46	nan
Akkermansia muciniphila	239935	S	264345	265823	530168	0.07580	0.04921	0.04999	0.04859	57	nan
Campylobacter jejuni	197	S	1269	1725	2994	0.00043	0.00052	0.00000	0.00058	30	0.0
Homo sapiens	9606	S	630	647	1277	0.00018	0.00001	0.00000	0.00001	38	0.0
