name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	545123	553769	1098892	0.13999	0.04021	0.04629	0.04597	47	nan
Enterocloster clostridioformis	1531	S	437860	448239	886099	0.11288	0.03672	0.03909	0.03866	51	nan
Enterocloster bolteae	208479	S	5857	5943	11800	0.00150	0.00042	0.00000	0.00044	51	4.0
Agathobacter rectalis	39491	S	246740	261954	508694	0.06480	0.03611	0.04606	0.04477	43	nan
[Clostridium] hylemonae	89153	S	1907	1943	3850	0.00049	0.00022	0.00000	0.00024	50	5.0
Roseburia hominis	301301	S	945	1037	1982	0.00025	0.00013	0.00000	0.00014	51	5.0
Wansuia hejianensis	2763667	S	670	676	1346	0.00017	0.00008	0.00000	0.00008	50	4.0
Flavonifractor plautii	292800	S	563600	571495	1135095	0.14460	0.06382	0.04993	0.05340	64	nan
Faecalibacterium duncaniae	411483	S	278033	405180	683213	0.08704	0.06241	0.05442	0.05526	60	nan
Faecalibacterium prausnitzii	853	S	2603	2981	5584	0.00071	0.00046	0.00000	0.00040	61	5.0
Clostridioides difficile	1496	S	3954	4164	8118	0.00103	0.00045	0.00000	0.00084	29	0.0
Hungatella hathewayi	154046	S	526	542	1068	0.00014	0.00004	0.00000	0.00004	50	5.0
Bacillus subtilis	1423	S	7954	375826	383780	0.04889	0.04129	0.05067	0.04932	45	nan
Bacillus vallismortis	72361	S	855	876	1731	0.00022	0.00010	0.00011	0.00011	44	nan
Bacillus inaquosorum	483913	S	622	664	1286	0.00016	0.00007	0.00008	0.00008	44	nan
Bacillus spizizenii	96241	S	540	1089	1629	0.00021	0.00012	0.00015	0.00014	44	nan
Staphylococcus epidermidis	1282	S	149760	161307	311067	0.03963	0.02877	0.04936	0.04552	32	nan
Lactobacillus delbrueckii	1584	S	223674	225565	449239	0.05723	0.05270	0.05406	0.05425	53	nan
Streptococcus mutans	1309	S	155367	158616	313983	0.04000	0.03520	0.04872	0.04850	37	nan
Megasphaera elsdenii	907	S	267684	269141	536825	0.06839	0.04894	0.04726	0.04710	56	nan
Megamonas funiformis	437897	S	142521	142879	285400	0.03636	0.02665	0.04190	0.04437	31	nan
Bifidobacterium longum	216816	S	573016	689103	1262119	0.16079	0.11843	0.09832	0.09725	61	nan
Cutibacterium acnes	1747	S	331207	334636	665843	0.08482	0.06066	0.05146	0.04991	60	nan
Collinsella aerofaciens	74426	S	378692	379859	758551	0.09664	0.07141	0.05919	0.05891	61	nan
Pseudomonas putida	303	S	975597	1017621	1993218	0.25392	0.08310	0.06176	0.06438	63	nan
Escherichia coli	562	S	26958	474900	501858	0.06393	0.04407	0.04578	0.04467	53	nan
Escherichia albertii	208962	S	922	1187	2109	0.00027	0.00011	0.00012	0.00012	52	nan
Escherichia fergusonii	564	S	598	1850	2448	0.00031	0.00018	0.00019	0.00019	52	nan
Escherichia marmotae	1499973	S	504	627	1131	0.00014	0.00006	0.00006	0.00006	52	nan
Bacteroides uniformis	820	S	351130	537144	888274	0.11316	0.04993	0.05583	0.05596	49	nan
Parabacteroides distasonis	823	S	276384	492118	768502	0.09790	0.04333	0.04995	0.04987	46	nan
Akkermansia muciniphila	239935	S	321537	323498	645035	0.08217	0.05338	0.04926	0.04831	57	nan
Campylobacter jejuni	197	S	1117	1533	2650	0.00034	0.00042	0.00000	0.00072	30	0.0
Homo sapiens	9606	S	1585	1667	3252	0.00041	0.00003	0.00000	0.00004	37	3.0
