name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	675677	686920	1362597	0.16592	0.04763	0.04741	0.04714	47	nan
Enterocloster clostridioformis	1531	S	469759	481497	951256	0.11583	0.03764	0.03738	0.03769	51	nan
Enterocloster bolteae	208479	S	7716	7836	15552	0.00189	0.00053	0.00000	0.00053	51	4.0
Agathobacter rectalis	39491	S	338954	361053	700007	0.08524	0.04747	0.04657	0.04586	43	nan
[Clostridium] hylemonae	89153	S	1987	2028	4015	0.00049	0.00022	0.00000	0.00022	50	4.0
Roseburia hominis	301301	S	1093	1214	2307	0.00028	0.00015	0.00000	0.00015	51	5.0
Wansuia hejianensis	2763667	S	639	645	1284	0.00016	0.00007	0.00000	0.00007	50	4.0
Flavonifractor plautii	292800	S	442424	449581	892005	0.10862	0.04791	0.04778	0.04975	64	nan
Faecalibacterium duncaniae	411483	S	252933	368264	621197	0.07564	0.05414	0.05460	0.05482	60	nan
Faecalibacterium prausnitzii	853	S	2582	2975	5557	0.00068	0.00043	0.00000	0.00044	61	5.0
Clostridioides difficile	1496	S	4925	5143	10068	0.00123	0.00053	0.00000	0.00060	29	0.0
Hungatella hathewayi	154046	S	541	559	1100	0.00013	0.00003	0.00000	0.00004	50	5.0
Bacillus subtilis	1423	S	10233	505715	515948	0.06283	0.05314	0.05302	0.05188	45	nan
Bacillus vallismortis	72361	S	1132	1159	2291	0.00028	0.00012	0.00012	0.00012	44	nan
Bacillus inaquosorum	483913	S	822	876	1698	0.00021	0.00009	0.00009	0.00009	44	nan
Bacillus spizizenii	96241	S	709	1597	2306	0.00028	0.00017	0.00017	0.00017	45	nan
Bacillus tequilensis	227866	S	543	562	1105	0.00013	0.00006	0.00006	0.00006	45	nan
Bacillus cabrialesii	2487276	S	527	562	1089	0.00013	0.00006	0.00006	0.00006	45	nan
Staphylococcus epidermidis	1282	S	256622	277182	533804	0.06500	0.04700	0.04682	0.04542	32	nan
Streptococcus mutans	1309	S	243779	247651	491430	0.05984	0.05246	0.04867	0.04884	37	nan
Lactobacillus delbrueckii	1584	S	233880	236054	469934	0.05722	0.05262	0.05346	0.05289	53	nan
Megasphaera elsdenii	907	S	273941	275367	549308	0.06689	0.04781	0.04961	0.04840	56	nan
Megamonas funiformis	437897	S	258267	258631	516898	0.06294	0.04604	0.04483	0.04627	31	nan
Bifidobacterium longum	216816	S	494335	591069	1085404	0.13217	0.09676	0.09943	0.09849	61	nan
Cutibacterium acnes	1747	S	260737	263376	524113	0.06382	0.04558	0.04728	0.04672	60	nan
Mycobacterium canettii	78331	S	708	713	1421	0.00017	0.00007	0.00000	0.00007	65	0.0
Collinsella aerofaciens	74426	S	316708	317558	634266	0.07723	0.05695	0.05911	0.05873	61	nan
Pseudomonas putida	303	S	753732	788445	1542177	0.18779	0.06127	0.05739	0.06139	63	nan
Escherichia coli	562	S	30087	531353	561440	0.06836	0.04691	0.04816	0.04733	53	nan
Escherichia albertii	208962	S	989	1317	2306	0.00028	0.00012	0.00012	0.00012	52	nan
Escherichia marmotae	1499973	S	586	755	1341	0.00016	0.00007	0.00007	0.00007	52	nan
Escherichia fergusonii	564	S	573	1225	1798	0.00022	0.00012	0.00012	0.00012	52	nan
Bacteroides uniformis	820	S	420224	637684	1057908	0.12882	0.05657	0.05623	0.05596	49	nan
Parabacteroides distasonis	823	S	335408	589615	925023	0.11264	0.04954	0.04895	0.04877	46	nan
Akkermansia muciniphila	239935	S	311503	313371	624874	0.07609	0.04922	0.05251	0.05023	57	nan
Campylobacter jejuni	197	S	1340	1854	3194	0.00039	0.00048	0.00000	0.00049	30	0.0
Homo sapiens	9606	S	987	1017	2004	0.00024	0.00002	0.00000	0.00002	37	0.0
