name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	797381	810406	1607787	0.16243	0.04643	0.04623	0.04597	47	nan
Enterocloster clostridioformis	1531	S	559075	573223	1132298	0.11439	0.03703	0.03707	0.03713	51	nan
Enterocloster bolteae	208479	S	9261	9405	18666	0.00189	0.00053	0.00000	0.00053	51	4.0
Agathobacter rectalis	39491	S	389812	415070	804882	0.08132	0.04513	0.04409	0.04353	43	nan
[Clostridium] hylemonae	89153	S	2399	2450	4849	0.00049	0.00022	0.00000	0.00022	50	4.0
Roseburia hominis	301301	S	1349	1481	2830	0.00029	0.00015	0.00000	0.00015	51	5.0
[Ruminococcus] gnavus	33038	S	592	690	1282	0.00013	0.00007	0.00000	0.00007	44	4.0
Wansuia hejianensis	2763667	S	860	868	1728	0.00017	0.00008	0.00000	0.00008	50	4.0
Flavonifractor plautii	292800	S	516365	524636	1041001	0.10517	0.04620	0.04687	0.04912	64	nan
Faecalibacterium duncaniae	411483	S	304995	442870	747865	0.07556	0.05380	0.05488	0.05503	60	nan
Faecalibacterium prausnitzii	853	S	2742	3148	5890	0.00060	0.00038	0.00000	0.00039	61	5.0
Anaerotruncus colihominis	169435	S	568	597	1165	0.00012	0.00006	0.00000	0.00006	56	4.0
Clostridioides difficile	1496	S	5766	6026	11792	0.00119	0.00051	0.00000	0.00051	29	0.0
Hungatella hathewayi	154046	S	702	726	1428	0.00014	0.00004	0.00000	0.00004	50	5.0
Bacillus subtilis	1423	S	7828	633414	641242	0.06478	0.05498	0.05468	0.05375	44	nan
Bacillus vallismortis	72361	S	825	856	1681	0.00017	0.00007	0.00007	0.00007	44	nan
Bacillus inaquosorum	483913	S	645	713	1358	0.00014	0.00006	0.00006	0.00006	44	nan
Staphylococcus epidermidis	1282	S	338111	366913	705024	0.07123	0.05153	0.04889	0.04712	32	nan
Streptococcus mutans	1309	S	301827	306294	608121	0.06144	0.05359	0.04933	0.04954	37	nan
Lactobacillus delbrueckii	1584	S	289404	292000	581404	0.05874	0.05381	0.05474	0.05427	53	nan
Megamonas funiformis	437897	S	354658	355170	709828	0.07171	0.05225	0.04771	0.04892	31	nan
Megasphaera elsdenii	907	S	346253	347973	694226	0.07014	0.04993	0.05092	0.05077	56	nan
Bifidobacterium longum	216816	S	583519	692515	1276034	0.12892	0.09314	0.09700	0.09635	61	nan
Cutibacterium acnes	1747	S	301172	303951	605123	0.06113	0.04342	0.04624	0.04501	60	nan
Collinsella aerofaciens	74426	S	372794	373687	746481	0.07542	0.05537	0.05842	0.05813	61	nan
Pseudomonas putida	303	S	890706	932670	1823376	0.18421	0.05990	0.05841	0.06142	63	nan
Escherichia coli	562	S	26214	645992	672206	0.06791	0.04699	0.04821	0.04751	53	nan
Escherichia albertii	208962	S	730	1219	1949	0.00020	0.00009	0.00009	0.00009	52	nan
Bacteroides uniformis	820	S	509160	768497	1277657	0.12908	0.05633	0.05604	0.05577	49	nan
Parabacteroides distasonis	823	S	404332	707984	1112316	0.11238	0.04915	0.04865	0.04841	46	nan
Akkermansia muciniphila	239935	S	370565	372765	743330	0.07510	0.04829	0.05140	0.04957	57	nan
Campylobacter jejuni	197	S	1462	1940	3402	0.00034	0.00041	0.00000	0.00039	30	0.0
Homo sapiens	9606	S	1949	2036	3985	0.00040	0.00003	0.00000	0.00003	37	0.0
