name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	768375	781628	1550003	0.16629	0.04749	0.04640	0.04620	47	nan
Enterocloster clostridioformis	1531	S	533374	547448	1080822	0.11595	0.03749	0.03725	0.03739	51	nan
Enterocloster bolteae	208479	S	9082	9228	18310	0.00196	0.00055	0.00000	0.00055	51	4.0
Agathobacter rectalis	39491	S	381351	405938	787289	0.08446	0.04686	0.04447	0.04401	43	nan
[Clostridium] hylemonae	89153	S	2244	2293	4537	0.00049	0.00022	0.00000	0.00022	50	4.0
Roseburia hominis	301301	S	1238	1361	2599	0.00028	0.00015	0.00015	0.00015	51	nan
[Ruminococcus] gnavus	33038	S	515	542	1057	0.00011	0.00006	0.00000	0.00006	44	4.0
Wansuia hejianensis	2763667	S	701	708	1409	0.00015	0.00007	0.00000	0.00007	50	4.0
Flavonifractor plautii	292800	S	471305	479217	950522	0.10197	0.04474	0.04664	0.04907	64	nan
Faecalibacterium duncaniae	411483	S	277855	405748	683603	0.07334	0.05226	0.05416	0.05453	60	nan
Faecalibacterium prausnitzii	853	S	2547	2927	5474	0.00059	0.00037	0.00000	0.00039	61	5.0
Anaerotruncus colihominis	169435	S	529	557	1086	0.00012	0.00006	0.00000	0.00006	56	4.0
Clostridioides difficile	1496	S	5752	5991	11743	0.00126	0.00055	0.00000	0.00052	29	0.0
Hungatella hathewayi	154046	S	674	699	1373	0.00015	0.00004	0.00000	0.00004	50	5.0
Bacillus subtilis	1423	S	7354	605185	612539	0.06571	0.05574	0.05399	0.05324	44	nan
Bacillus vallismortis	72361	S	764	794	1558	0.00017	0.00007	0.00007	0.00007	44	nan
Bacillus inaquosorum	483913	S	579	642	1221	0.00013	0.00006	0.00005	0.00005	44	nan
Staphylococcus epidermidis	1282	S	337780	368540	706320	0.07578	0.05474	0.04993	0.04783	32	nan
Streptococcus mutans	1309	S	293809	298180	591989	0.06351	0.05531	0.04908	0.04927	37	nan
Lactobacillus delbrueckii	1584	S	272299	274966	547265	0.05871	0.05372	0.05413	0.05409	53	nan
Megamonas funiformis	437897	S	356197	356698	712895	0.07648	0.05563	0.04838	0.04967	31	nan
Megasphaera elsdenii	907	S	326452	328078	654530	0.07022	0.04991	0.05123	0.05120	56	nan
Bifidobacterium longum	216816	S	527516	628186	1155702	0.12399	0.09019	0.09766	0.09646	61	nan
Cutibacterium acnes	1747	S	272738	275524	548262	0.05882	0.04176	0.04628	0.04485	60	nan
Collinsella aerofaciens	74426	S	333779	334630	668409	0.07171	0.05257	0.05789	0.05711	61	nan
Pseudomonas putida	303	S	794184	832224	1626408	0.17448	0.05664	0.05761	0.06042	63	nan
Escherichia coli	562	S	24263	605317	629580	0.06754	0.04721	0.04855	0.04776	53	nan
Escherichia albertii	208962	S	627	903	1530	0.00016	0.00007	0.00007	0.00007	52	nan
Bacteroides uniformis	820	S	484837	734378	1219215	0.13080	0.05707	0.05591	0.05569	49	nan
Parabacteroides distasonis	823	S	387847	681605	1069452	0.11473	0.05017	0.04865	0.04853	46	nan
Akkermansia muciniphila	239935	S	346271	348335	694606	0.07452	0.04777	0.05145	0.05000	57	nan
Campylobacter jejuni	197	S	1437	1954	3391	0.00036	0.00044	0.00000	0.00039	30	0.0
Homo sapiens	9606	S	793	808	1601	0.00017	0.00001	0.00000	0.00001	38	3.0
