name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	787584	803511	1591095	0.17352	0.04938	0.04704	0.04660	47	nan
Enterocloster clostridioformis	1531	S	519972	536369	1056341	0.11520	0.03718	0.03643	0.03670	51	nan
Enterocloster bolteae	208479	S	9431	9617	19048	0.00208	0.00058	0.00000	0.00057	51	5.0
Agathobacter rectalis	39491	S	421860	451160	873020	0.09521	0.05294	0.04815	0.04702	44	nan
[Clostridium] hylemonae	89153	S	1845	1891	3736	0.00041	0.00019	0.00000	0.00018	50	4.0
Roseburia hominis	301301	S	1065	1199	2264	0.00025	0.00013	0.00000	0.00013	51	5.0
Wansuia hejianensis	2763667	S	639	646	1285	0.00014	0.00006	0.00000	0.00006	52	4.0
Flavonifractor plautii	292800	S	416650	425200	841850	0.09181	0.04018	0.04566	0.04808	64	nan
Faecalibacterium duncaniae	411483	S	234965	373858	608823	0.06640	0.04874	0.05350	0.05337	60	nan
Faecalibacterium prausnitzii	853	S	2704	3246	5950	0.00065	0.00042	0.00000	0.00046	61	5.0
Anaerotruncus colihominis	169435	S	519	554	1073	0.00012	0.00006	0.00000	0.00006	55	4.0
Clostridioides difficile	1496	S	5429	5579	11008	0.00120	0.00051	0.00000	0.00042	28	0.0
Hungatella hathewayi	154046	S	662	688	1350	0.00015	0.00004	0.00000	0.00004	49	5.0
Bacillus subtilis	1423	S	14596	586145	600741	0.06552	0.05442	0.05064	0.04970	44	nan
Bacillus velezensis	492670	S	1385	9906	11291	0.00123	0.00095	0.00091	0.00088	45	nan
Bacillus vallismortis	72361	S	1271	1300	2571	0.00028	0.00012	0.00011	0.00011	45	nan
Bacillus inaquosorum	483913	S	998	1060	2058	0.00022	0.00010	0.00009	0.00009	44	nan
Bacillus spizizenii	96241	S	911	1526	2437	0.00027	0.00014	0.00013	0.00013	45	nan
Bacillus tequilensis	227866	S	682	704	1386	0.00015	0.00007	0.00006	0.00006	44	nan
Bacillus cabrialesii	2487276	S	588	619	1207	0.00013	0.00006	0.00005	0.00005	45	nan
Bacillus rugosus	2715209	S	538	581	1119	0.00012	0.00005	0.00005	0.00005	44	nan
Staphylococcus epidermidis	1282	S	368608	398537	767145	0.08366	0.05979	0.04730	0.04656	32	nan
Streptococcus mutans	1309	S	310412	317809	628221	0.06851	0.05972	0.04869	0.04890	37	nan
Lactobacillus delbrueckii	1584	S	243370	246204	489574	0.05339	0.04867	0.05009	0.04879	53	nan
Megamonas funiformis	437897	S	435419	436263	871682	0.09506	0.06886	0.05208	0.05472	32	nan
Megasphaera elsdenii	907	S	303977	306007	609984	0.06652	0.04705	0.05065	0.04903	56	nan
Bifidobacterium longum	216816	S	484289	608351	1092640	0.11916	0.08885	0.10426	0.10315	62	nan
Cutibacterium acnes	1747	S	244455	247739	492194	0.05368	0.03805	0.04532	0.04418	60	nan
Mycobacterium canettii	78331	S	2391	2400	4791	0.00052	0.00021	0.00000	0.00027	65	0.0
Collinsella aerofaciens	74426	S	307215	308240	615455	0.06712	0.04910	0.05891	0.05809	61	nan
Bacteroides uniformis	820	S	459707	731246	1190953	0.12988	0.05752	0.05628	0.05460	49	nan
Parabacteroides distasonis	823	S	353210	677091	1030301	0.11236	0.05045	0.04817	0.04714	47	nan
Pseudomonas putida	303	S	700846	745417	1446263	0.15773	0.05174	0.05673	0.06154	64	nan
Escherichia coli	562	S	39155	563321	602476	0.06571	0.04450	0.04499	0.04509	53	nan
Escherichia albertii	208962	S	1115	1425	2540	0.00028	0.00012	0.00011	0.00012	52	nan
Escherichia fergusonii	564	S	659	1252	1911	0.00021	0.00011	0.00010	0.00011	52	nan
Escherichia marmotae	1499973	S	615	748	1363	0.00015	0.00006	0.00006	0.00006	52	nan
Shigella flexneri	623	S	677	15593	16270	0.00177	0.00129	0.00131	0.00131	53	nan
Shigella dysenteriae	622	S	511	2758	3269	0.00036	0.00023	0.00023	0.00023	53	nan
Salmonella enterica	28901	S	513	3264	3777	0.00041	0.00026	0.00028	0.00027	53	nan
Yersinia enterocolitica	630	S	2801	2950	5751	0.00063	0.00024	0.00000	0.00024	49	5.0
Akkermansia muciniphila	239935	S	331564	334171	665735	0.07260	0.04646	0.05161	0.05052	57	nan
Campylobacter jejuni	197	S	1138	1599	2737	0.00030	0.00037	0.00000	0.00029	30	0.0
Homo sapiens	9606	S	1551	1598	3149	0.00034	0.00002	0.00000	0.00002	37	3.0
