name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	847074	864905	1711979	0.17666	0.05039	0.04704	0.04685	47	nan
Enterocloster clostridioformis	1531	S	558122	576257	1134379	0.11705	0.03786	0.03656	0.03694	51	nan
Enterocloster bolteae	208479	S	10076	10279	20355	0.00210	0.00058	0.00000	0.00057	51	4.0
Agathobacter rectalis	39491	S	441660	472685	914345	0.09435	0.05258	0.04696	0.04623	44	nan
[Clostridium] hylemonae	89153	S	2010	2062	4072	0.00042	0.00019	0.00000	0.00019	50	4.0
Roseburia hominis	301301	S	1189	1323	2512	0.00026	0.00014	0.00015	0.00013	51	nan
[Ruminococcus] gnavus	33038	S	574	858	1432	0.00015	0.00009	0.00000	0.00008	45	4.0
Wansuia hejianensis	2763667	S	717	725	1442	0.00015	0.00007	0.00000	0.00007	52	4.0
Flavonifractor plautii	292800	S	437824	447154	884978	0.09132	0.04005	0.04549	0.04823	64	nan
Faecalibacterium duncaniae	411483	S	247022	395921	642943	0.06634	0.04891	0.05339	0.05349	60	nan
Faecalibacterium prausnitzii	853	S	2929	3527	6456	0.00067	0.00043	0.00000	0.00048	61	5.0
Anaerotruncus colihominis	169435	S	512	547	1059	0.00011	0.00006	0.00000	0.00006	55	5.0
Clostridioides difficile	1496	S	5564	5818	11382	0.00117	0.00051	0.00000	0.00043	28	0.0
Hungatella hathewayi	154046	S	717	751	1468	0.00015	0.00004	0.00004	0.00004	49	nan
Bacillus subtilis	1423	S	13615	620309	633924	0.06541	0.05462	0.04998	0.04921	44	nan
Bacillus velezensis	492670	S	1291	10560	11851	0.00122	0.00097	0.00090	0.00088	45	nan
Bacillus vallismortis	72361	S	1264	1290	2554	0.00026	0.00011	0.00010	0.00010	45	nan
Bacillus inaquosorum	483913	S	962	1015	1977	0.00020	0.00009	0.00008	0.00008	44	nan
Bacillus spizizenii	96241	S	804	2542	3346	0.00035	0.00023	0.00021	0.00021	45	nan
Bacillus tequilensis	227866	S	623	641	1264	0.00013	0.00006	0.00005	0.00005	44	nan
Bacillus cabrialesii	2487276	S	538	565	1103	0.00011	0.00005	0.00005	0.00005	45	nan
Staphylococcus epidermidis	1282	S	378195	408289	786484	0.08116	0.05815	0.04684	0.04592	32	nan
Streptococcus mutans	1309	S	318061	325832	643893	0.06644	0.05801	0.04705	0.04744	37	nan
Lactobacillus delbrueckii	1584	S	258730	262014	520744	0.05373	0.04908	0.04939	0.04867	53	nan
Megamonas funiformis	437897	S	450330	451287	901617	0.09304	0.06751	0.05200	0.05449	32	nan
Megasphaera elsdenii	907	S	325041	327264	652305	0.06731	0.04768	0.05081	0.04937	56	nan
Bifidobacterium longum	216816	S	513224	648320	1161544	0.11986	0.08968	0.10631	0.10473	62	nan
Cutibacterium acnes	1747	S	262675	266156	528831	0.05457	0.03870	0.04736	0.04520	60	nan
Mycobacterium canettii	78331	S	5604	5624	11228	0.00116	0.00047	0.00000	0.00062	65	0.0
Collinsella aerofaciens	74426	S	323090	324323	647413	0.06681	0.04896	0.05954	0.05831	61	nan
Bacteroides uniformis	820	S	483739	771620	1255359	0.12954	0.05752	0.05511	0.05392	49	nan
Parabacteroides distasonis	823	S	367381	707444	1074825	0.11091	0.04995	0.04683	0.04606	47	nan
Pseudomonas putida	303	S	739384	787639	1527023	0.15757	0.05180	0.05837	0.06233	64	nan
Escherichia coli	562	S	37588	599584	637172	0.06575	0.04481	0.04501	0.04493	53	nan
Escherichia albertii	208962	S	1088	1416	2504	0.00026	0.00011	0.00010	0.00011	52	nan
Escherichia fergusonii	564	S	678	1361	2039	0.00021	0.00011	0.00011	0.00011	52	nan
Escherichia marmotae	1499973	S	570	708	1278	0.00013	0.00005	0.00005	0.00005	52	nan
Shigella flexneri	623	S	617	17631	18248	0.00188	0.00138	0.00139	0.00139	53	nan
Shigella dysenteriae	622	S	502	3138	3640	0.00038	0.00025	0.00025	0.00025	53	nan
Akkermansia muciniphila	239935	S	355074	357908	712982	0.07357	0.04742	0.05249	0.05145	57	nan
Campylobacter jejuni	197	S	1035	1459	2494	0.00026	0.00032	0.00000	0.00025	30	0.0
Homo sapiens	9606	S	2200	2301	4501	0.00046	0.00003	0.00000	0.00003	37	0.0
