name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	232208	236332	468540	0.15918	0.04625	0.04186	0.04314	47	nan
Enterocloster clostridioformis	1531	S	162752	167025	329777	0.11204	0.03687	0.03382	0.03452	52	nan
Enterocloster bolteae	208479	S	2659	2704	5363	0.00182	0.00052	0.00000	0.00048	51	4.0
Agathobacter rectalis	39491	S	101911	108726	210637	0.07156	0.04046	0.03778	0.03898	44	nan
[Clostridium] hylemonae	89153	S	683	697	1380	0.00047	0.00022	0.00000	0.00020	50	4.0
Flavonifractor plautii	292800	S	162062	164684	326746	0.11101	0.04956	0.04777	0.05241	63	nan
Faecalibacterium duncaniae	411483	S	87459	127383	214842	0.07299	0.05288	0.04994	0.05299	60	nan
Faecalibacterium prausnitzii	853	S	852	986	1838	0.00062	0.00041	0.00039	0.00041	60	nan
Clostridioides difficile	1496	S	1689	1707	3396	0.00115	0.00050	0.00000	0.00061	28	0.0
Bacillus subtilis	1423	S	2538	178644	181182	0.06156	0.05300	0.04916	0.05023	44	nan
Staphylococcus epidermidis	1282	S	99064	103054	202118	0.06867	0.04941	0.05182	0.05206	32	nan
Staphylococcus aureus	1280	S	659	1493	2152	0.00073	0.00065	0.00000	0.00068	33	4.0
Streptococcus mutans	1309	S	90944	92853	183797	0.06244	0.05553	0.05427	0.05504	37	nan
Lactobacillus delbrueckii	1584	S	73552	74167	147719	0.05019	0.04668	0.04245	0.04371	53	nan
Megamonas funiformis	437897	S	102074	102227	204301	0.06941	0.05138	0.05164	0.05590	31	nan
Megasphaera elsdenii	907	S	78741	79189	157930	0.05366	0.03880	0.03683	0.03756	55	nan
Bifidobacterium longum	216816	S	167685	202811	370496	0.12587	0.09404	0.09343	0.09746	61	nan
Cutibacterium acnes	1747	S	92223	93140	185363	0.06298	0.04546	0.05060	0.04772	60	nan
Collinsella aerofaciens	74426	S	108448	108722	217170	0.07378	0.05508	0.05543	0.05789	62	nan
Pseudomonas putida	303	S	273744	284948	558692	0.18981	0.06265	0.06250	0.06534	64	nan
Klebsiella pneumoniae	573	S	37647	195815	233462	0.07932	0.04594	0.07657	0.04566	59	nan
Escherichia coli	562	S	7594	44372	51966	0.01766	0.01113	0.01314	0.01074	53	nan
Paracoccus sp. SMMA_5_TC	2654280	S	4579	4719	9298	0.00316	0.00217	0.00000	0.00248	66	0.0
Bacteroides uniformis	820	S	147280	198494	345774	0.11748	0.04972	0.04520	0.04671	48	nan
Bacteroides sp. DH3716P	2847299	S	7724	31364	39088	0.01328	0.00577	0.00703	0.00549	43	nan
Parabacteroides distasonis	823	S	121087	214903	335990	0.11415	0.05098	0.04628	0.04803	46	nan
Akkermansia muciniphila	239935	S	121469	122205	243674	0.08279	0.05396	0.05208	0.05358	57	nan
