name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	670542	681563	1352105	0.15701	0.04512	0.04579	0.04455	47	nan
Enterocloster clostridioformis	1531	S	468773	479441	948214	0.11011	0.03578	0.03725	0.03574	51	nan
Enterocloster bolteae	208479	S	7635	7747	15382	0.00179	0.00050	0.00000	0.00050	51	4.0
Agathobacter rectalis	39491	S	311074	330858	641932	0.07454	0.04153	0.04192	0.04055	43	nan
[Clostridium] hylemonae	89153	S	1924	1962	3886	0.00045	0.00021	0.00000	0.00021	50	4.0
Roseburia hominis	301301	S	1121	1219	2340	0.00027	0.00014	0.00016	0.00014	51	nan
Wansuia hejianensis	2763667	S	752	758	1510	0.00018	0.00008	0.00000	0.00008	51	0.0
[Ruminococcus] gnavus	33038	S	502	528	1030	0.00012	0.00006	0.00000	0.00006	44	4.0
Flavonifractor plautii	292800	S	483848	490823	974671	0.11318	0.04993	0.05100	0.05154	63	nan
Faecalibacterium duncaniae	411483	S	271512	380699	652211	0.07574	0.05343	0.05523	0.05395	60	nan
Faecalibacterium prausnitzii	853	S	2401	2733	5134	0.00060	0.00038	0.00000	0.00038	60	5.0
Anaerotruncus colihominis	169435	S	504	526	1030	0.00012	0.00006	0.00000	0.00006	55	4.0
Clostridioides difficile	1496	S	4791	4854	9645	0.00112	0.00048	0.00000	0.00053	28	0.0
Hungatella hathewayi	154046	S	553	572	1125	0.00013	0.00003	0.00000	0.00003	50	5.0
Bacillus subtilis	1423	S	5718	508877	514595	0.05976	0.05088	0.05171	0.04996	44	nan
Bacillus vallismortis	72361	S	514	537	1051	0.00012	0.00005	0.00005	0.00005	44	nan
Staphylococcus epidermidis	1282	S	302361	317505	619866	0.07198	0.05151	0.05271	0.05013	32	nan
Staphylococcus aureus	1280	S	739	1745	2484	0.00029	0.00026	0.00000	0.00025	32	4.0
Streptococcus mutans	1309	S	265003	268854	533857	0.06199	0.05435	0.05391	0.05187	37	nan
Lactobacillus delbrueckii	1584	S	218881	220460	439341	0.05102	0.04692	0.04867	0.04713	53	nan
Megamonas funiformis	437897	S	311083	311392	622475	0.07229	0.05291	0.05233	0.05308	32	nan
Megasphaera elsdenii	907	S	242990	244084	487074	0.05656	0.04047	0.04265	0.04094	55	nan
Bifidobacterium longum	216816	S	530245	624909	1155154	0.13414	0.09865	0.10397	0.09988	61	nan
Cutibacterium acnes	1747	S	280902	283210	564112	0.06551	0.04675	0.05089	0.04762	60	nan
Collinsella aerofaciens	74426	S	336949	337692	674641	0.07834	0.05778	0.06129	0.05922	61	nan
Pseudomonas putida	303	S	842079	869167	1711246	0.19872	0.06442	0.06542	0.06404	63	nan
Escherichia coli	562	S	20633	213457	234090	0.02718	0.01811	0.02504	0.01825	54	nan
Klebsiella pneumoniae	573	S	36005	419717	455722	0.05292	0.03329	0.00000	0.03357	56	5.0
Salmonella enterica	28901	S	556	2844	3400	0.00039	0.00025	0.00000	0.00025	54	5.0
Bacteroides uniformis	820	S	432562	645801	1078363	0.12523	0.05469	0.05619	0.05412	48	nan
Phocaeicola dorei	357276	S	3584	4020	7604	0.00088	0.00030	0.00000	0.00029	42	4.0
Parabacteroides distasonis	823	S	351730	604921	956651	0.11109	0.04852	0.04934	0.04785	46	nan
Akkermansia muciniphila	239935	S	344134	345826	689960	0.08012	0.05165	0.05448	0.05265	57	nan
Campylobacter jejuni	197	S	1360	2032	3392	0.00039	0.00050	0.00000	0.00051	30	0.0
