name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	478223	486342	964565	0.15830	0.04517	0.04637	0.04618	47	nan
Enterocloster clostridioformis	1531	S	337856	346656	684512	0.11234	0.03631	0.03687	0.03702	51	nan
Enterocloster bolteae	208479	S	5505	5592	11097	0.00182	0.00051	0.00000	0.00052	51	4.0
Agathobacter rectalis	39491	S	238388	253807	492195	0.08078	0.04477	0.04534	0.04490	43	nan
[Clostridium] hylemonae	89153	S	1434	1464	2898	0.00048	0.00022	0.00000	0.00022	50	4.0
Roseburia hominis	301301	S	762	849	1611	0.00026	0.00014	0.00015	0.00014	51	nan
Flavonifractor plautii	292800	S	335992	341325	677317	0.11116	0.04874	0.04662	0.04920	64	nan
Faecalibacterium duncaniae	411483	S	193569	281364	474933	0.07794	0.05542	0.05464	0.05542	60	nan
Faecalibacterium prausnitzii	853	S	2060	2369	4429	0.00073	0.00046	0.00000	0.00046	61	5.0
Clostridioides difficile	1496	S	3323	3430	6753	0.00111	0.00048	0.00000	0.00050	29	0.0
Bacillus subtilis	1423	S	8950	363779	372729	0.06117	0.05094	0.05285	0.05171	45	nan
Bacillus vallismortis	72361	S	866	887	1753	0.00029	0.00013	0.00013	0.00013	44	nan
Bacillus inaquosorum	483913	S	759	810	1569	0.00026	0.00011	0.00011	0.00011	44	nan
Bacillus spizizenii	96241	S	639	1486	2125	0.00035	0.00021	0.00022	0.00022	44	nan
Staphylococcus epidermidis	1282	S	194141	208563	402704	0.06609	0.04742	0.04714	0.04540	32	nan
Lactobacillus delbrueckii	1584	S	176531	178226	354757	0.05822	0.05322	0.05420	0.05437	53	nan
Streptococcus mutans	1309	S	170867	173695	344562	0.05655	0.04932	0.04750	0.04752	37	nan
Megasphaera elsdenii	907	S	220631	221712	442343	0.07259	0.05157	0.05226	0.05232	56	nan
Megamonas funiformis	437897	S	201345	201658	403003	0.06614	0.04809	0.04617	0.04726	31	nan
Bifidobacterium longum	216816	S	391527	468345	859872	0.14112	0.10248	0.10322	0.10140	61	nan
Cutibacterium acnes	1747	S	194121	196139	390260	0.06405	0.04549	0.04722	0.04525	60	nan
Collinsella aerofaciens	74426	S	241124	241837	482961	0.07926	0.05812	0.05863	0.05816	61	nan
Pseudomonas putida	303	S	604200	630722	1234922	0.20267	0.06570	0.05986	0.06345	63	nan
Escherichia coli	562	S	26163	389137	415300	0.06816	0.04600	0.04780	0.04697	53	nan
Escherichia albertii	208962	S	833	1068	1901	0.00031	0.00013	0.00013	0.00013	52	nan
Escherichia fergusonii	564	S	544	1010	1554	0.00026	0.00013	0.00013	0.00013	52	nan
Escherichia marmotae	1499973	S	517	629	1146	0.00019	0.00008	0.00008	0.00008	52	nan
Bacteroides uniformis	820	S	297199	453340	750539	0.12317	0.05388	0.05482	0.05481	49	nan
Parabacteroides distasonis	823	S	229403	406081	635484	0.10429	0.04572	0.04650	0.04648	46	nan
Akkermansia muciniphila	239935	S	227804	229206	457010	0.07500	0.04865	0.05106	0.04913	57	nan
Campylobacter jejuni	197	S	904	1170	2074	0.00034	0.00041	0.00000	0.00040	30	0.0
Homo sapiens	9606	S	577	592	1169	0.00019	0.00001	0.00000	0.00001	37	0.0
