name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads	Bracken_estimate	GuaCAMOLE_estimate	GuaCAMOLE_est_eff	GC content	Taxon Removal Cycle
Blautia producta	33035	S	764328	777673	1542001	0.16689	0.04771	0.04678	0.04676	47	nan
Enterocloster clostridioformis	1531	S	535296	550909	1086205	0.11756	0.03811	0.03747	0.03781	51	nan
Enterocloster bolteae	208479	S	8775	8924	17699	0.00192	0.00053	0.00000	0.00053	51	4.0
Agathobacter rectalis	39491	S	384806	410598	795404	0.08609	0.04784	0.04607	0.04584	43	nan
[Clostridium] hylemonae	89153	S	2143	2192	4335	0.00047	0.00021	0.00000	0.00021	50	4.0
Roseburia hominis	301301	S	1226	1348	2574	0.00028	0.00015	0.00016	0.00015	51	nan
Wansuia hejianensis	2763667	S	693	701	1394	0.00015	0.00007	0.00000	0.00007	50	4.0
Flavonifractor plautii	292800	S	478053	486436	964489	0.10439	0.04588	0.04642	0.04917	64	nan
Faecalibacterium duncaniae	411483	S	281102	413434	694536	0.07517	0.05379	0.05404	0.05507	60	nan
Faecalibacterium prausnitzii	853	S	2782	3212	5994	0.00065	0.00042	0.00000	0.00043	61	5.0
Anaerotruncus colihominis	169435	S	546	576	1122	0.00012	0.00006	0.00000	0.00006	56	4.0
Clostridioides difficile	1496	S	5245	5423	10668	0.00115	0.00050	0.00000	0.00051	29	0.0
Hungatella hathewayi	154046	S	639	662	1301	0.00014	0.00004	0.00000	0.00004	50	5.0
Bacillus subtilis	1423	S	11869	573637	585506	0.06337	0.05331	0.05247	0.05167	45	nan
Bacillus vallismortis	72361	S	1295	1335	2630	0.00028	0.00012	0.00012	0.00012	44	nan
Bacillus inaquosorum	483913	S	952	1029	1981	0.00021	0.00009	0.00009	0.00009	44	nan
Bacillus spizizenii	96241	S	818	1462	2280	0.00025	0.00014	0.00014	0.00013	44	nan
Bacillus tequilensis	227866	S	598	624	1222	0.00013	0.00006	0.00006	0.00006	45	nan
Bacillus cabrialesii	2487276	S	589	634	1223	0.00013	0.00006	0.00006	0.00006	45	nan
Staphylococcus epidermidis	1282	S	305876	331700	637576	0.06901	0.04981	0.04800	0.04604	32	nan
Lactobacillus delbrueckii	1584	S	275772	279084	554856	0.06005	0.05505	0.05452	0.05487	53	nan
Streptococcus mutans	1309	S	266477	270970	537447	0.05817	0.05080	0.04653	0.04682	37	nan
Megasphaera elsdenii	907	S	343028	344835	687863	0.07445	0.05297	0.05326	0.05349	56	nan
Megamonas funiformis	437897	S	315797	316335	632132	0.06842	0.04983	0.04607	0.04727	31	nan
Bifidobacterium longum	216816	S	551181	661426	1212607	0.13124	0.09638	0.10313	0.10046	61	nan
Cutibacterium acnes	1747	S	281985	285076	567061	0.06137	0.04363	0.04770	0.04553	60	nan
Collinsella aerofaciens	74426	S	335091	336229	671320	0.07266	0.05337	0.05806	0.05648	61	nan
Pseudomonas putida	303	S	827982	868472	1696454	0.18361	0.05978	0.05869	0.06221	63	nan
Escherichia coli	562	S	34549	573112	607661	0.06577	0.04488	0.04554	0.04487	53	nan
Escherichia albertii	208962	S	1049	1419	2468	0.00027	0.00011	0.00011	0.00011	52	nan
Escherichia fergusonii	564	S	684	1520	2204	0.00024	0.00013	0.00013	0.00013	52	nan
Escherichia marmotae	1499973	S	628	813	1441	0.00016	0.00007	0.00007	0.00007	52	nan
Shigella flexneri	623	S	563	18644	19207	0.00208	0.00154	0.00156	0.00154	53	nan
Bacteroides uniformis	820	S	471023	716741	1187764	0.12855	0.05627	0.05492	0.05515	49	nan
Parabacteroides distasonis	823	S	363836	645464	1009300	0.10924	0.04799	0.04676	0.04683	46	nan
Akkermansia muciniphila	239935	S	341488	343651	685139	0.07415	0.04786	0.05108	0.04893	57	nan
Campylobacter jejuni	197	S	1342	1874	3216	0.00035	0.00043	0.00000	0.00041	30	0.0
Homo sapiens	9606	S	1181	1219	2400	0.00026	0.00002	0.00000	0.00002	37	0.0
